资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-03
资产总额;3.49197e+11;3.67502e+11;4.06794e+11;3.75319e+11;3.45173e+11;3.34532e+11;3.31141e+11;3.21686e+11;3.05602e+11;3.05277e+11;2.93284e+11;2.90479e+11;2.73151e+11;2.61194e+11;2.61894e+11;2.31839e+11;2.2252e+11;2.05989e+11;2.25184e+11;1.99856e+11;1.94743e+11;1.94743e+11;1.76064e+11;1.62896e+11;1.96088e+11
流动资产总额;1.15761e+11;1.30053e+11;1.4381e+11;1.28645e+11;1.12875e+11;1.0199e+11;1.03332e+11;1.06869e+11;9.3761e+10;8.7592e+10;7.6219e+10;8.9378e+10;7.0953e+10;6.7891e+10;8.3403e+10;6.8531e+10;6.7949e+10;7.0541e+10;8.0347e+10;6.8219e+10;6.3337e+10;6.3337e+10;5.7653e+10;5.1943e+10;7.2348e+10
现金总额;7.097e+10;8.794e+10;7.7153e+10;7.4181e+10;7.6759e+10;6.7101e+10;6.0452e+10;6.7155e+10;6.1756e+10;5.5283e+10;3.8074e+10;4.1601e+10;3.4703e+10;3.3096e+10;3.2463e+10;2.5077e+10;3.7805e+10;4.135e+10;4.0711e+10;4.0546e+10;4.2606e+10;3.9137e+10;3.982e+10;2.9129e+10;0
现金及到期存款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
现金及现金等价物;3.1971e+10;4.5059e+10;2.7491e+10;2.0289e+10;1.8571e+10;1.5157e+10;1.6371e+10;2.0484e+10;1.8237e+10;2.1514e+10;1.6689e+10;2.112e+10;1.5319e+10;1.4489e+10;1.9478e+10;1.3844e+10;1.2977e+10;1.8949e+10;1.4077e+10;1.4259e+10;1.1248e+10;1.2053e+10;1.6154e+10;1.0746e+10;0
联邦基金卖出所得;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期投资;3.8999e+10;4.2881e+10;4.9662e+10;5.3892e+10;5.8188e+10;5.1944e+10;4.4081e+10;4.6671e+10;4.3519e+10;3.3769e+10;2.1385e+10;2.0481e+10;1.9384e+10;1.8607e+10;1.2985e+10;1.1233e+10;2.4828e+10;2.2401e+10;2.6634e+10;2.6287e+10;3.1358e+10;2.7084e+10;2.3666e+10;1.8383e+10;0
衍生资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债务证券;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应收账款;1.4104e+10;1.4324e+10;2.344e+10;1.7874e+10;1.2399e+10;1.1579e+10;1.4057e+10;1.5754e+10;1.1714e+10;1.2229e+10;1.2953e+10;1.6849e+10;1.037e+10;1.0905e+10;1.6709e+10;1.746e+10;1.0788e+10;9.7e+09;1.42e+10;1.3102e+10;8.839e+09;7.084e+09;1.1598e+10;1.093e+10;0
预付费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
证券及投资;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
借入证券;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
贷款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
贷款净额;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
备付贷款损失;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
存货;5.936e+09;7.662e+09;4.421e+09;4.855e+09;3.146e+09;2.91e+09;2.712e+09;2.132e+09;1.831e+09;2.281e+09;2.451e+09;2.349e+09;2.042e+09;2.396e+09;2.283e+09;2.111e+09;1.594e+09;1.829e+09;2.122e+09;1.764e+09;1.697e+09;1.245e+09;1.455e+09;7.91e+08;0
