资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06;2012-03
资产总额;1.473257e+09;1.430656e+09;1.398795e+09;1.319298e+09;1.271077e+09;1.239518e+09;1.287199e+09;1.14945e+09;1.10065e+09;1.044657e+09;1.030711e+09;9.92781e+08;9.3372e+08;8.92127e+08;8.65662e+08;7.73895e+08;7.47269e+08;7.0936e+08;3.54927e+08;3.01697e+08;2.806e+08;8.94e+07;8.6992e+07;0;0;0
流动资产总额;1.199435e+09;1.097601e+09;1.089218e+09;1.113781e+09;1.150784e+09;1.113018e+09;1.151624e+09;1.029254e+09;9.86696e+08;9.36459e+08;9.44739e+08;9.10437e+08;8.65e+08;8.32051e+08;8.10261e+08;7.32796e+08;7.02454e+08;6.85068e+08;3.32181e+08;2.82487e+08;2.652e+08;7.72e+07;7.6161e+07;0;0;0
现金总额;9.12145e+08;8.65646e+08;8.54665e+08;9.43296e+08;9.92904e+08;9.54649e+08;9.08717e+08;8.64593e+08;8.34747e+08;8.08002e+08;7.959e+08;7.50191e+08;7.29506e+08;7.15664e+08;6.80613e+08;6.44516e+08;6.27314e+08;6.16508e+08;2.52674e+08;2.26337e+08;2.21411e+08;4.048e+07;3.9302e+07;0;0;0
现金及到期存款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
现金及现金等价物;6.11091e+08;6.23994e+08;6.27878e+08;7.90945e+08;9.92904e+08;9.54649e+08;9.08717e+08;8.64593e+08;8.34747e+08;8.08002e+08;7.959e+08;7.50191e+08;7.29506e+08;7.15664e+08;6.80613e+08;6.44516e+08;6.27314e+08;6.16508e+08;2.52674e+08;2.26337e+08;2.21411e+08;4.048e+07;3.9302e+07;0;0;0
联邦基金卖出所得;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期投资;3.01054e+08;2.41652e+08;2.26787e+08;1.52351e+08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
衍生资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债务证券;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应收账款;1.70907e+08;1.32611e+08;2.03366e+08;1.31595e+08;1.37588e+08;1.3078e+08;2.06765e+08;1.3694e+08;1.34025e+08;1.08747e+08;1.31784e+08;1.14826e+08;9.7998e+07;8.3138e+07;9.991e+07;6.7497e+07;5.6444e+07;5.0513e+07;6.1158e+07;4.4173e+07;3.3423e+07;2.8e+07;3.0752e+07;0;0;0
预付费用;1.15605e+08;9.8461e+07;3.0514e+07;3.8442e+07;2.0055e+07;2.746e+07;3.6011e+07;2.7716e+07;1.7919e+07;1.9586e+07;1.6977e+07;1.8755e+07;1.5594e+07;1.1355e+07;1.0777e+07;9.322e+06;7.629e+06;7.118e+06;7.18e+06;5.206e+06;4.302e+06;2.901e+06;2.789e+06;0;0;0
证券及投资;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
借入证券;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
贷款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
贷款净额;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
备付贷款损失;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
存货;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
递延税;4.072e+06;4.215e+06;5.287e+06;2.482e+06;1.591e+06;1.76e+06;1.449e+06;1.455e+06;1.439e+06;1.462e+06;1.544e+06;6.001e+06;6.371e+06;5.812e+06;5.879e+06;774000;792000;813000;589000;190000;110000;42000;66000;0;0;0
其他流动资产;778000;883000;673000;448000;237000;129000;131000;5000;5000;124000;78000;207000;150000;233000;229000;2.094e+06;2.069e+06;2.069e+06;2.033e+06;4.521e+06;3.829e+06;3.608e+06;1.072e+06;0;0;0
长期资产总额;2.73822e+08;3.33055e+08;3.09577e+08;2.05517e+08;1.20293e+08;1.265e+08;1.35575e+08;1.20196e+08;1.13954e+08;1.08198e+08;8.5972e+07;8.2344e+07;6.872e+07;6.0076e+07;5.5401e+07;4.1099e+07;4.4815e+07;2.4292e+07;2.2746e+07;1.921e+07;1.5407e+07;1.2206e+07;1.0831e+07;0;0;0
固定资产总额;9.5603e+07;1.01121e+08;1.06753e+08;1.061e+08;9.2968e+07;9.8255e+07;1.06637e+08;9.1056e+07;8.4662e+07;7.8403e+07;7.235e+07;6.6587e+07;5.6168e+07;5.0106e+07;4.5627e+07;3.8799e+07;4.3151e+07;2.2667e+07;2.1338e+07;1.8184e+07;1.4619e+07;1.0283e+07;1.0346e+07;0;0;0
固定资产;0;0;2.09764e+08;0;0;0;1.83896e+08;0;0;0;1.2145e+08;0;0;0;7.2674e+07;0;0;0;3.5532e+07;0;0;1.9545e+07;1.8273e+07;0;0;0
厂房设施与设备;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
机器设备;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
长期资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
累积折旧;0;0;-1.03011e+08;0;0;0;-7.7259e+07;0;0;0;-4.91e+07;0;0;0;-2.7047e+07;0;0;0;-1.4194e+07;0;0;-9.262e+06;-7.927e+06;0;0;0
股票及其他投资;8.9991e+07;1.57497e+08;1.48364e+08;4.5512e+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
商誉价值;4.253e+07;3.5083e+07;3.5083e+07;3.5083e+07;1.5531e+07;1.5531e+07;1.5531e+07;1.5531e+07;1.5531e+07;1.5531e+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他无形资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他长期资产;4.1626e+07;3.5139e+07;1.409e+07;1.634e+07;1.0203e+07;1.0954e+07;1.1958e+07;1.2154e+07;1.2322e+07;1.2802e+07;1.2078e+07;9.756e+06;6.181e+06;4.158e+06;3.895e+06;1.526e+06;872000;812000;819000;836000;678000;1.881e+06;419000;0;0;0
其他资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
负债和股东权益总计;1.473257e+09;1.430656e+09;1.398795e+09;1.319298e+09;1.271077e+09;1.239518e+09;1.287199e+09;1.14945e+09;1.10065e+09;1.044657e+09;1.030711e+09;9.92781e+08;9.3372e+08;8.92127e+08;8.65662e+08;7.73895e+08;7.47269e+08;7.0936e+08;3.54927e+08;3.01697e+08;2.80622e+08;8.9441e+07;8.6992e+07;0;0;0
负债总额;5.25295e+08;5.20783e+08;6.45172e+08;5.66696e+08;5.01807e+08;4.69645e+08;4.95351e+08;3.82409e+08;3.53098e+08;3.09465e+08;2.96766e+08;2.60339e+08;2.26158e+08;1.98641e+08;1.93656e+08;1.51734e+08;1.37083e+08;1.09509e+08;1.10267e+08;8.693e+07;7.26e+07;5.99e+07;7.7049e+07;0;0;-8.4e+06
流动负债总额;4.55994e+08;4.45185e+08;5.62729e+08;4.88135e+08;4.2642e+08;3.97799e+08;4.28721e+08;3.41852e+08;3.17412e+08;2.82001e+08;2.72601e+08;2.38747e+08;2.05909e+08;1.81663e+08;1.80274e+08;1.40038e+08;1.18393e+08;1.03409e+08;1.04289e+08;7.9767e+07;6.63e+07;5.39e+07;5.193e+07;0;0;4.3e+06
应付款项及应计费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
