资产负债表;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12
资产总额;2.1161e+11;2.06935e+11;1.97295e+11;1.89536e+11;1.78621e+11;1.72756e+11;1.67497e+11;1.59948e+11;1.54292e+11;1.49747e+11;1.47461e+11;1.44281e+11;1.38807e+11;1.334e+11;1.31133e+11;1.25781e+11;1.21608e+11;1.16526e+11;1.1092e+11;1.05068e+11;1.01182e+11;9.6692e+10;9.3798e+10
流动资产总额;1.24157e+11;1.23761e+11;1.24308e+11;1.19345e+11;1.12386e+11;1.08794e+11;1.05408e+11;9.8546e+10;9.4238e+10;9.0955e+10;9.0114e+10;8.8103e+10;8.4164e+10;8.0313e+10;8.0685e+10;8.0115e+10;7.7905e+10;7.5314e+10;7.2886e+10;6.8858e+10;6.6861e+10;6.2808e+10;6.0454e+10
现金总额;1.02254e+11;1.02885e+11;1.01871e+11;1.00143e+11;9.4713e+10;9.2439e+10;8.6333e+10;8.3056e+10;7.846e+10;7.5264e+10;7.3066e+10;7.2767e+10;6.978e+10;6.5436e+10;6.4395e+10;6.2157e+10;6.1204e+10;5.9379e+10;5.8717e+10;5.6523e+10;5.4432e+10;5.0098e+10;4.8088e+10
现金及到期存款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
现金及现金等价物;1.4148e+10;1.2658e+10;1.0715e+10;1.0581e+10;1.5711e+10;1.8132e+10;1.2918e+10;9.406e+09;1.3627e+10;1.5111e+10;1.6549e+10;1.8068e+10;1.8453e+10;1.6976e+10;1.8347e+10;1.5605e+10;1.962e+10;1.6639e+10;1.8898e+10;1.5242e+10;1.6164e+10;1.5375e+10;1.4778e+10
联邦基金卖出所得;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期投资;8.8106e+10;9.0227e+10;9.1156e+10;8.9562e+10;7.9002e+10;7.4307e+10;7.3415e+10;7.365e+10;6.4833e+10;6.0153e+10;5.6517e+10;5.4699e+10;5.1327e+10;4.846e+10;4.6048e+10;4.6552e+10;4.1584e+10;4.274e+10;3.9819e+10;4.1281e+10;3.8268e+10;3.4723e+10;3.331e+10
衍生资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债务证券;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应收账款;1.7043e+10;1.6777e+10;1.8336e+10;1.5295e+10;1.4003e+10;1.2913e+10;1.4137e+10;1.1979e+10;1.1686e+10;1.0818e+10;1.1556e+10;9.749e+09;9.394e+09;8.584e+09;9.383e+09;8.237e+09;8.321e+09;7.827e+09;8.882e+09;7.921e+09;7.321e+09;7.612e+09;7.885e+09
