资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06
资产总额;8.9593e+10;9.3282e+10;8.7896e+10;9.0515e+10;9.1146e+10;9.1201e+10;8.727e+10;9.3927e+10;9.4094e+10;9.1263e+10;9.0093e+10;9.3008e+10;9.3538e+10;9.1016e+10;9.2023e+10;9.6314e+10;9.5489e+10;9.1289e+10;9.0055e+10;8.9432e+10;8.9511e+10;8.845e+10;8.6174e+10;8.6654e+10;8.5149e+10
流动资产总额;3.6024e+10;3.8042e+10;3.6545e+10;3.8404e+10;3.8961e+10;4.0251e+10;3.401e+10;3.7956e+10;3.5873e+10;3.651e+10;3.3395e+10;3.6594e+10;3.2803e+10;3.2119e+10;3.2986e+10;3.5452e+10;3.3871e+10;3.1052e+10;3.1304e+10;3.1576e+10;3.2572e+10;3.1519e+10;3.0328e+10;2.9712e+10;2.9325e+10
现金总额;1.9354e+10;2.1373e+10;2.0675e+10;2.7357e+10;2.7224e+10;2.5205e+10;2.2201e+10;2.5569e+10;2.4075e+10;2.2211e+10;1.99e+10;2.2774e+10;2.0947e+10;2.0049e+10;2.1675e+10;2.3714e+10;2.1609e+10;1.9433e+10;2.0268e+10;2.0459e+10;1.9213e+10;1.8428e+10;1.6551e+10;1.8083e+10;0
现金及到期存款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
现金及现金等价物;7.975e+09;8.291e+09;6.006e+09;1.2528e+10;1.1718e+10;1.212e+10;8.555e+09;1.1147e+10;9.647e+09;8.748e+09;7.309e+09;9.983e+09;8.805e+09;8.211e+09;8.958e+09;1.1084e+10;1.1618e+10;9.131e+09;1.0414e+10;1.1118e+10;9.406e+09;9.162e+09;8.442e+09;9.615e+09;0
联邦基金卖出所得;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期投资;1.1379e+10;1.3082e+10;1.4669e+10;1.4829e+10;1.5506e+10;1.3085e+10;1.3646e+10;1.4422e+10;1.4428e+10;1.3463e+10;1.2591e+10;1.2791e+10;1.2142e+10;1.1838e+10;1.2717e+10;1.263e+10;9.991e+09;1.0302e+10;9.854e+09;9.341e+09;9.807e+09;9.266e+09;8.109e+09;8.468e+09;0
衍生资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债务证券;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应收账款;4.565e+09;3.904e+09;3.667e+09;3.664e+09;4.024e+09;3.702e+09;3.856e+09;4.082e+09;4.768e+09;4.147e+09;3.941e+09;4.028e+09;4.976e+09;4.461e+09;4.466e+09;5.081e+09;5.87e+09;5.233e+09;4.873e+09;5.116e+09;5.516e+09;5.007e+09;4.759e+09;5.083e+09;0
