资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06
资产总额;8.504e+10;8.6041e+10;8.7872e+10;9.1676e+10;9.2804e+10;9.6561e+10;9.5377e+10;9.8335e+10;9.6475e+10;9.8755e+10;1.01779e+11;1.01232e+11;1.02582e+11;1.08345e+11;9.8335e+10;1.01808e+11;9.786e+10;1.0846e+11;1.05645e+11;1.06419e+11;1.06876e+11;1.062e+11;1.06132e+11;1.06301e+11;1.05525e+11
流动资产总额;2.4064e+10;2.4085e+10;2.4766e+10;2.7919e+10;2.8167e+10;3.153e+10;3.0614e+10;2.944e+10;2.7926e+10;2.8772e+10;2.9764e+10;2.8567e+10;2.8319e+10;3.2927e+10;3.3173e+10;3.4723e+10;3.3587e+10;4.124e+10;3.5685e+10;3.7765e+10;3.6995e+10;3.5244e+10;3.4857e+10;3.6229e+10;3.5639e+10
现金总额;7.594e+09;7.346e+09;8.498e+09;1.1195e+10;1.1967e+10;1.5249e+10;1.4341e+10;1.3067e+10;1.1834e+10;1.2943e+10;1.3427e+10;1.2089e+10;1.137e+10;1.5601e+10;1.5719e+10;1.4347e+10;1.3395e+10;2.0513e+10;1.7486e+10;1.8169e+10;1.8098e+10;1.6022e+10;1.6141e+10;1.8117e+10;0
现金及到期存款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
现金及现金等价物;5.31e+09;4.483e+09;6.092e+09;7.901e+09;7.786e+09;1.1708e+10;6.515e+09;7.907e+09;6.608e+09;9.716e+09;8.524e+09;7.548e+09;6.922e+09;7.98e+09;7.441e+09;1.137e+10;9.743e+09;1.5828e+10;1.5621e+10;1.409e+10;1.509e+10;1.3024e+10;1.3451e+10;1.736e+10;0
联邦基金卖出所得;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期投资;2.284e+09;2.863e+09;2.406e+09;3.294e+09;4.181e+09;3.541e+09;7.826e+09;5.16e+09;5.226e+09;3.227e+09;4.903e+09;4.541e+09;4.448e+09;7.621e+09;8.278e+09;2.977e+09;3.652e+09;4.685e+09;1.865e+09;4.079e+09;3.008e+09;2.998e+09;2.69e+09;7.57e+08;0
衍生资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债务证券;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应收账款;7.287e+09;7.245e+09;6.873e+09;7.671e+09;7.439e+09;7.066e+09;7.018e+09;7.364e+09;6.916e+09;6.85e+09;6.484e+09;6.414e+09;6.51e+09;6.67e+09;6.626e+09;6.515e+09;7.022e+09;7.188e+09;7.184e+09;7.578e+09;7.779e+09;7.965e+09;7.672e+09;7.952e+09;0
预付费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
证券及投资;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
借入证券;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
贷款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
贷款净额;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
备付贷款损失;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
存货;5.178e+09;5.382e+09;5.096e+09;5.263e+09;5.407e+09;5.146e+09;4.866e+09;5.244e+09;5.248e+09;5.102e+09;4.7e+09;5.123e+09;5.306e+09;5.539e+09;5.571e+09;5.819e+09;6.136e+09;6.376e+09;6.226e+09;6.741e+09;6.766e+09;6.773e+09;6.535e+09;6.731e+09;0
递延税;0;0;0;0;0;0;0;0;0;0;5.153e+09;4.941e+09;5.133e+09;5.117e+09;5.257e+09;4.74e+09;3.659e+09;3.939e+09;4.789e+09;5.277e+09;4.352e+09;4.484e+09;4.509e+09;3.429e+09;0
其他流动资产;4.005e+09;4.112e+09;4.299e+09;3.79e+09;3.354e+09;4.069e+09;4.389e+09;3.765e+09;3.928e+09;3.877e+09;0;0;0;0;0;3.302e+09;3.375e+09;3.224e+09;0;0;0;0;0;0;0
长期资产总额;6.0976e+10;6.1956e+10;6.3106e+10;6.3757e+10;6.4637e+10;6.5031e+10;6.4763e+10;6.8895e+10;6.8549e+10;6.9983e+10;7.2015e+10;7.2665e+10;7.4263e+10;7.5418e+10;6.5162e+10;6.7085e+10;6.4273e+10;6.722e+10;6.996e+10;6.8654e+10;6.9881e+10;7.0956e+10;7.1275e+10;7.0072e+10;0
固定资产总额;1.2626e+10;1.2561e+10;1.2439e+10;1.2189e+10;1.2094e+10;1.2042e+10;1.2026e+10;1.2029e+10;1.1987e+10;1.236e+10;1.2507e+10;1.2482e+10;1.263e+10;1.291e+10;1.3136e+10;1.3438e+10;1.3893e+10;1.4296e+10;1.4973e+10;1.5323e+10;1.5683e+10;1.5802e+10;1.603e+10;0;0
