资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06
资产总额;1.64981e+11;1.64612e+11;1.71795e+11;1.72152e+11;1.68559e+11;1.68782e+11;1.71615e+11;1.7843e+11;1.70658e+11;1.62929e+11;1.6746e+11;1.70867e+11;1.60878e+11;1.6064e+11;1.69274e+11;1.71362e+11;1.72612e+11;1.71808e+11;1.72101e+11;1.75521e+11;1.79335e+11;1.87398e+11;1.85798e+11;1.82603e+11;1.82842e+11
流动资产总额;3.7303e+10;3.4835e+10;4.1141e+10;4.0291e+10;3.6385e+10;3.5878e+10;3.8949e+10;3.8501e+10;4.3845e+10;4.1298e+10;4.3804e+10;4.5001e+10;5.1715e+10;4.9443e+10;5.7702e+10;5.6987e+10;5.8287e+10;5.7793e+10;5.6244e+10;5.95e+10;6.1435e+10;6.4763e+10;6.1415e+10;5.7127e+10;5.8765e+10
现金总额;1.3431e+10;1.1421e+10;1.9992e+10;1.6925e+10;1.4333e+10;1.456e+10;1.785e+10;1.4371e+10;2.0942e+10;1.9443e+10;2.329e+10;2.0658e+10;3.0256e+10;2.7708e+10;3.6122e+10;3.3446e+10;3.4054e+10;3.3881e+10;3.2408e+10;3.3679e+10;3.3711e+10;3.5346e+10;3.2708e+10;2.2968e+10;0
现金及到期存款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
现金及现金等价物;2.704e+09;2.302e+09;1.342e+09;2.779e+09;2.585e+09;4.057e+09;2.595e+09;2.094e+09;3.411e+09;2.561e+09;3.641e+09;3.099e+09;3.67e+09;3.563e+09;3.343e+09;2.437e+09;3.406e+09;2.862e+09;2.183e+09;2.052e+09;2.436e+09;2.134e+09;1.0389e+10;4.506e+09;0
联邦基金卖出所得;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期投资;1.0727e+10;9.119e+09;1.865e+10;1.4146e+10;1.1748e+10;1.0503e+10;1.5255e+10;1.2277e+10;1.7531e+10;1.6882e+10;1.9649e+10;1.7559e+10;2.6586e+10;2.4145e+10;3.2779e+10;3.1009e+10;3.0648e+10;3.1019e+10;3.0225e+10;3.1627e+10;3.1275e+10;3.3212e+10;2.2319e+10;1.8462e+10;0
衍生资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债务证券;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应收账款;9.873e+09;9.452e+09;8.221e+09;1.0002e+10;9.476e+09;8.892e+09;8.225e+09;9.836e+09;9.138e+09;9.033e+09;8.176e+09;9.535e+09;8.951e+09;8.92e+09;8.669e+09;9.954e+09;1.0388e+10;9.399e+09;9.357e+09;1.1371e+10;1.1523e+10;1.2735e+10;1.2378e+10;1.2523e+10;0
预付费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
证券及投资;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
借入证券;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
贷款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
贷款净额;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
备付贷款损失;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
存货;8.074e+09;8.148e+09;7.578e+09;7.925e+09;7.584e+09;7.415e+09;6.783e+09;7.507e+09;7.615e+09;7.579e+09;7.513e+09;7.678e+09;5.796e+09;5.787e+09;5.663e+09;6.355e+09;6.249e+09;6.066e+09;6.166e+09;6.482e+09;6.282e+09;7.035e+09;7.063e+09;7.516e+09;0
递延税;1.848e+09;1.883e+09;1.855e+09;1.858e+09;1.952e+09;1.909e+09;1.812e+09;1.859e+09;1.805e+09;1.738e+09;1.794e+09;1.512e+09;1.45e+09;1.477e+09;1.544e+09;1.373e+09;1.383e+09;1.498e+09;1.554e+09;0;0;0;0;0;0
其他流动资产;5.925e+09;5.814e+09;5.35e+09;5.439e+09;4.992e+09;5.011e+09;6.091e+09;6.787e+09;6.15e+09;5.243e+09;4.825e+09;2.247e+09;2.449e+09;2.814e+09;2.75e+09;2.545e+09;2.727e+09;3.473e+09;3.689e+09;7.968e+09;9.919e+09;9.647e+09;9.266e+09;1.412e+10;0
长期资产总额;1.27678e+11;1.29777e+11;1.30654e+11;1.31861e+11;1.32174e+11;1.32904e+11;1.32666e+11;1.39929e+11;1.26813e+11;1.21631e+11;1.23656e+11;1.25866e+11;1.09163e+11;1.11197e+11;1.11572e+11;1.14375e+11;1.14325e+11;1.14015e+11;1.15857e+11;1.16021e+11;1.179e+11;1.22635e+11;1.24383e+11;1.25476e+11;0
固定资产总额;1.3919e+10;1.3971e+10;1.3865e+10;1.3505e+10;1.3386e+10;1.3238e+10;1.3318e+10;1.3284e+10;1.3609e+10;1.3584e+10;1.3766e+10;1.3695e+10;1.1432e+10;1.1527e+10;1.1762e+10;1.2032e+10;1.2179e+10;1.2347e+10;1.2397e+10;1.2359e+10;1.2443e+10;1.395e+10;1.4461e+10;0;0
固定资产;3.0763e+10;3.0636e+10;3.0037e+10;2.9411e+10;2.8892e+10;2.8288e+10;2.8125e+10;2.8122e+10;2.8246e+10;2.7586e+10;2.7268e+10;0;0;0;2.4988e+10;0;0;0;2.5678e+10;0;0;0;2.7882e+10;0;0
厂房设施与设备;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
机器设备;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
长期资产;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
累积折旧;-1.6844e+10;-1.6665e+10;-1.6172e+10;-1.5906e+10;-1.5506e+10;-1.505e+10;-1.4807e+10;-1.4838e+10;-1.4637e+10;-1.4002e+10;-1.3502e+10;0;0;0;-1.3226e+10;0;0;0;-1.3281e+10;0;0;0;-1.3421e+10;0;0
股票及其他投资;6.595e+09;6.945e+09;7.015e+09;7.311e+09;7.008e+09;7.346e+09;7.116e+09;9.507e+09;1.3124e+10;1.4146e+10;1.5999e+10;1.6233e+10;1.765e+10;1.8289e+10;1.7518e+10;1.8451e+10;1.7168e+10;1.5822e+10;1.6406e+10;1.5731e+10;1.6107e+10;1.5392e+10;1.4149e+10;1.3429e+10;0
