zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
流动资产,,,,,,,,,,,,,,
现金及现金等价物(元),128261000000.00,137359000000.00,142421000000.00,144714000000.00,131775000000.00,135492000000.00,122222000000.00,94922000000.00,99980000000.00,90326000000.00,80769000000.00,71690000000.00,65600000000.00,69730000000.00
受限制存款及现金(元),2051000000.00,1694000000.00,1606000000.00,1407000000.00,1327000000.00,763000000.00,750000000.00,809000000.00,125490000000.00,85816000000.00,54731000000.00,38810000000.00,20262000000.00,13832000000.00
以公允价值计量且其变动计入当期损益的金融资产流动(元),5782000000.00,5022000000.00,-,-,-,-,-,-,-,-,-,-,-,-
应收账款及票据(元),21558000000.00,20627000000.00,16549000000.00,15567000000.00,14448000000.00,12900000000.00,10152000000.00,9507000000.00,8810000000.00,7148000000.00,7061000000.00,6821000000.00,5536000000.00,5195000000.00
预付款项、按金及其他应收款项流动(元),23499000000.00,22349000000.00,17110000000.00,17857000000.00,18013000000.00,17579000000.00,14118000000.00,12981000000.00,11908000000.00,12723000000.00,11397000000.00,11809000000.00,9544000000.00,9153000000.00
存货(元),306000000.00,285000000.00,295000000.00,312000000.00,297000000.00,263000000.00,263000000.00,231000000.00,216000000.00,226000000.00,222000000.00,240000000.00,238000000.00,279000000.00
流动资产其他项目(元),394000000.00,466000000.00,465000000.00,1753000000.00,1974000000.00,2253000000.00,1649000000.00,1765000000.00,1537000000.00,928000000.00,1198000000.00,-,-,-
流动资产合计(元),181851000000.00,187802000000.00,178446000000.00,181610000000.00,167834000000.00,169250000000.00,149154000000.00,120215000000.00,247941000000.00,197167000000.00,155378000000.00,129370000000.00,101180000000.00,98189000000.00
非流动资产,,,,,,,,,,,,,,
物业、厂房及设备(元),30814000000.00,25884000000.00,23597000000.00,17159000000.00,15874000000.00,14708000000.00,13900000000.00,12519000000.00,11469000000.00,10301000000.00,9973000000.00,8879000000.00,8528000000.00,7774000000.00
投资物业(元),756000000.00,771000000.00,800000000.00,815000000.00,846000000.00,847000000.00,854000000.00,685000000.00,710000000.00,291000000.00,292000000.00,264000000.00,265000000.00,266000000.00
预付款项、按金及其他应收款项非流动(元),14301000000.00,12977000000.00,11173000000.00,12809000000.00,8261000000.00,7499000000.00,7363000000.00,32122000000.00,7049000000.00,6694000000.00,5480000000.00,3873000000.00,2115000000.00,996000000.00
土地使用权(元),6846000000.00,6883000000.00,5111000000.00,5138000000.00,5165000000.00,5147000000.00,5174000000.00,5201000000.00,4066000000.00,4087000000.00,2293000000.00,2274000000.00,2286000000.00,748000000.00
商誉及无形资产(元),46729000000.00,41239000000.00,40266000000.00,39194000000.00,38891000000.00,36338000000.00,36467000000.00,33193000000.00,14190000000.00,13793000000.00,13439000000.00,13184000000.00,10285000000.00,10441000000.00
无形资产(元),46729000000.00,41239000000.00,40266000000.00,39194000000.00,38891000000.00,36338000000.00,36467000000.00,33193000000.00,14190000000.00,13793000000.00,13439000000.00,13184000000.00,10285000000.00,10441000000.00
于联营和合营公司投资(元),159420000000.00,140716000000.00,144581000000.00,105852000000.00,98706000000.00,84840000000.00,80299000000.00,76343000000.00,72868000000.00,68299000000.00,66945000000.00,63752000000.00,58788000000.00,58000000000.00
以公允价值计量且其变动计入当期损益的金融资产非流动(元),188611000000.00,182093000000.00,-,-,-,-,-,-,-,-,-,-,-,-
可供出售金融资产非流动(元),-,-,127218000000.00,123965000000.00,107117000000.00,97527000000.00,83806000000.00,56211000000.00,54827000000.00,43489000000.00,44339000000.00,31446000000.00,26370000000.00,17171000000.00
递延税项资产(元),11172000000.00,10369000000.00,9793000000.00,9871000000.00,8076000000.00,7536000000.00,7033000000.00,6410000000.00,4739000000.00,667000000.00,757000000.00,727000000.00,621000000.00,432000000.00
非流动资产其他项目(元),6308000000.00,5448000000.00,13687000000.00,17205000000.00,14743000000.00,12046000000.00,11849000000.00,9863000000.00,13100000000.00,14209000000.00,7922000000.00,8108000000.00,7624000000.00,8523000000.00
非流动资产合计(元),464957000000.00,426380000000.00,376226000000.00,332008000000.00,297679000000.00,266488000000.00,246745000000.00,232547000000.00,183018000000.00,161830000000.00,151440000000.00,132507000000.00,116882000000.00,104351000000.00
资产总额(元),646808000000.00,614182000000.00,554672000000.00,513618000000.00,465513000000.00,435738000000.00,395899000000.00,352762000000.00,430959000000.00,358997000000.00,306818000000.00,261877000000.00,218062000000.00,202540000000.00
流动负债,,,,,,,,,,,,,,
短期借款(元),28109000000.00,18037000000.00,15696000000.00,15907000000.00,10779000000.00,11889000000.00,12278000000.00,12555000000.00,10080000000.00,12373000000.00,11429000000.00,6711000000.00,4280000000.00,3534000000.00
应付账款及票据(元),74897000000.00,54689000000.00,54837000000.00,46676000000.00,41041000000.00,40385000000.00,30879000000.00,31238000000.00,28450000000.00,23617000000.00,19586000000.00,12418000000.00,12145000000.00,11902000000.00
其他应付款项及应计费用(元),26731000000.00,27433000000.00,29433000000.00,26155000000.00,21224000000.00,17998000000.00,20873000000.00,17832000000.00,138759000000.00,98546000000.00,70199000000.00,51467000000.00,32085000000.00,23125000000.00
应付税项(元),8310000000.00,10300000000.00,9642000000.00,10185000000.00,7373000000.00,8305000000.00,5964000000.00,5306000000.00,3939000000.00,2724000000.00,2070000000.00,2489000000.00,1958000000.00,2331000000.00
递延收入流动(元),40827000000.00,45208000000.00,42132000000.00,43887000000.00,42960000000.00,42513000000.00,31203000000.00,29118000000.00,27774000000.00,26961000000.00,21122000000.00,19427000000.00,18030000000.00,19182000000.00
流动负债合计(元),178874000000.00,155667000000.00,151740000000.00,142810000000.00,123377000000.00,121090000000.00,101197000000.00,96049000000.00,209002000000.00,164221000000.00,124406000000.00,92512000000.00,68498000000.00,60074000000.00
流动资产净值(元),2977000000.00,32135000000.00,26706000000.00,38800000000.00,44457000000.00,48160000000.00,47957000000.00,24166000000.00,38939000000.00,32946000000.00,30972000000.00,36858000000.00,32682000000.00,38115000000.00
总资产减流动负债(元),467934000000.00,458515000000.00,402932000000.00,370808000000.00,342136000000.00,314648000000.00,294702000000.00,256713000000.00,221957000000.00,194776000000.00,182412000000.00,169365000000.00,149564000000.00,142466000000.00
非流动负债,,,,,,,,,,,,,,
长期借款(元),77876000000.00,78695000000.00,82094000000.00,81383000000.00,70460000000.00,62935000000.00,57549000000.00,37235000000.00,33030000000.00,18802000000.00,12922000000.00,7284000000.00,4280000000.00,5835000000.00
递延税项负债(元),9097000000.00,8808000000.00,5975000000.00,5647000000.00,5171000000.00,5515000000.00,5153000000.00,4406000000.00,3920000000.00,3518000000.00,3668000000.00,3232000000.00,3017000000.00,2739000000.00
递延收入非流动(元),3325000000.00,3592000000.00,2391000000.00,2195000000.00,1886000000.00,1650000000.00,2038000000.00,2546000000.00,2365000000.00,2687000000.00,3004000000.00,3307000000.00,3000000000.00,3256000000.00
非流动负债其他项目(元),7461000000.00,6837000000.00,6016000000.00,36678000000.00,38221000000.00,38861000000.00,43715000000.00,38577000000.00,38521000000.00,40660000000.00,40718000000.00,44539000000.00,39043000000.00,39966000000.00
非流动负债合计(元),147192000000.00,157460000000.00,125839000000.00,125903000000.00,115738000000.00,108961000000.00,108455000000.00,82764000000.00,77836000000.00,65667000000.00,60312000000.00,58362000000.00,49340000000.00,51796000000.00
负债总额(元),326066000000.00,313127000000.00,277579000000.00,268713000000.00,239115000000.00,230051000000.00,209652000000.00,178813000000.00,286838000000.00,229888000000.00,184718000000.00,150874000000.00,117838000000.00,111870000000.00
股东权益,,,,,,,,,,,,,,
储备(元),298970000000.00,281638000000.00,260044000000.00,236937000000.00,218187000000.00,197635000000.00,177760000000.00,166716000000.00,143695000000.00,129123000000.00,121852000000.00,110155000000.00,99007000000.00,89609000000.00
其中：股本溢价(元),25215000000.00,23551000000.00,22204000000.00,20661000000.00,19793000000.00,18524000000.00,17324000000.00,15554000000.00,14619000000.00,13670000000.00,12167000000.00,6810000000.00,6155000000.00,5599000000.00
留存收益(元),256551000000.00,242150000000.00,202682000000.00,182401000000.00,164398000000.00,151219000000.00,136743000000.00,126855000000.00,116192000000.00,109185000000.00,100012000000.00,93059000000.00,85614000000.00,80940000000.00
其他储备(元),17204000000.00,15937000000.00,35158000000.00,33875000000.00,33996000000.00,27892000000.00,23693000000.00,24307000000.00,12884000000.00,6268000000.00,9673000000.00,10286000000.00,7238000000.00,3070000000.00
归属于母公司股东权益其他项目(元),-4184000000.00,-4095000000.00,-3970000000.00,-3903000000.00,-3513000000.00,-3332000000.00,-3136000000.00,-2918000000.00,-2425000000.00,-2257000000.00,-1817000000.00,-1867000000.00,-1405000000.00,-1363000000.00
归属于母公司股东权益(元),294786000000.00,277543000000.00,256074000000.00,233034000000.00,214674000000.00,194303000000.00,174624000000.00,163798000000.00,141270000000.00,126866000000.00,120035000000.00,108288000000.00,97602000000.00,88246000000.00
非控股权益(元),25956000000.00,23512000000.00,21019000000.00,11871000000.00,11724000000.00,11384000000.00,11623000000.00,10151000000.00,2851000000.00,2243000000.00,2065000000.00,2715000000.00,2622000000.00,2424000000.00
股东权益合计(元),320742000000.00,301055000000.00,277093000000.00,244905000000.00,226398000000.00,205687000000.00,186247000000.00,173949000000.00,144121000000.00,129109000000.00,122100000000.00,111003000000.00,100224000000.00,90670000000.00
负债及股东权益合计(元),646808000000.00,614182000000.00,554672000000.00,513618000000.00,465513000000.00,435738000000.00,395899000000.00,352762000000.00,430959000000.00,358997000000.00,306818000000.00,261877000000.00,218062000000.00,202540000000.00
公告日期,2018-08-15,2018-05-16,2018-03-21,2017-11-15,2017-08-16,2017-05-17,2017-03-22,2016-11-16,2016-08-17,2016-05-18,2016-03-17,2015-11-10,2015-08-12,2015-05-13
