zichanfuzhai
,2018年中报,2017年年报,2017年中报,2016年年报,2016年中报,2015年年报

截止日期,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231
上市前/上市后,上市后,上市后,上市后,上市后,上市前,上市前
原始币种,人民币,人民币,人民币,人民币,人民币,人民币
流动资产,,,,,,
现金及现金等价物(元),1894306000.00,2039166000.00,2149585000.00,2461260000.00,85782000.00,82338000.00
受限制存款及现金(元),20866000.00,14911000.00,-,60000.00,60000.00,560000.00
衍生金融资产流动(元),711000000.00,-,-,-,-,-
可供出售金融资产流动(元),-,30000000.00,-,10000000.00,125000000.00,100000000.00
应收账款及票据(元),22994000.00,25506000.00,8910000.00,7882000.00,5182000.00,6356000.00
应收关连公司款项(元),1305000.00,1801000.00,1230000.00,160000.00,975000.00,149000.00
预付款项、按金及其他应收款项流动(元),193297000.00,1108512000.00,893076000.00,786083000.00,251533000.00,78075000.00
存货(元),235890000.00,248435000.00,227750000.00,206224000.00,115207000.00,134073000.00
流动资产其他项目(元),3124000.00,3489000.00,5357000.00,7447000.00,4030000.00,5417000.00
流动资产合计(元),3082782000.00,3471820000.00,3285908000.00,3479116000.00,587769000.00,406968000.00
非流动资产,,,,,,
物业、厂房及设备(元),966415000.00,839028000.00,683311000.00,459875000.00,452056000.00,395373000.00
预付款项、按金及其他应收款项非流动(元),240265000.00,222214000.00,174537000.00,134743000.00,119892000.00,121511000.00
商誉及无形资产(元),8094000.00,7962000.00,6898000.00,6713000.00,7120000.00,7374000.00
无形资产(元),8094000.00,7962000.00,6898000.00,6713000.00,7120000.00,7374000.00
于联营和合营公司投资(元),250000000.00,-,-,-,-,-
递延税项资产(元),42950000.00,31410000.00,30755000.00,26569000.00,27891000.00,24842000.00
非流动资产合计(元),1507724000.00,1100614000.00,895501000.00,627900000.00,606959000.00,549100000.00
资产总额(元),4590506000.00,4572434000.00,4181409000.00,4107016000.00,1194728000.00,956068000.00
流动负债,,,,,,
应付账款及票据(元),72857000.00,86301000.00,98750000.00,81981000.00,67604000.00,49866000.00
其他应付款项及应计费用(元),304897000.00,347281000.00,244270000.00,289108000.00,236243000.00,218984000.00
应付税项(元),62332000.00,96263000.00,97317000.00,117120000.00,99334000.00,68125000.00
递延收入流动(元),902000.00,902000.00,902000.00,996000.00,697000.00,597000.00
流动负债合计(元),440988000.00,530747000.00,441239000.00,489205000.00,403878000.00,547918000.00
流动资产净值(元),2641794000.00,2941073000.00,2844669000.00,2989911000.00,183891000.00,-140950000.00
总资产减流动负债(元),4149518000.00,4041687000.00,3740170000.00,3617811000.00,790850000.00,408150000.00
非流动负债,,,,,,
递延税项负债(元),4334000.00,4076000.00,-,-,-,-
递延收入非流动(元),36487000.00,36938000.00,17789000.00,18240000.00,16769000.00,16168000.00
