zichanfuzhai
,2018年中报,2017年年报,2017年中报,2016年年报,2016年中报,2015年年报,2015年中报

截止日期,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
原始币种,英镑,英镑,英镑,英镑,英镑,英镑,英镑
资产,,,,,,,
现金及现金等价物(元),8450000000.00,10690000000.00,9893000000.00,10065000000.00,8530000000.00,7782000000.00,8298000000.00
预付款项、按金及其他应收款项(元),3519000000.00,2963000000.00,3417000000.00,3019000000.00,3505000000.00,1955000000.00,3626000000.00
再保险资产(元),9620000000.00,9673000000.00,9709000000.00,10051000000.00,9470000000.00,7903000000.00,7259000000.00
贷款及垫款(元),16922000000.00,17042000000.00,16952000000.00,15173000000.00,14215000000.00,12958000000.00,12578000000.00
可收回本期税项(元),626000000.00,613000000.00,700000000.00,440000000.00,554000000.00,477000000.00,220000000.00
物业、厂房及设备(元),951000000.00,789000000.00,727000000.00,743000000.00,1214000000.00,1197000000.00,984000000.00
投资物业(元),17605000000.00,16497000000.00,15218000000.00,14646000000.00,13940000000.00,13422000000.00,13259000000.00
商誉及无形资产(元),1620000000.00,1482000000.00,1501000000.00,1628000000.00,1677000000.00,1648000000.00,1645000000.00
其中：商誉(元),1620000000.00,1482000000.00,1501000000.00,1628000000.00,1677000000.00,1648000000.00,1645000000.00
于联营和合营公司投资(元),1554000000.00,1416000000.00,1293000000.00,1273000000.00,1135000000.00,1034000000.00,962000000.00
递延税项资产(元),2435000000.00,2627000000.00,4105000000.00,4315000000.00,3771000000.00,2819000000.00,2820000000.00
资产其他项目(元),437868000000.00,430149000000.00,417615000000.00,409145000000.00,381313000000.00,335790000000.00,326250000000.00
资产总额(元),501170000000.00,493941000000.00,481130000000.00,470498000000.00,439324000000.00,386985000000.00,377901000000.00
负债,,,,,,,
保险负债总额(元),920000000.00,329295000000.00,759000000.00,317383000000.00,362977000000.00,261357000000.00,314166000000.00
投资合同负债(元),405482000000.00,83071000000.00,398980000000.00,72560000000.00,-,61765000000.00,-
借款(元),7985000000.00,8071000000.00,8710000000.00,9115000000.00,4225000000.00,3292000000.00,3593000000.00
衍生金融负债(元),3149000000.00,2755000000.00,2870000000.00,3252000000.00,5342000000.00,3119000000.00,1758000000.00
应付账款及其他应付款(元),-,-,-,-,6520000000.00,4876000000.00,5515000000.00
应付税项(元),415000000.00,537000000.00,743000000.00,649000000.00,566000000.00,325000000.00,393000000.00
递延税项负债(元),4443000000.00,4715000000.00,5683000000.00,5370000000.00,5397000000.00,4010000000.00,4325000000.00
负债其他项目(元),62886000000.00,49403000000.00,47935000000.00,47502000000.00,39691000000.00,35285000000.00,36046000000.00
负债总额(元),485280000000.00,477847000000.00,465680000000.00,455831000000.00,424718000000.00,374029000000.00,365796000000.00
股东权益,,,,,,,
归属于母公司股东权益其他项目(元),15882000000.00,16087000000.00,15449000000.00,14666000000.00,14605000000.00,12955000000.00,12104000000.00
归属于母公司股东权益(元),15882000000.00,16087000000.00,15449000000.00,14666000000.00,14605000000.00,12955000000.00,12104000000.00
非控股权益(元),8000000.00,7000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
股东权益合计(元),15890000000.00,16094000000.00,15450000000.00,14667000000.00,14606000000.00,12956000000.00,12105000000.00
负债及股东权益合计(元),501170000000.00,493941000000.00,481130000000.00,470498000000.00,439324000000.00,386985000000.00,377901000000.00
公告日期,2018-08-08,2018-03-14,2017-08-10,2017-03-14,2016-08-10,2016-03-09,2015-08-11
会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则
审计意见,-,-,-,-,-,-,-
核数师,-,-,-,-,-,-,-
原始财报文件下载,下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF)

xianjinliuliang
,2018年中报,2017年年报,2017年中报,2016年年报,2016年中报,2015年年报,2015年中报

起始日期,2018-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01
截止日期,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
原始币种,英镑,英镑,英镑,英镑,英镑,英镑,英镑
经营活动产生的现金流量,,,,,,,
除税前利润(元),1733000000.00,3970000000.00,2207000000.00,3212000000.00,956000000.00,3321000000.00,2084000000.00
投资亏损收益(元),7616000000.00,-58765000000.00,-26539000000.00,-47573000000.00,-,-,-
利息收入(元),-,-,-,-,-,-1410000000.00,-
经营资金变动其他项目(元),-10080000000.00,47818000000.00,-,47512000000.00,-,-,-
经营活动产生的现金(元),-731000000.00,-6977000000.00,-,3151000000.00,-,-,-
已收利息经营(元),-,6900000000.00,-,-,-,-,-
已付税项(元),-,-915000000.00,-,-950000000.00,-,-1340000000.00,-
经营活动产生的现金流量净额其他项目(元),-,2612000000.00,24422000000.00,-,-153000000.00,1962000000.00,315000000.00
经营活动产生的现金流量净额(元),-731000000.00,1620000000.00,90000000.00,2201000000.00,803000000.00,2533000000.00,2399000000.00
投资活动产生的现金流量,,,,,,,
购买物业、厂房及设备支付的现金(元),-,-134000000.00,813000000.00,-348000000.00,-,-256000000.00,-
出售物业、厂房及设备收到的现金(元),-167000000.00,-,-56000000.00,102000000.00,-32000000.00,30000000.00,-90000000.00
出售无形资产及其他资产收到的现金(元),-,1301000000.00,-,-,-,43000000.00,-
购买子公司、联营企业及合营企业支付的现金(元),-,-351000000.00,-,-303000000.00,-,-286000000.00,-
投资活动产生的现金流量净额其他项目(元),-248000000.00,-,-,-,-302000000.00,-,34000000.00
投资活动产生的现金流量净额(元),-415000000.00,816000000.00,757000000.00,-549000000.00,-334000000.00,-469000000.00,-56000000.00
融资活动产生的现金流量,,,,,,,
偿还借款(元),-100000000.00,-,-,-,-,590000000.00,-
发行股份(元),6000000.00,21000000.00,10000000.00,13000000.00,6000000.00,7000000.00,2000000.00
发行债券(元),-,-,-,1227000000.00,681000000.00,-,590000000.00
已付股息融资(元),-840000000.00,-1159000000.00,-,-1267000000.00,-935000000.00,-974000000.00,-659000000.00
已付利息融资(元),-191000000.00,-378000000.00,-997000000.00,-344000000.00,-164000000.00,-297000000.00,-148000000.00
融资活动产生的现金流量净额其他项目(元),-,-186000000.00,-,-,-,-,-
融资活动产生的现金流量净额(元),-1125000000.00,-1702000000.00,-987000000.00,-371000000.00,-412000000.00,-674000000.00,-215000000.00
现金及现金等价物净增加额(元),-2271000000.00,734000000.00,-140000000.00,1281000000.00,57000000.00,1390000000.00,2128000000.00
现金及现金等价物的期初余额(元),10690000000.00,10065000000.00,10065000000.00,7782000000.00,7782000000.00,6409000000.00,6409000000.00
现金及现金等价物的期末余额其他项目(元),31000000.00,-109000000.00,-32000000.00,1002000000.00,691000000.00,-17000000.00,-239000000.00
现金及现金等价物的期末余额(元),8450000000.00,10690000000.00,9893000000.00,10065000000.00,8530000000.00,7782000000.00,8298000000.00
公告日期,2018-08-08,2018-03-14,2017-08-10,2017-03-13,2016-08-10,2016-03-09,2015-08-11
会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则
审计意见,-,-,-,-,-,-,-
审核师,-,-,-,-,-,-,-
原始财报文件下载,下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF)

lirun
,2018年中报,2017年年报,2017年中报,2016年年报,2016年中报,2015年年报,2015年中报

起始日期,2018-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01
截止日期,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
原始币种,英镑,英镑,英镑,英镑,英镑,英镑,英镑
营业收入计算(元),10919000000.00,86562000000.00,43009000000.00,71842000000.00,35541000000.00,41305000000.00,25279000000.00
总保费收入(元),21341000000.00,44005000000.00,21158000000.00,38981000000.00,-,36663000000.00,-
分出保费(元),-12961000000.00,-2062000000.00,-,-2020000000.00,-,-1157000000.00,-
已赚净保费(元),8380000000.00,41943000000.00,21158000000.00,36961000000.00,17394000000.00,35506000000.00,17884000000.00
投资收益(元),1434000000.00,42189000000.00,20629000000.00,32511000000.00,17062000000.00,3304000000.00,6110000000.00
其他收入(元),1105000000.00,2430000000.00,1222000000.00,2370000000.00,1085000000.00,2495000000.00,1285000000.00
营业支出计算(元),-9288000000.00,-82960000000.00,-40767000000.00,-68452000000.00,-34502000000.00,-37864000000.00,-23123000000.00
保单持有人利益(元),-4696000000.00,-70086000000.00,-35442000000.00,-58536000000.00,-30939000000.00,-29158000000.00,-18618000000.00
手续费及佣金支出(元),-4535000000.00,-10165000000.00,-5330000000.00,-8848000000.00,-3563000000.00,-8208000000.00,-4505000000.00
其他支出(元),-57000000.00,-2709000000.00,5000000.00,-1068000000.00,-,-498000000.00,-
经营溢利计算(元),1631000000.00,3602000000.00,2242000000.00,3390000000.00,1039000000.00,3441000000.00,2156000000.00
应占合营公司溢利(元),102000000.00,302000000.00,120000000.00,182000000.00,86000000.00,238000000.00,122000000.00
财务成本(元),-,-,-216000000.00,-360000000.00,-169000000.00,-312000000.00,-148000000.00
影响税前利润的其他项目(元),-,-66000000.00,-61000000.00,-,-,46000000.00,46000000.00
税前利润(元),1733000000.00,3970000000.00,2207000000.00,3212000000.00,956000000.00,3321000000.00,2084000000.00
所得税(元),-377000000.00,-1580000000.00,-702000000.00,-1291000000.00,-269000000.00,-742000000.00,-646000000.00
影响净利润的其他项目(元),-754000000.00,-,-,-,-,-,-
净利润(元),1356000000.00,2390000000.00,1505000000.00,1921000000.00,687000000.00,2579000000.00,1438000000.00
本公司拥有人应占净利润(元),1355000000.00,2389000000.00,1505000000.00,1921000000.00,687000000.00,2579000000.00,1438000000.00
非控股权益应占净利润(元),1000000.00,1000000.00,-,-,-,-,-
每股股息(元),0.16,0.45,-,0.44,0.13,0.49,0.12
每股收益,,,,,,,
基本每股收益(元),0.53,0.93,0.59,0.75,0.27,1.01,0.56
稀释每股收益(元),0.53,0.93,0.59,0.75,0.27,1.01,0.56
其他全面收益(元),-772000000.00,105000000.00,61000000.00,1099000000.00,1909000000.00,-489000000.00,-525000000.00
全面收益总额(元),584000000.00,2495000000.00,1566000000.00,3020000000.00,2596000000.00,2090000000.00,913000000.00
本公司拥有人应占全面收益总额(元),583000000.00,2494000000.00,1566000000.00,3020000000.00,2596000000.00,-,913000000.00
非控股权益应占全面收益总额(元),1000000.00,1000000.00,-,-,-,-,-
公告日期,2018-08-08,2018-03-14,2017-08-10,2017-03-14,2016-08-10,2016-03-09,2015-08-11
会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则,国际会计准则
审计意见,-,-,-,-,-,-,-
核数师,-,-,-,-,-,-,-
原始财报文件下载,下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF)

