zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0929,0929,0930,0930,0930,0930,0924,0924,0924,0924,0926,0927,0927,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),45059000000.00,27491000000.00,20289000000.00,18571000000.00,15157000000.00,16371000000.00,20484000000.00,18237000000.00,21514000000.00,16689000000.00,21120000000.00,15319000000.00,14489000000.00,19478000000.00
应收账款及票据(元),14324000000.00,23440000000.00,17874000000.00,12399000000.00,11579000000.00,14057000000.00,15754000000.00,11714000000.00,12229000000.00,12953000000.00,16849000000.00,10370000000.00,10905000000.00,16709000000.00
预付款项及其他应收款流动(元),8084000000.00,27459000000.00,17799000000.00,10233000000.00,9033000000.00,13920000000.00,13545000000.00,7328000000.00,7595000000.00,11668000000.00,13494000000.00,9537000000.00,7259000000.00,13267000000.00
存货(元),7662000000.00,4421000000.00,4855000000.00,3146000000.00,2910000000.00,2712000000.00,2132000000.00,1831000000.00,2281000000.00,2451000000.00,2349000000.00,2042000000.00,2396000000.00,2283000000.00
递延所得税资产流动(元),-,-,-,-,-,-,-,-,-,-,5546000000.00,5010000000.00,5141000000.00,5046000000.00
短期投资(元),42881000000.00,49662000000.00,53892000000.00,58188000000.00,51944000000.00,44081000000.00,46671000000.00,43519000000.00,33769000000.00,21385000000.00,20481000000.00,19384000000.00,18607000000.00,12985000000.00
流动资产其他项目(元),12043000000.00,11337000000.00,13936000000.00,10338000000.00,11367000000.00,12191000000.00,8283000000.00,11132000000.00,10204000000.00,11073000000.00,9539000000.00,9291000000.00,9094000000.00,13635000000.00
流动资产合计(元),130053000000.00,143810000000.00,128645000000.00,112875000000.00,101990000000.00,103332000000.00,106869000000.00,93761000000.00,87592000000.00,76219000000.00,89378000000.00,70953000000.00,67891000000.00,83403000000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),35077000000.00,33679000000.00,33783000000.00,29286000000.00,27163000000.00,26510000000.00,27010000000.00,25448000000.00,23203000000.00,22300000000.00,22471000000.00,21149000000.00,20151000000.00,20392000000.00
无形资产(元),-,2149000000.00,2298000000.00,2444000000.00,2617000000.00,2848000000.00,3206000000.00,3506000000.00,3843000000.00,3924000000.00,3893000000.00,3779000000.00,4061000000.00,4370000000.00
商誉(元),-,5889000000.00,5717000000.00,5661000000.00,5473000000.00,5423000000.00,5414000000.00,5261000000.00,5249000000.00,5202000000.00,5116000000.00,5044000000.00,4711000000.00,4629000000.00
长期投资(元),179286000000.00,207944000000.00,194714000000.00,184757000000.00,189740000000.00,185638000000.00,170430000000.00,169764000000.00,177645000000.00,177665000000.00,164065000000.00,168145000000.00,160443000000.00,145492000000.00
非流动资产其他项目(元),23086000000.00,13323000000.00,10162000000.00,10150000000.00,7549000000.00,7390000000.00,8757000000.00,7862000000.00,7745000000.00,7974000000.00,5556000000.00,4081000000.00,3937000000.00,3608000000.00
非流动资产合计(元),237449000000.00,262984000000.00,246674000000.00,232298000000.00,232542000000.00,227809000000.00,214817000000.00,211841000000.00,217685000000.00,217065000000.00,201101000000.00,202198000000.00,193303000000.00,178491000000.00
总资产(元),367502000000.00,406794000000.00,375319000000.00,345173000000.00,334532000000.00,331141000000.00,321686000000.00,305602000000.00,305277000000.00,293284000000.00,290479000000.00,273151000000.00,261194000000.00,261894000000.00
流动负债：,,,,,,,,,,,,,,
短期债务及长期负债本期部分(元),8498000000.00,6498000000.00,6496000000.00,6495000000.00,3999000000.00,3499000000.00,3500000000.00,3500000000.00,2500000000.00,2500000000.00,2500000000.00,2500000000.00,-,-
应付账款及票据(元),34311000000.00,62985000000.00,49049000000.00,31915000000.00,28573000000.00,38510000000.00,37294000000.00,26318000000.00,25098000000.00,33312000000.00,35490000000.00,26474000000.00,23159000000.00,38001000000.00
其他应付款及应计费用(元),26756000000.00,26281000000.00,25744000000.00,23304000000.00,23096000000.00,23739000000.00,22027000000.00,20820000000.00,23208000000.00,24032000000.00,25181000000.00,22724000000.00,22827000000.00,22724000000.00
递延收入流动(元),7775000000.00,8044000000.00,7548000000.00,7608000000.00,7682000000.00,7889000000.00,8080000000.00,8352000000.00,9461000000.00,8989000000.00,8940000000.00,9088000000.00,8944000000.00,8987000000.00
流动负债其他项目(元),11980000000.00,11980000000.00,11977000000.00,11980000000.00,9992000000.00,10493000000.00,8105000000.00,12496000000.00,7998000000.00,7259000000.00,8499000000.00,4499000000.00,3799000000.00,3899000000.00
流动负债合计(元),89320000000.00,115788000000.00,100814000000.00,81302000000.00,73342000000.00,84130000000.00,79006000000.00,71486000000.00,68265000000.00,76092000000.00,80610000000.00,65285000000.00,58729000000.00,73611000000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),101362000000.00,103922000000.00,97207000000.00,89864000000.00,84531000000.00,73557000000.00,75427000000.00,68939000000.00,69374000000.00,53204000000.00,53463000000.00,47419000000.00,40072000000.00,32504000000.00
递延收入非流动(元),3087000000.00,3131000000.00,2836000000.00,2984000000.00,3107000000.00,3163000000.00,2930000000.00,3064000000.00,3322000000.00,3546000000.00,3624000000.00,3474000000.00,3571000000.00,3480000000.00
非流动负债其他项目(元),46855000000.00,43754000000.00,40415000000.00,38598000000.00,39470000000.00,37901000000.00,36074000000.00,35572000000.00,33859000000.00,32175000000.00,33427000000.00,31296000000.00,29816000000.00,28971000000.00
非流动负债合计(元),151304000000.00,150807000000.00,140458000000.00,131446000000.00,127108000000.00,114621000000.00,114431000000.00,107575000000.00,106555000000.00,88925000000.00,90514000000.00,82189000000.00,73459000000.00,64955000000.00
总负债(元),240624000000.00,266595000000.00,241272000000.00,212748000000.00,200450000000.00,198751000000.00,193437000000.00,179061000000.00,174820000000.00,165017000000.00,171124000000.00,147474000000.00,132188000000.00,138566000000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),38044000000.00,36447000000.00,35867000000.00,34445000000.00,33579000000.00,32144000000.00,31251000000.00,30106000000.00,29484000000.00,28253000000.00,27416000000.00,26327000000.00,25376000000.00,24187000000.00
留存收益(元),91898000000.00,104593000000.00,98330000000.00,98525000000.00,100925000000.00,100001000000.00,96364000000.00,96542000000.00,102021000000.00,101494000000.00,92284000000.00,98252000000.00,100920000000.00,97178000000.00
累计其他全面收益(元),-3064000000.00,-841000000.00,-150000000.00,-545000000.00,-422000000.00,245000000.00,634000000.00,-107000000.00,-1048000000.00,-1480000000.00,-345000000.00,1098000000.00,2710000000.00,1963000000.00
归属于母公司股东权益(元),126878000000.00,140199000000.00,134047000000.00,132425000000.00,134082000000.00,132390000000.00,128249000000.00,126541000000.00,130457000000.00,128267000000.00,119355000000.00,125677000000.00,129006000000.00,123328000000.00
股东权益合计(元),126878000000.00,140199000000.00,134047000000.00,132425000000.00,134082000000.00,132390000000.00,128249000000.00,126541000000.00,130457000000.00,128267000000.00,119355000000.00,125677000000.00,129006000000.00,123328000000.00
负债及股东权益合计(元),367502000000.00,406794000000.00,375319000000.00,345173000000.00,334532000000.00,331141000000.00,321686000000.00,305602000000.00,305277000000.00,293284000000.00,290479000000.00,273151000000.00,261194000000.00,261894000000.00
公告日期,2018-05-02,2018-02-02,2017-11-03,2017-08-02,2017-05-03,2017-02-01,2016-10-26,2016-07-27,2016-04-27,2016-01-27,2015-10-28,2015-07-22,2015-04-28,2015-01-28
会计准则,美国会计准则,,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2017-10-01,2017-10-01,2016-10-01,2016-09-25,2016-10-01,2016-09-30,2015-10-01,2015-09-27,2015-09-27,2015-09-27,2014-09-28,2014-09-28,2014-09-28,2014-09-28
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0929,0929,0930,0930,0930,0930,0924,0924,0924,0924,0926,0927,0927,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),33887000000.00,20065000000.00,48351000000.00,37637000000.00,28920000000.00,17891000000.00,45687000000.00,36673000000.00,28877000000.00,18361000000.00,53394000000.00,42270000000.00,31593000000.00,18024000000.00
折旧及摊销(元),5484000000.00,2745000000.00,10157000000.00,7673000000.00,5319000000.00,2987000000.00,10505000000.00,7957000000.00,5431000000.00,2954000000.00,11257000000.00,8138000000.00,5054000000.00,2575000000.00
基于股票的补偿费(元),2644000000.00,1296000000.00,4840000000.00,3666000000.00,2473000000.00,1256000000.00,4210000000.00,3180000000.00,2126000000.00,1078000000.00,3586000000.00,2671000000.00,1815000000.00,888000000.00
递延所得税(元),-34235000000.00,-33737000000.00,5966000000.00,4764000000.00,2822000000.00,1452000000.00,4938000000.00,5191000000.00,3092000000.00,1592000000.00,1382000000.00,2820000000.00,1879000000.00,2197000000.00
经营业务调整其他项目(元),-151000000.00,-11000000.00,-166000000.00,-142000000.00,-209000000.00,-274000000.00,-,-,-,-,-,-,-,-
存货的减少(增加)(元),-2807000000.00,434000000.00,-2723000000.00,-1014000000.00,-778000000.00,-580000000.00,217000000.00,518000000.00,68000000.00,-102000000.00,-238000000.00,69000000.00,-285000000.00,-172000000.00
待摊费用及其他资产(元),-1053000000.00,-197000000.00,-5318000000.00,-3229000000.00,-896000000.00,-1446000000.00,1090000000.00,1143000000.00,300000000.00,-893000000.00,-179000000.00,2286000000.00,2448000000.00,-1648000000.00
