zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),19823000000.00,16676000000.00,20522000000.00,12767000000.00,13203000000.00,15440000000.00,19334000000.00,13656000000.00,12521000000.00,12470000000.00,15890000000.00,10709000000.00,10269000000.00,10237000000.00
应收账款及票据(元),12607000000.00,12026000000.00,13164000000.00,10557000000.00,8046000000.00,7329000000.00,8339000000.00,6566000000.00,6092000000.00,5072000000.00,6423000000.00,5440000000.00,4920000000.00,4772000000.00
存货(元),14824000000.00,13840000000.00,16047000000.00,13711000000.00,11510000000.00,10600000000.00,11461000000.00,10696000000.00,9588000000.00,9582000000.00,10243000000.00,8981000000.00,7470000000.00,7369000000.00
短期投资(元),7227000000.00,8287000000.00,10464000000.00,11543000000.00,8248000000.00,6091000000.00,6647000000.00,4691000000.00,4019000000.00,3389000000.00,3918000000.00,3719000000.00,3732000000.00,3544000000.00
流动资产合计(元),54481000000.00,50829000000.00,60197000000.00,48578000000.00,41007000000.00,39460000000.00,45781000000.00,35609000000.00,32220000000.00,30513000000.00,36474000000.00,28849000000.00,26391000000.00,25922000000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),54768000000.00,52331000000.00,48866000000.00,45335000000.00,37083000000.00,32632000000.00,29114000000.00,27177000000.00,25190000000.00,23308000000.00,21838000000.00,20636000000.00,19479000000.00,17736000000.00
商誉(元),13944000000.00,13388000000.00,13350000000.00,13271000000.00,4254000000.00,3823000000.00,3784000000.00,3815000000.00,3774000000.00,3785000000.00,3759000000.00,3529000000.00,3523000000.00,3491000000.00
非流动资产其他项目(元),10907000000.00,9814000000.00,8897000000.00,8083000000.00,5437000000.00,5054000000.00,4723000000.00,4296000000.00,3892000000.00,3522000000.00,3373000000.00,3216000000.00,3047000000.00,2926000000.00
非流动资产合计(元),79619000000.00,75533000000.00,71113000000.00,66689000000.00,46774000000.00,41509000000.00,37621000000.00,35288000000.00,32856000000.00,30615000000.00,28970000000.00,27381000000.00,26049000000.00,24153000000.00
总资产(元),134100000000.00,126362000000.00,131310000000.00,115267000000.00,87781000000.00,80969000000.00,83402000000.00,70897000000.00,65076000000.00,61128000000.00,65444000000.00,56230000000.00,52440000000.00,50075000000.00
流动负债：,,,,,,,,,,,,,,
应付账款及票据(元),27657000000.00,25172000000.00,34616000000.00,26075000000.00,21439000000.00,18891000000.00,25309000000.00,18801000000.00,16123000000.00,14990000000.00,20397000000.00,14437000000.00,12391000000.00,11917000000.00
其他应付款及应计费用(元),17140000000.00,16691000000.00,18170000000.00,15844000000.00,14016000000.00,13054000000.00,13739000000.00,10497000000.00,9613000000.00,9431000000.00,10384000000.00,9157000000.00,8959000000.00,8840000000.00
递延收入流动(元),6004000000.00,6182000000.00,5097000000.00,5153000000.00,5065000000.00,5454000000.00,4768000000.00,4200000000.00,3851000000.00,3766000000.00,3118000000.00,3063000000.00,2562000000.00,2420000000.00
流动负债合计(元),50801000000.00,48045000000.00,57883000000.00,47072000000.00,40520000000.00,37399000000.00,43816000000.00,33498000000.00,29587000000.00,28187000000.00,33899000000.00,26657000000.00,23912000000.00,23177000000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),48304000000.00,46854000000.00,45718000000.00,43537000000.00,24047000000.00,21896000000.00,20301000000.00,19617000000.00,18951000000.00,18185000000.00,18161000000.00,17143000000.00,16760000000.00,16025000000.00
非流动负债合计(元),48304000000.00,46854000000.00,45718000000.00,43537000000.00,24047000000.00,21896000000.00,20301000000.00,19617000000.00,18951000000.00,18185000000.00,18161000000.00,17143000000.00,16760000000.00,16025000000.00
总负债(元),99105000000.00,94899000000.00,103601000000.00,90609000000.00,64567000000.00,59295000000.00,64117000000.00,53115000000.00,48538000000.00,46372000000.00,52060000000.00,43800000000.00,40672000000.00,39202000000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00,5000000.00
库存股(元),-1837000000.00,-1837000000.00,-1837000000.00,-1837000000.00,-1837000000.00,-1837000000.00,-1837000000.00,-1837000000.00,-1837000000.00,-1837000000.00,-1837000000.00,-1837000000.00,-1837000000.00,-1837000000.00
股本溢价(元),24028000000.00,22563000000.00,21389000000.00,20212000000.00,19129000000.00,17976000000.00,17186000000.00,15968000000.00,15026000000.00,14144000000.00,13394000000.00,12874000000.00,12233000000.00,11565000000.00
留存收益(元),13733000000.00,11199000000.00,8636000000.00,6779000000.00,6524000000.00,6327000000.00,4916000000.00,4167000000.00,3915000000.00,3058000000.00,2545000000.00,2063000000.00,1984000000.00,1892000000.00
累计其他全面收益(元),-934000000.00,-467000000.00,-484000000.00,-501000000.00,-607000000.00,-797000000.00,-985000000.00,-521000000.00,-571000000.00,-614000000.00,-723000000.00,-675000000.00,-617000000.00,-752000000.00
归属于母公司股东权益(元),34995000000.00,31463000000.00,27709000000.00,24658000000.00,23214000000.00,21674000000.00,19285000000.00,17782000000.00,16538000000.00,14756000000.00,13384000000.00,12430000000.00,11768000000.00,10873000000.00
股东权益合计(元),34995000000.00,31463000000.00,27709000000.00,24658000000.00,23214000000.00,21674000000.00,19285000000.00,17782000000.00,16538000000.00,14756000000.00,13384000000.00,12430000000.00,11768000000.00,10873000000.00
负债及股东权益合计(元),134100000000.00,126362000000.00,131310000000.00,115267000000.00,87781000000.00,80969000000.00,83402000000.00,70897000000.00,65076000000.00,61128000000.00,65444000000.00,56230000000.00,52440000000.00,50075000000.00
公告日期,2018-07-27,2018-04-27,2018-02-02,2017-10-27,2017-07-28,2017-04-28,2017-02-10,2016-10-28,2016-07-29,2016-04-29,2016-01-29,2015-10-23,2015-07-24,2015-04-24
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),4163000000.00,1629000000.00,3033000000.00,1176000000.00,921000000.00,724000000.00,2371000000.00,1622000000.00,1370000000.00,513000000.00,596000000.00,114000000.00,35000000.00,-57000000.00
折旧及摊销(元),7301000000.00,3671000000.00,11478000000.00,7980000000.00,5068000000.00,2435000000.00,8116000000.00,5819000000.00,3736000000.00,1827000000.00,6281000000.00,4529000000.00,2930000000.00,1426000000.00
基于股票的补偿费(元),2651000000.00,1182000000.00,4215000000.00,3036000000.00,1952000000.00,792000000.00,2146000000.00,1595000000.00,992000000.00,337000000.00,2000000000.00,1301000000.00,852000000.00,385000000.00
递延所得税(元),3000000.00,141000000.00,-29000000.00,279000000.00,354000000.00,-22000000.00,-246000000.00,36000000.00,117000000.00,11000000.00,81000000.00,-108000000.00,-45000000.00,-2000000.00
资产处置损益(元),-,-,-,-,-,-,-,-,3000000.00,2000000.00,5000000.00,4000000.00,2000000.00,1000000.00
经营业务调整其他项目(元),66000000.00,-128000000.00,-90000000.00,-142000000.00,-58000000.00,2000000.00,140000000.00,87000000.00,76000000.00,-9000000.00,400000000.00,286000000.00,196000000.00,135000000.00
存货的减少(增加)(元),1130000000.00,2220000000.00,-3583000000.00,-1328000000.00,265000000.00,947000000.00,-1426000000.00,-383000000.00,712000000.00,769000000.00,-2187000000.00,-844000000.00,693000000.00,721000000.00
预付款项及其他应收款减少(增加)(元),-,-,-,603000000.00,419000000.00,807000000.00,1955000000.00,1241000000.00,836000000.00,704000000.00,1292000000.00,1174000000.00,768000000.00,640000000.00
应收账款及票据减少(增加)(元),-336000000.00,1029000000.00,-4786000000.00,-2005000000.00,-248000000.00,994000000.00,-3367000000.00,-1443000000.00,-772000000.00,412000000.00,-1755000000.00,-577000000.00,11000000.00,441000000.00
应付账款及票据增加(减少)(元),-7513000000.00,-10216000000.00,7175000000.00,-1731000000.00,-4777000000.00,-6865000000.00,5030000000.00,-2252000000.00,-4793000000.00,-5770000000.00,4294000000.00,-1846000000.00,-3876000000.00,-4249000000.00
递延收入(元),-,-,738000000.00,-,-,-,-,-,-,-,-,-,-,-
应计费用及其他负债(元),-2430000000.00,-2225000000.00,283000000.00,-1778000000.00,-1657000000.00,-1404000000.00,1724000000.00,-531000000.00,-972000000.00,-956000000.00,913000000.00,-925000000.00,-1068000000.00,-940000000.00
经营业务其他项目(元),623000000.00,906000000.00,-,-,-,-,-,-,-,-,-,-,-,-
经营活动产生的现金流量净额(元),5658000000.00,-1791000000.00,18434000000.00,6090000000.00,2239000000.00,-1590000000.00,16443000000.00,5791000000.00,1305000000.00,-2160000000.00,11920000000.00,3108000000.00,498000000.00,-1499000000.00
投资活动产生的现金流量：,,,,,,,,,,,,,,
