zichanfuzhai
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,
现金及现金等价物(元),167895000000.00,199309000000.00,212196000000.00,148746000000.00,145144000000.00,143736000000.00,133989000000.00,103684000000.00,82246000000.00,106818000000.00,110301000000.00,96747000000.00,104064000000.00
受限制存款及现金流动(元),6342000000.00,3417000000.00,3381000000.00,2941000000.00,3211000000.00,2655000000.00,1004000000.00,203000000.00,508000000.00,1346000000.00,1312000000.00,1919000000.00,1915000000.00
预付款项及其他应收款流动(元),45501000000.00,43228000000.00,40777000000.00,36697000000.00,30569000000.00,29060000000.00,25728000000.00,25115000000.00,20492000000.00,17028000000.00,14938000000.00,12107000000.00,15203000000.00
短期投资(元),17256000000.00,10901000000.00,11936000000.00,16264000000.00,7470000000.00,7065000000.00,7807000000.00,7324000000.00,9842000000.00,8878000000.00,10081000000.00,11218000000.00,13715000000.00
流动资产合计(元),236994000000.00,256855000000.00,268290000000.00,204648000000.00,186394000000.00,182516000000.00,168528000000.00,136326000000.00,113088000000.00,134070000000.00,136632000000.00,121991000000.00,134897000000.00
非流动资产：,,,,,,,,,,,,,
物业、厂房及设备(元),78659000000.00,66489000000.00,64973000000.00,49587000000.00,43922000000.00,20206000000.00,19899000000.00,16400000000.00,15791000000.00,13629000000.00,13844000000.00,11428000000.00,9967000000.00
土地使用权(元),-,9377000000.00,9257000000.00,6779000000.00,6629000000.00,4691000000.00,4718000000.00,4743000000.00,4770000000.00,2876000000.00,2893000000.00,2910000000.00,2927000000.00
无形资产(元),51866000000.00,27465000000.00,27119000000.00,14542000000.00,16244000000.00,14108000000.00,12921000000.00,14010000000.00,14236000000.00,5370000000.00,5980000000.00,6661000000.00,6202000000.00
商誉(元),207373000000.00,162149000000.00,162683000000.00,130196000000.00,129539000000.00,125420000000.00,122540000000.00,121353000000.00,114214000000.00,81645000000.00,81645000000.00,82109000000.00,32174000000.00
预付款项及其他长期应收款非流动(元),23931000000.00,16897000000.00,14750000000.00,13173000000.00,11127000000.00,8051000000.00,7864000000.00,6138000000.00,4996000000.00,6007000000.00,8351000000.00,6924000000.00,4020000000.00
长期投资(元),197839000000.00,177892000000.00,164360000000.00,159899000000.00,149859000000.00,151820000000.00,154396000000.00,157432000000.00,142875000000.00,120853000000.00,115326000000.00,95735000000.00,91873000000.00
非流动资产合计(元),559668000000.00,460269000000.00,443142000000.00,374176000000.00,357320000000.00,324296000000.00,322338000000.00,320076000000.00,296882000000.00,230380000000.00,228039000000.00,205767000000.00,147163000000.00
总资产(元),796662000000.00,717124000000.00,711432000000.00,578824000000.00,543714000000.00,506812000000.00,490866000000.00,456402000000.00,409970000000.00,364450000000.00,364671000000.00,327758000000.00,282060000000.00
流动负债：,,,,,,,,,,,,,
客户存款及垫款(元),9184000000.00,9578000000.00,15287000000.00,8689000000.00,8481000000.00,8189000000.00,13649000000.00,8125000000.00,7609000000.00,7314000000.00,12688000000.00,7468000000.00,7478000000.00
短期债务及长期负债本期部分(元),13693000000.00,6028000000.00,6447000000.00,7696000000.00,7660000000.00,5948000000.00,4655000000.00,5520000000.00,4684000000.00,4304000000.00,2950000000.00,1440000000.00,2265000000.00
应付税项流动(元),14247000000.00,13689000000.00,12474000000.00,11637000000.00,10229000000.00,6125000000.00,5736000000.00,3158000000.00,2348000000.00,2790000000.00,3056000000.00,1413000000.00,953000000.00
其他应付款及应计费用(元),102636000000.00,84218000000.00,80202000000.00,63182000000.00,54529000000.00,49508000000.00,45038000000.00,37206000000.00,33620000000.00,27334000000.00,25445000000.00,23609000000.00,20601000000.00
递延收入流动(元),24436000000.00,22297000000.00,22028000000.00,19665000000.00,17312000000.00,15052000000.00,14494000000.00,13422000000.00,12577000000.00,10297000000.00,9863000000.00,9157000000.00,8400000000.00
流动负债其他项目(元),-,-,-,8665000000.00,8795000000.00,8949000000.00,9024000000.00,-,-,-,-,-,-
流动负债合计(元),164196000000.00,135810000000.00,136438000000.00,119534000000.00,107006000000.00,93771000000.00,92596000000.00,67431000000.00,60838000000.00,52039000000.00,54002000000.00,43087000000.00,39697000000.00
非流动负债：,,,,,,,,,,,,,
应付账款及票据非流动(元),-,85372000000.00,88499000000.00,44402000000.00,45080000000.00,-,46262000000.00,53048000000.00,52818000000.00,51596000000.00,51812000000.00,50711000000.00,48771000000.00
