zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),611091000.00,623994000.00,627878000.00,790945000.00,992904000.00,954649000.00,908717000.00,864593000.00,834747000.00,808002000.00,795900000.00,750191000.00,729506000.00,715664000.00
应收账款及票据(元),170907000.00,132611000.00,203366000.00,131595000.00,137588000.00,130780000.00,206765000.00,136940000.00,134025000.00,108747000.00,131784000.00,114826000.00,97998000.00,83138000.00
预付款项及其他应收款流动(元),115605000.00,98461000.00,30514000.00,38442000.00,20055000.00,27460000.00,36011000.00,27716000.00,17919000.00,19586000.00,16977000.00,18755000.00,15594000.00,11355000.00
递延所得税资产流动(元),-,-,-,-,-,-,-,-,-,-,-,26458000.00,21752000.00,21661000.00
可收回本期税项(元),778000.00,883000.00,673000.00,448000.00,237000.00,129000.00,131000.00,5000.00,5000.00,124000.00,78000.00,207000.00,150000.00,233000.00
短期投资(元),301054000.00,241652000.00,226787000.00,152351000.00,-,-,-,-,-,-,-,-,-,-
流动资产合计(元),1199435000.00,1097601000.00,1089218000.00,1113781000.00,1150784000.00,1113018000.00,1151624000.00,1029254000.00,986696000.00,936459000.00,944739000.00,910437000.00,865000000.00,832051000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),95603000.00,101121000.00,106753000.00,106100000.00,92968000.00,98255000.00,106637000.00,91056000.00,84662000.00,78403000.00,72350000.00,66587000.00,56168000.00,50106000.00
受限制存款及现金非流动(元),-,-,14090000.00,16340000.00,10203000.00,10954000.00,11958000.00,12154000.00,12322000.00,12802000.00,12078000.00,9756000.00,6181000.00,4158000.00
商誉(元),42530000.00,35083000.00,35083000.00,35083000.00,15531000.00,15531000.00,15531000.00,15531000.00,15531000.00,15531000.00,-,-,-,-
递延所得税资产非流动(元),4072000.00,4215000.00,5287000.00,2482000.00,1591000.00,1760000.00,1449000.00,1455000.00,1439000.00,1462000.00,1544000.00,6001000.00,6371000.00,5812000.00
长期投资(元),89991000.00,157497000.00,148364000.00,45512000.00,-,-,-,-,-,-,-,-,-,-
非流动资产其他项目(元),41626000.00,35139000.00,-,-,-,-,-,-,-,-,-,-,-,-
非流动资产合计(元),273822000.00,333055000.00,309577000.00,205517000.00,120293000.00,126500000.00,135575000.00,120196000.00,113954000.00,108198000.00,85972000.00,82344000.00,68720000.00,60076000.00
总资产(元),1473257000.00,1430656000.00,1398795000.00,1319298000.00,1271077000.00,1239518000.00,1287199000.00,1149450000.00,1100650000.00,1044657000.00,1030711000.00,992781000.00,933720000.00,892127000.00
流动负债：,,,,,,,,,,,,,,
应付账款及票据(元),3829000.00,2817000.00,4448000.00,9713000.00,2912000.00,2501000.00,17637000.00,6804000.00,12596000.00,4281000.00,1152000.00,5710000.00,4582000.00,5701000.00
应付税项流动(元),1986000.00,4467000.00,4743000.00,2002000.00,2505000.00,2767000.00,1893000.00,1496000.00,1114000.00,1106000.00,1000000.00,505000.00,413000.00,373000.00
应付薪酬和福利(元),75129000.00,81268000.00,96390000.00,78795000.00,60891000.00,60181000.00,70230000.00,62070000.00,52629000.00,45635000.00,53003000.00,41268000.00,33353000.00,28032000.00
其他应付款及应计费用(元),54745000.00,41935000.00,37722000.00,58777000.00,41600000.00,43961000.00,53418000.00,40746000.00,37522000.00,35155000.00,31838000.00,37302000.00,28126000.00,21212000.00
递延收入流动(元),320305000.00,314698000.00,419426000.00,338848000.00,318512000.00,288389000.00,285543000.00,230736000.00,213551000.00,195824000.00,185608000.00,153962000.00,139435000.00,126345000.00
流动负债合计(元),455994000.00,445185000.00,562729000.00,488135000.00,426420000.00,397799000.00,428721000.00,341852000.00,317412000.00,282001000.00,272601000.00,238747000.00,205909000.00,181663000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),53686000.00,53911000.00,54385000.00,51057000.00,45188000.00,42775000.00,39700000.00,21872000.00,18158000.00,13966000.00,11262000.00,9614000.00,8868000.00,7131000.00
递延收入非流动(元),15615000.00,21687000.00,28058000.00,27504000.00,30199000.00,29071000.00,26930000.00,18685000.00,17528000.00,13498000.00,12903000.00,11978000.00,11381000.00,9847000.00
非流动负债合计(元),69301000.00,75598000.00,82443000.00,78561000.00,75387000.00,71846000.00,66630000.00,40557000.00,35686000.00,27464000.00,24165000.00,21592000.00,20249000.00,16978000.00
总负债(元),525295000.00,520783000.00,645172000.00,566696000.00,501807000.00,469645000.00,495351000.00,382409000.00,353098000.00,309465000.00,296766000.00,260339000.00,226158000.00,198641000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,7000.00,7000.00,7000.00,7000.00,7000.00,7000.00
股本溢价(元),1256854000.00,1205459000.00,1168563000.00,1122903000.00,1089444000.00,1041141000.00,1007205000.00,965183000.00,914554000.00,854991000.00,805804000.00,763742000.00,724905000.00,691587000.00
留存收益(元),-297089000.00,-285023000.00,-402957000.00,-361120000.00,-314567000.00,-272045000.00,-216958000.00,-195870000.00,-165609000.00,-118087000.00,-72509000.00,-31188000.00,-17815000.00,1164000.00
累计其他全面收益(元),-11811000.00,-10571000.00,-11991000.00,-9189000.00,-5615000.00,769000.00,1593000.00,-2280000.00,-1400000.00,-1719000.00,643000.00,-119000.00,465000.00,728000.00
归属于母公司股东权益(元),947962000.00,909873000.00,753623000.00,752602000.00,769270000.00,769873000.00,791848000.00,767041000.00,747552000.00,735192000.00,733945000.00,732442000.00,707562000.00,693486000.00
股东权益合计(元),947962000.00,909873000.00,753623000.00,752602000.00,769270000.00,769873000.00,791848000.00,767041000.00,747552000.00,735192000.00,733945000.00,732442000.00,707562000.00,693486000.00
负债及股东权益合计(元),1473257000.00,1430656000.00,1398795000.00,1319298000.00,1271077000.00,1239518000.00,1287199000.00,1149450000.00,1100650000.00,1044657000.00,1030711000.00,992781000.00,933720000.00,892127000.00
公告日期,2018-08-06,2018-05-08,2018-02-26,2017-11-07,2017-08-02,2017-05-08,2017-02-23,2016-11-04,2016-08-08,2016-05-09,2016-02-25,2015-11-09,2015-08-07,2015-05-08
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),-58538000.00,-46472000.00,-185560000.00,-143722000.00,-97169000.00,-54647000.00,-144449000.00,-123361000.00,-93100000.00,-45578000.00,-83700000.00,-42379000.00,-29006000.00,-10027000.00
折旧及摊销(元),19187000.00,9765000.00,45105000.00,34336000.00,23837000.00,13435000.00,43006000.00,25091000.00,16001000.00,7607000.00,23667000.00,16221000.00,10146000.00,4799000.00
基于股票的补偿费(元),114075000.00,55763000.00,210283000.00,155623000.00,101309000.00,49195000.00,183497000.00,137127000.00,90019000.00,44952000.00,113839000.00,77589000.00,50071000.00,21923000.00
递延所得税(元),-3965000.00,-4226000.00,-2988000.00,-226000.00,465000.00,128000.00,1219000.00,282000.00,239000.00,99000.00,28558000.00,-3132000.00,-2884000.00,-2571000.00
存款及限制性现金减少(增加)(元),-,-,8054000.00,-,-,-,-,-,-,-,-,-,-,-
预付款项及其他应收款减少(增加)(元),-125000.00,-194000.00,-515000.00,-297000.00,-97000.00,6000.00,-56000.00,72000.00,72000.00,-46000.00,147000.00,21000.00,77000.00,-25000.00
待摊费用及其他资产(元),-44925000.00,-22891000.00,-,-138000.00,19519000.00,11270000.00,-18987000.00,-10355000.00,-419000.00,-2295000.00,-13783000.00,-13166000.00,-7173000.00,-1078000.00
应收账款及票据减少(增加)(元),31490000.00,73012000.00,12493000.00,80030000.00,72493000.00,76878000.00,-78197000.00,-5150000.00,-2176000.00,23990000.00,-34225000.00,-16509000.00,605000.00,14514000.00
应付账款及票据增加(减少)(元),8663000.00,-4279000.00,13529000.00,9452000.00,-16421000.00,-16620000.00,71157000.00,32043000.00,18086000.00,-290000.00,30224000.00,26612000.00,10383000.00,-1784000.00
递延收入(元),-3893000.00,-7507000.00,123938000.00,45109000.00,30072000.00,4008000.00,116860000.00,49868000.00,31654000.00,8967000.00,71383000.00,37807000.00,22783000.00,9219000.00
应付税项(元),-2713000.00,-356000.00,2528000.00,26000.00,523000.00,842000.00,997000.00,517000.00,105000.00,60000.00,664000.00,157000.00,49000.00,34000.00
经营活动产生的现金流量净额(元),59256000.00,52615000.00,226867000.00,180193000.00,134531000.00,84495000.00,175047000.00,106134000.00,60481000.00,37466000.00,136774000.00,83221000.00,55051000.00,35004000.00
投资活动产生的现金流量：,,,,,,,,,,,,,,
购买固定资产支付的现金(元),-11076000.00,-5251000.00,-61823000.00,-43179000.00,-33860000.00,-23238000.00,-60732000.00,-42334000.00,-23452000.00,-13653000.00,-45130000.00,-32792000.00,-19117000.00,-7620000.00
