zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-10-01,2016-07-02,2016-04-02,2016-01-02,2015-10-03,2015-06-27,2015-03-28,2014-12-27
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0929,0929,0930,0930,0930,0930,1001,1001,1001,0925,1003,0927,0927,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),4179000000.00,4677000000.00,4017000000.00,4336000000.00,3800000000.00,3736000000.00,4610000000.00,5227000000.00,5015000000.00,4301000000.00,4269000000.00,4475000000.00,3745000000.00,5077000000.00
应收账款及票据(元),9678000000.00,9886000000.00,8633000000.00,9636000000.00,9293000000.00,9878000000.00,9065000000.00,8958000000.00,8874000000.00,10298000000.00,8019000000.00,8012000000.00,8161000000.00,8591000000.00
预付款项及其他应收款流动(元),1114000000.00,846000000.00,1278000000.00,1214000000.00,1133000000.00,821000000.00,1208000000.00,1231000000.00,977000000.00,811000000.00,1170000000.00,1006000000.00,814000000.00,712000000.00
存货(元),1301000000.00,1307000000.00,1373000000.00,1300000000.00,1304000000.00,1299000000.00,1390000000.00,1354000000.00,1352000000.00,1434000000.00,1571000000.00,1513000000.00,1432000000.00,1476000000.00
递延所得税资产流动(元),-,-,-,-,-,-,-,-,-,-,767000000.00,619000000.00,496000000.00,452000000.00
流动资产其他项目(元),536000000.00,558000000.00,588000000.00,665000000.00,740000000.00,931000000.00,693000000.00,847000000.00,781000000.00,924000000.00,962000000.00,887000000.00,998000000.00,932000000.00
流动资产合计(元),16808000000.00,17274000000.00,15889000000.00,17151000000.00,16270000000.00,16665000000.00,16966000000.00,17617000000.00,16999000000.00,17768000000.00,16758000000.00,16512000000.00,15646000000.00,17240000000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),55317000000.00,54617000000.00,54043000000.00,56068000000.00,50785000000.00,49912000000.00,50270000000.00,49526000000.00,43577000000.00,42937000000.00,42745000000.00,42210000000.00,41838000000.00,42324000000.00
在建工程(元),3056000000.00,2355000000.00,2145000000.00,-,3023000000.00,2902000000.00,2684000000.00,2371000000.00,7454000000.00,6485000000.00,6028000000.00,5449000000.00,4691000000.00,4148000000.00
土地使用权(元),1262000000.00,1259000000.00,1255000000.00,-,1237000000.00,1236000000.00,1244000000.00,1243000000.00,1247000000.00,1244000000.00,1250000000.00,1250000000.00,1249000000.00,1233000000.00
无形资产(元),6962000000.00,6930000000.00,6995000000.00,6797000000.00,6845000000.00,6892000000.00,6949000000.00,6995000000.00,7052000000.00,7104000000.00,7172000000.00,7237000000.00,7302000000.00,7369000000.00
商誉(元),31350000000.00,31430000000.00,31426000000.00,27835000000.00,27831000000.00,27793000000.00,27810000000.00,27802000000.00,27817000000.00,27818000000.00,27826000000.00,27848000000.00,27855000000.00,27849000000.00
长期投资(元),3148000000.00,3206000000.00,3202000000.00,4141000000.00,4155000000.00,4220000000.00,4280000000.00,3228000000.00,3247000000.00,3268000000.00,2643000000.00,2694000000.00,2575000000.00,2642000000.00
非流动资产其他项目(元),-19960000000.00,-19337000000.00,-19166000000.00,-19240000000.00,-18339000000.00,-18044000000.00,-18170000000.00,-17868000000.00,-17129000000.00,-16503000000.00,-16240000000.00,-15833000000.00,-15441000000.00,-15770000000.00
非流动资产合计(元),81135000000.00,80460000000.00,79900000000.00,75601000000.00,75537000000.00,74911000000.00,75067000000.00,73297000000.00,73265000000.00,72353000000.00,71424000000.00,70855000000.00,70069000000.00,69795000000.00
总资产(元),97943000000.00,97734000000.00,95789000000.00,92752000000.00,91807000000.00,91576000000.00,92033000000.00,90914000000.00,90264000000.00,90121000000.00,88182000000.00,87367000000.00,85715000000.00,87035000000.00
流动负债：,,,,,,,,,,,,,,
短期债务及长期负债本期部分(元),5918000000.00,6009000000.00,6172000000.00,3338000000.00,4865000000.00,5698000000.00,3687000000.00,5312000000.00,5755000000.00,5950000000.00,4563000000.00,3119000000.00,2771000000.00,4376000000.00
应付账款及票据(元),9022000000.00,9574000000.00,8855000000.00,9374000000.00,8077000000.00,9979000000.00,9130000000.00,8719000000.00,7252000000.00,9320000000.00,7844000000.00,7794000000.00,6823000000.00,9069000000.00
递延收入流动(元),4788000000.00,4292000000.00,4568000000.00,4382000000.00,4423000000.00,3640000000.00,4025000000.00,4041000000.00,4066000000.00,3526000000.00,3927000000.00,3913000000.00,3816000000.00,3359000000.00
流动负债合计(元),19728000000.00,19875000000.00,19595000000.00,17094000000.00,17365000000.00,19317000000.00,16842000000.00,18072000000.00,17073000000.00,18796000000.00,16334000000.00,14826000000.00,13410000000.00,16804000000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),25465000000.00,26808000000.00,25562000000.00,25430000000.00,23169000000.00,21194000000.00,24189000000.00,20620000000.00,21137000000.00,19253000000.00,19142000000.00,17921000000.00,18180000000.00,18024000000.00
递延所得税负债非流动(元),2949000000.00,2826000000.00,4480000000.00,4177000000.00,4006000000.00,3888000000.00,3679000000.00,4076000000.00,4044000000.00,3874000000.00,4051000000.00,4113000000.00,4388000000.00,4414000000.00
非流动负债合计(元),28414000000.00,29634000000.00,30042000000.00,29607000000.00,27175000000.00,25082000000.00,27868000000.00,24696000000.00,25181000000.00,23127000000.00,23193000000.00,22034000000.00,22568000000.00,22438000000.00
总负债(元),48142000000.00,49509000000.00,49637000000.00,46701000000.00,44540000000.00,44399000000.00,44710000000.00,42768000000.00,42254000000.00,41923000000.00,39527000000.00,36860000000.00,35978000000.00,39242000000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),36411000000.00,36254000000.00,36248000000.00,36119000000.00,36100000000.00,35906000000.00,35859000000.00,35683000000.00,35448000000.00,35249000000.00,35122000000.00,34930000000.00,34720000000.00,34488000000.00
库存股(元),-66619000000.00,-65324000000.00,-64011000000.00,-60587000000.00,-58144000000.00,-56168000000.00,-54703000000.00,-53112000000.00,-51595000000.00,-49556000000.00,-47204000000.00,-43932000000.00,-42897000000.00,-42412000000.00
留存收益(元),78704000000.00,75763000000.00,72606000000.00,70863000000.00,69708000000.00,67327000000.00,66088000000.00,64321000000.00,62870000000.00,60734000000.00,59028000000.00,57425000000.00,56058000000.00,53969000000.00
累计其他全面收益(元),-3345000000.00,-3404000000.00,-3528000000.00,-3864000000.00,-3880000000.00,-3855000000.00,-3979000000.00,-2699000000.00,-2599000000.00,-2469000000.00,-2421000000.00,-1904000000.00,-1843000000.00,-1880000000.00
归属于母公司股东权益(元),45151000000.00,43289000000.00,41315000000.00,42531000000.00,43784000000.00,43210000000.00,43265000000.00,44193000000.00,44124000000.00,43958000000.00,44525000000.00,46519000000.00,46038000000.00,44165000000.00
少数股东权益(元),4650000000.00,4936000000.00,4837000000.00,3520000000.00,3483000000.00,3967000000.00,4058000000.00,3953000000.00,3886000000.00,4240000000.00,4130000000.00,3988000000.00,3699000000.00,3628000000.00
股东权益合计(元),49801000000.00,48225000000.00,46152000000.00,46051000000.00,47267000000.00,47177000000.00,47323000000.00,48146000000.00,48010000000.00,48198000000.00,48655000000.00,50507000000.00,49737000000.00,47793000000.00
负债及股东权益合计(元),97943000000.00,97734000000.00,95789000000.00,92752000000.00,91807000000.00,91576000000.00,92033000000.00,90914000000.00,90264000000.00,90121000000.00,88182000000.00,87367000000.00,85715000000.00,87035000000.00
公告日期,2018-05-08,2018-02-06,2017-11-22,2017-08-08,2017-05-09,2017-02-07,2016-11-23,2016-08-09,2016-05-10,2016-02-09,2015-11-25,2015-08-04,2015-05-05,2015-02-03
会计准则,美国会计准则,,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2017-10-01,2017-10-01,2016-10-01,2016-10-02,2016-10-02,2016-10-02,2015-10-04,2015-10-04,2015-10-04,2015-10-04,2014-09-28,2014-09-28,2014-09-28,2014-09-28
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0929,0929,0930,0930,0930,0930,1001,1001,1001,0925,1003,0927,0927,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),7588000000.00,4473000000.00,9366000000.00,7501000000.00,5027000000.00,2488000000.00,9790000000.00,7898000000.00,5186000000.00,2910000000.00,8852000000.00,7111000000.00,4472000000.00,2244000000.00
折旧及摊销(元),1473000000.00,742000000.00,2782000000.00,2074000000.00,1363000000.00,687000000.00,2527000000.00,1838000000.00,1212000000.00,607000000.00,2354000000.00,1751000000.00,1176000000.00,592000000.00
基于股票的补偿费(元),194000000.00,94000000.00,364000000.00,278000000.00,189000000.00,97000000.00,393000000.00,305000000.00,205000000.00,106000000.00,410000000.00,309000000.00,213000000.00,104000000.00
递延所得税(元),-1623000000.00,-1726000000.00,334000000.00,294000000.00,126000000.00,-76000000.00,1214000000.00,885000000.00,797000000.00,551000000.00,-102000000.00,-167000000.00,202000000.00,290000000.00
资产处置损益(元),-,-,-289000000.00,-,-,-,-26000000.00,-27000000.00,-27000000.00,-27000000.00,-91000000.00,-89000000.00,-56000000.00,-
权益性投资损益(元),340000000.00,127000000.00,468000000.00,257000000.00,194000000.00,85000000.00,-127000000.00,-182000000.00,-241000000.00,-268000000.00,-62000000.00,-77000000.00,-69000000.00,-15000000.00
经营业务调整其他项目(元),-335000000.00,173000000.00,-572000000.00,-372000000.00,-167000000.00,627000000.00,344000000.00,179000000.00,159000000.00,849000000.00,-581000000.00,-409000000.00,142000000.00,285000000.00
