zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),11552000000.00,12082000000.00,8079000000.00,7201000000.00,6252000000.00,7104000000.00,8903000000.00,6038000000.00,5108000000.00,6456000000.00,4907000000.00,4308000000.00,5123000000.00,3419000000.00
应收账款及票据(元),5590000000.00,5115000000.00,5832000000.00,4424000000.00,3897000000.00,3415000000.00,3993000000.00,3070000000.00,2801000000.00,2348000000.00,2559000000.00,2010000000.00,1815000000.00,1508000000.00
预付款项及其他应收款流动(元),1934000000.00,1341000000.00,1020000000.00,1490000000.00,1455000000.00,1209000000.00,959000000.00,1118000000.00,916000000.00,843000000.00,659000000.00,1295000000.00,1011000000.00,1083000000.00
短期投资(元),30757000000.00,31874000000.00,33632000000.00,31088000000.00,29200000000.00,25202000000.00,20546000000.00,20102000000.00,18185000000.00,14165000000.00,13527000000.00,11526000000.00,9002000000.00,8994000000.00
流动资产合计(元),49833000000.00,50412000000.00,48563000000.00,44203000000.00,40804000000.00,36930000000.00,34401000000.00,30328000000.00,27010000000.00,23812000000.00,21652000000.00,19139000000.00,16951000000.00,15004000000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),18357000000.00,16211000000.00,13721000000.00,12158000000.00,10628000000.00,9462000000.00,8591000000.00,7899000000.00,7104000000.00,6467000000.00,5687000000.00,5335000000.00,4955000000.00,4619000000.00
无形资产(元),1573000000.00,1735000000.00,1884000000.00,2050000000.00,2186000000.00,2360000000.00,2535000000.00,2702000000.00,2879000000.00,3067000000.00,3246000000.00,3437000000.00,3605000000.00,3774000000.00
商誉(元),18263000000.00,18268000000.00,18221000000.00,18213000000.00,18129000000.00,18126000000.00,18122000000.00,18085000000.00,18043000000.00,18029000000.00,18026000000.00,18024000000.00,18025000000.00,18005000000.00
非流动资产其他项目(元),2265000000.00,2319000000.00,2135000000.00,2374000000.00,2096000000.00,1836000000.00,1312000000.00,660000000.00,703000000.00,700000000.00,796000000.00,534000000.00,594000000.00,605000000.00
非流动资产合计(元),40458000000.00,38533000000.00,35961000000.00,34795000000.00,33039000000.00,31784000000.00,30560000000.00,29346000000.00,28729000000.00,28263000000.00,27755000000.00,27330000000.00,27179000000.00,27003000000.00
总资产(元),90291000000.00,88945000000.00,84524000000.00,78998000000.00,73843000000.00,68714000000.00,64961000000.00,59674000000.00,55739000000.00,52075000000.00,49407000000.00,46469000000.00,44130000000.00,42007000000.00
流动负债：,,,,,,,,,,,,,,
融资租赁负债流动(元),-,-,-,-,-,-,-,-,-,-,7000000.00,17000000.00,39000000.00,73000000.00
应付账款及票据(元),419000000.00,593000000.00,380000000.00,383000000.00,323000000.00,170000000.00,302000000.00,260000000.00,130000000.00,149000000.00,196000000.00,149000000.00,139000000.00,129000000.00
应付关联方款项流动(元),440000000.00,396000000.00,390000000.00,314000000.00,278000000.00,278000000.00,280000000.00,239000000.00,232000000.00,216000000.00,217000000.00,241000000.00,182000000.00,189000000.00
其他应付款及应计费用(元),3720000000.00,4003000000.00,2892000000.00,2503000000.00,2626000000.00,2400000000.00,2203000000.00,2018000000.00,1770000000.00,1389000000.00,1449000000.00,1338000000.00,1472000000.00,1300000000.00
递延收入流动(元),91000000.00,94000000.00,98000000.00,105000000.00,88000000.00,80000000.00,90000000.00,78000000.00,79000000.00,55000000.00,56000000.00,47000000.00,49000000.00,55000000.00
流动负债合计(元),4670000000.00,5086000000.00,3760000000.00,3305000000.00,3315000000.00,2928000000.00,2875000000.00,2595000000.00,2211000000.00,1809000000.00,1925000000.00,1792000000.00,1881000000.00,1746000000.00
非流动负债：,,,,,,,,,,,,,,
融资租赁负债非流动(元),-,-,-,-,-,-,-,-,-,-,107000000.00,109000000.00,110000000.00,113000000.00
非流动负债其他项目(元),6239000000.00,6239000000.00,6417000000.00,4485000000.00,4047000000.00,3598000000.00,2892000000.00,2964000000.00,3145000000.00,3116000000.00,3157000000.00,3148000000.00,2687000000.00,2647000000.00
非流动负债合计(元),6239000000.00,6239000000.00,6417000000.00,4485000000.00,4047000000.00,3598000000.00,2892000000.00,2964000000.00,3145000000.00,3116000000.00,3264000000.00,3257000000.00,2797000000.00,2760000000.00
总负债(元),10909000000.00,11325000000.00,10177000000.00,7790000000.00,7362000000.00,6526000000.00,5767000000.00,5559000000.00,5356000000.00,4925000000.00,5189000000.00,5049000000.00,4678000000.00,4506000000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),-,-,40584000000.00,-,-,-,38227000000.00,-,37405000000.00,-,-,33574000000.00,32479000000.00,31337000000.00
股本溢价(元),41832000000.00,41134000000.00,-,40199000000.00,39291000000.00,38639000000.00,-,38756000000.00,-,36129000000.00,34886000000.00,-,-,-
留存收益(元),38237000000.00,36780000000.00,33990000000.00,31209000000.00,27560000000.00,24175000000.00,21670000000.00,15731000000.00,13352000000.00,11297000000.00,9787000000.00,8226000000.00,7330000000.00,6611000000.00
累计其他全面收益(元),-687000000.00,-294000000.00,-227000000.00,-200000000.00,-370000000.00,-626000000.00,-703000000.00,-372000000.00,-374000000.00,-276000000.00,-455000000.00,-380000000.00,-357000000.00,-447000000.00
归属于母公司股东权益(元),79382000000.00,77620000000.00,74347000000.00,71208000000.00,66481000000.00,62188000000.00,59194000000.00,54115000000.00,50383000000.00,47150000000.00,44218000000.00,41420000000.00,39452000000.00,37501000000.00
股东权益合计(元),79382000000.00,77620000000.00,74347000000.00,71208000000.00,66481000000.00,62188000000.00,59194000000.00,54115000000.00,50383000000.00,47150000000.00,44218000000.00,41420000000.00,39452000000.00,37501000000.00
负债及股东权益合计(元),90291000000.00,88945000000.00,84524000000.00,78998000000.00,73843000000.00,68714000000.00,64961000000.00,59674000000.00,55739000000.00,52075000000.00,49407000000.00,46469000000.00,44130000000.00,42007000000.00
公告日期,2018-07-26,2018-04-26,2018-01-31,2017-11-02,2017-07-27,2017-05-04,2017-02-03,2016-11-03,2016-07-28,2016-04-28,2016-01-28,2015-11-05,2015-07-31,2015-04-23
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),10093000000.00,4988000000.00,15934000000.00,11665000000.00,6959000000.00,3064000000.00,10217000000.00,5944000000.00,3565000000.00,1510000000.00,3688000000.00,2127000000.00,1231000000.00,512000000.00
折旧及摊销(元),1983000000.00,949000000.00,3025000000.00,2172000000.00,1400000000.00,671000000.00,2342000000.00,1728000000.00,1137000000.00,552000000.00,1945000000.00,1402000000.00,916000000.00,457000000.00
基于股票的补偿费(元),2141000000.00,955000000.00,3723000000.00,2909000000.00,1899000000.00,867000000.00,3218000000.00,2371000000.00,1552000000.00,747000000.00,2960000000.00,2214000000.00,1457000000.00,694000000.00
递延所得税(元),54000000.00,-47000000.00,-377000000.00,-152000000.00,-58000000.00,-84000000.00,-457000000.00,-123000000.00,-142000000.00,-65000000.00,-795000000.00,-672000000.00,-289000000.00,-223000000.00
经营业务调整其他项目(元),18000000.00,8000000.00,24000000.00,18000000.00,12000000.00,5000000.00,30000000.00,23000000.00,19000000.00,13000000.00,17000000.00,13000000.00,7000000.00,6000000.00
待摊费用及其他资产(元),-957000000.00,-343000000.00,-38000000.00,-504000000.00,-495000000.00,-334000000.00,-145000000.00,-265000000.00,-256000000.00,-91000000.00,-147000000.00,-141000000.00,-115000000.00,-75000000.00
应收账款及票据减少(增加)(元),161000000.00,788000000.00,-1609000000.00,-235000000.00,223000000.00,609000000.00,-1489000000.00,-478000000.00,-225000000.00,267000000.00,-973000000.00,-405000000.00,-198000000.00,84000000.00
应付账款及票据增加(减少)(元),50000000.00,1000000.00,43000000.00,-7000000.00,-38000000.00,-10000000.00,14000000.00,-21000000.00,-39000000.00,2000000.00,18000000.00,7000000.00,16000000.00,-15000000.00
应付关联方款项增加(减少)(元),53000000.00,2000000.00,95000000.00,22000000.00,-10000000.00,-3000000.00,67000000.00,20000000.00,14000000.00,-3000000.00,17000000.00,40000000.00,-19000000.00,-13000000.00
递延收入(元),-4000000.00,-5000000.00,4000000.00,12000000.00,-4000000.00,-10000000.00,35000000.00,21000000.00,23000000.00,-2000000.00,-9000000.00,-18000000.00,-17000000.00,-10000000.00
应计费用及其他负债(元),566000000.00,564000000.00,3392000000.00,645000000.00,530000000.00,283000000.00,2276000000.00,538000000.00,533000000.00,53000000.00,1878000000.00,1205000000.00,591000000.00,283000000.00
经营活动产生的现金流量净额(元),14158000000.00,7860000000.00,24216000000.00,16545000000.00,10418000000.00,5058000000.00,16108000000.00,9758000000.00,6181000000.00,2983000000.00,8599000000.00,5772000000.00,3580000000.00,1700000000.00
投资活动产生的现金流量：,,,,,,,,,,,,,,
