zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),14148000000.00,12658000000.00,10715000000.00,10581000000.00,15711000000.00,18132000000.00,12918000000.00,9406000000.00,13627000000.00,15111000000.00,16549000000.00,18068000000.00,18453000000.00,16976000000.00
应收账款及票据(元),17043000000.00,16777000000.00,18336000000.00,15295000000.00,14003000000.00,12913000000.00,14137000000.00,11979000000.00,11686000000.00,10818000000.00,11556000000.00,9749000000.00,9394000000.00,8584000000.00
预付款项及其他应收款流动(元),-,-,-,-,2398000000.00,3106000000.00,4575000000.00,2536000000.00,3516000000.00,3069000000.00,3589000000.00,3088000000.00,3674000000.00,4545000000.00
存货(元),698000000.00,636000000.00,749000000.00,765000000.00,398000000.00,280000000.00,268000000.00,559000000.00,-,-,-,-,-,-
递延所得税资产流动(元),-,-,-,-,-,-,-,-,-,-,-,2212000000.00,1316000000.00,847000000.00
可收回本期税项(元),201000000.00,37000000.00,369000000.00,282000000.00,874000000.00,56000000.00,95000000.00,416000000.00,576000000.00,1804000000.00,1903000000.00,287000000.00,-,901000000.00
短期投资(元),88106000000.00,90227000000.00,91156000000.00,89562000000.00,79002000000.00,74307000000.00,73415000000.00,73650000000.00,64833000000.00,60153000000.00,56517000000.00,54699000000.00,51327000000.00,48460000000.00
流动资产其他项目(元),3961000000.00,3426000000.00,2983000000.00,2860000000.00,-,-,-,-,-,-,-,-,-,-
流动资产合计(元),124157000000.00,123761000000.00,124308000000.00,119345000000.00,112386000000.00,108794000000.00,105408000000.00,98546000000.00,94238000000.00,90955000000.00,90114000000.00,88103000000.00,84164000000.00,80313000000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),51672000000.00,48845000000.00,42383000000.00,40120000000.00,37676000000.00,35936000000.00,34234000000.00,32753000000.00,31413000000.00,30162000000.00,29016000000.00,28338000000.00,27008000000.00,25448000000.00
无形资产(元),2662000000.00,2809000000.00,2692000000.00,2883000000.00,2933000000.00,3137000000.00,3307000000.00,3367000000.00,3452000000.00,3657000000.00,3847000000.00,4023000000.00,4213000000.00,4380000000.00
商誉(元),17895000000.00,17862000000.00,16747000000.00,16731000000.00,16604000000.00,16547000000.00,16468000000.00,16028000000.00,15841000000.00,15866000000.00,15869000000.00,15675000000.00,15610000000.00,15573000000.00
预付款项及其他长期应收款非流动(元),-,-,-,-,2004000000.00,1846000000.00,1819000000.00,3276000000.00,3275000000.00,3297000000.00,3181000000.00,3329000000.00,3403000000.00,3596000000.00
递延所得税资产非流动(元),685000000.00,678000000.00,680000000.00,505000000.00,376000000.00,365000000.00,383000000.00,273000000.00,253000000.00,233000000.00,251000000.00,-,-,-
长期投资(元),11487000000.00,10976000000.00,7813000000.00,7269000000.00,6642000000.00,6131000000.00,5878000000.00,5705000000.00,5820000000.00,5577000000.00,5183000000.00,4813000000.00,4409000000.00,4090000000.00
非流动资产其他项目(元),3052000000.00,2004000000.00,2672000000.00,2683000000.00,-,-,-,-,-,-,-,-,-,-
非流动资产合计(元),87453000000.00,83174000000.00,72987000000.00,70191000000.00,66235000000.00,63962000000.00,62089000000.00,61402000000.00,60054000000.00,58792000000.00,57347000000.00,56178000000.00,54643000000.00,53087000000.00
总资产(元),211610000000.00,206935000000.00,197295000000.00,189536000000.00,178621000000.00,172756000000.00,167497000000.00,159948000000.00,154292000000.00,149747000000.00,147461000000.00,144281000000.00,138807000000.00,133400000000.00
流动负债：,,,,,,,,,,,,,,
短期债务及长期负债本期部分(元),-,1329000000.00,-,-,-,-,-,-,2219000000.00,3221000000.00,3225000000.00,3237000000.00,3008000000.00,2009000000.00
应付账款及票据(元),3369000000.00,3526000000.00,3137000000.00,2674000000.00,2488000000.00,2306000000.00,2041000000.00,2175000000.00,1716000000.00,1667000000.00,1931000000.00,1549000000.00,1315000000.00,1688000000.00
应付税项流动(元),1189000000.00,1343000000.00,881000000.00,221000000.00,133000000.00,803000000.00,554000000.00,171000000.00,185000000.00,330000000.00,302000000.00,215000000.00,948000000.00,123000000.00
应付薪酬和福利(元),4642000000.00,3812000000.00,4581000000.00,4022000000.00,3271000000.00,2673000000.00,3976000000.00,3672000000.00,3409000000.00,2618000000.00,3539000000.00,2988000000.00,2466000000.00,1911000000.00
其他应付款及应计费用(元),18989000000.00,13788000000.00,14152000000.00,12507000000.00,11567000000.00,8326000000.00,9086000000.00,7382000000.00,8912000000.00,8915000000.00,9525000000.00,9763000000.00,8913000000.00,7906000000.00
递延收入流动(元),1714000000.00,1596000000.00,1432000000.00,1269000000.00,1226000000.00,1148000000.00,1099000000.00,923000000.00,900000000.00,933000000.00,788000000.00,705000000.00,712000000.00,699000000.00
流动负债合计(元),29903000000.00,25394000000.00,24183000000.00,20693000000.00,18685000000.00,15256000000.00,16756000000.00,14323000000.00,17341000000.00,17684000000.00,19310000000.00,18457000000.00,17362000000.00,14336000000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),7218000000.00,7122000000.00,7028000000.00,6888000000.00,6808000000.00,6700000000.00,6600000000.00,6499000000.00,4135000000.00,3952000000.00,3817000000.00,3878000000.00,4185000000.00,4961000000.00
应付税项非流动(元),11652000000.00,12885000000.00,12812000000.00,4358000000.00,4128000000.00,4924000000.00,4677000000.00,4461000000.00,4135000000.00,3812000000.00,3663000000.00,3596000000.00,3615000000.00,3717000000.00
递延收入非流动(元),358000000.00,315000000.00,340000000.00,346000000.00,345000000.00,323000000.00,202000000.00,169000000.00,151000000.00,131000000.00,151000000.00,133000000.00,108000000.00,93000000.00
递延所得税负债非流动(元),479000000.00,394000000.00,430000000.00,151000000.00,369000000.00,604000000.00,226000000.00,393000000.00,651000000.00,599000000.00,189000000.00,1976000000.00,1754000000.00,1845000000.00
非流动负债合计(元),19707000000.00,20716000000.00,20610000000.00,11743000000.00,11650000000.00,12551000000.00,11705000000.00,11522000000.00,9072000000.00,8494000000.00,7820000000.00,9583000000.00,9662000000.00,10616000000.00
总负债(元),49610000000.00,46110000000.00,44793000000.00,32436000000.00,30335000000.00,27807000000.00,28461000000.00,25845000000.00,26413000000.00,26178000000.00,27130000000.00,28040000000.00,27024000000.00,24952000000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),42243000000.00,41487000000.00,40247000000.00,39609000000.00,38509000000.00,37698000000.00,36307000000.00,35337000000.00,34293000000.00,33695000000.00,32982000000.00,31864000000.00,30722000000.00,29527000000.00
留存收益(元),121282000000.00,120008000000.00,113247000000.00,118237000000.00,111505000000.00,109420000000.00,105131000000.00,99798000000.00,94737000000.00,91168000000.00,89223000000.00,85969000000.00,81990000000.00,79292000000.00
累计其他全面收益(元),-1525000000.00,-670000000.00,-992000000.00,-746000000.00,-1728000000.00,-2169000000.00,-2402000000.00,-1032000000.00,-1151000000.00,-1294000000.00,-1874000000.00,-1592000000.00,-929000000.00,-371000000.00
归属于母公司股东权益(元),162000000000.00,160825000000.00,152502000000.00,157100000000.00,148286000000.00,144949000000.00,139036000000.00,134103000000.00,127879000000.00,123569000000.00,120331000000.00,116241000000.00,111783000000.00,108448000000.00
股东权益合计(元),162000000000.00,160825000000.00,152502000000.00,157100000000.00,148286000000.00,144949000000.00,139036000000.00,134103000000.00,127879000000.00,123569000000.00,120331000000.00,116241000000.00,111783000000.00,108448000000.00
负债及股东权益合计(元),211610000000.00,206935000000.00,197295000000.00,189536000000.00,178621000000.00,172756000000.00,167497000000.00,159948000000.00,154292000000.00,149747000000.00,147461000000.00,144281000000.00,138807000000.00,133400000000.00
公告日期,2018-07-24,2018-04-24,2018-02-06,2017-10-27,2017-07-25,2017-05-02,2017-02-03,2016-11-03,2016-08-04,2016-05-03,2016-02-11,2015-10-29,2015-07-23,2015-04-29
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),12596000000.00,9401000000.00,12662000000.00,15682000000.00,8950000000.00,5426000000.00,19478000000.00,14145000000.00,9084000000.00,4207000000.00,16348000000.00,11425000000.00,7446000000.00,3586000000.00
折旧及摊销(元),4100000000.00,1986000000.00,6915000000.00,4889000000.00,3128000000.00,1503000000.00,6144000000.00,4457000000.00,2861000000.00,1371000000.00,931000000.00,3659000000.00,2411000000.00,1177000000.00
基于股票的补偿费(元),4870000000.00,2457000000.00,7679000000.00,5832000000.00,4012000000.00,2009000000.00,6703000000.00,4857000000.00,2997000000.00,1494000000.00,4655000000.00,3413000000.00,2119000000.00,1098000000.00
减值及拨备(元),-,-,-,-,-,-,-,-,-,-,4132000000.00,-,-,-
递延所得税(元),-157000000.00,-18000000.00,258000000.00,242000000.00,538000000.00,613000000.00,-38000000.00,119000000.00,364000000.00,414000000.00,-179000000.00,-566000000.00,-150000000.00,71000000.00
