zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-29,2018-03-30,2017-12-31,2017-09-29,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-07-01,2016-04-01,2015-12-31,2015-10-02,2015-07-03,2015-04-03
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),7975000000.00,8291000000.00,6006000000.00,12528000000.00,11718000000.00,12120000000.00,8555000000.00,11147000000.00,9647000000.00,8748000000.00,7309000000.00,9983000000.00,8805000000.00,8211000000.00
可供出售投资流动(元),6681000000.00,7379000000.00,7548000000.00,1782000000.00,2057000000.00,5789000000.00,2797000000.00,2463000000.00,693000000.00,3786000000.00,3900000000.00,3853000000.00,497000000.00,785000000.00
应收账款及票据(元),4565000000.00,3904000000.00,3667000000.00,3664000000.00,4024000000.00,3702000000.00,3856000000.00,4082000000.00,4768000000.00,4147000000.00,3941000000.00,4028000000.00,4976000000.00,4461000000.00
预付款项及其他应收款流动(元),2543000000.00,2449000000.00,2000000000.00,2993000000.00,2866000000.00,2670000000.00,2481000000.00,3091000000.00,3332000000.00,3314000000.00,2752000000.00,3029000000.00,3159000000.00,3605000000.00
存货(元),2881000000.00,2937000000.00,2655000000.00,2608000000.00,2790000000.00,2885000000.00,2675000000.00,2751000000.00,3005000000.00,3052000000.00,2902000000.00,2910000000.00,3224000000.00,3219000000.00
短期投资(元),11379000000.00,13082000000.00,14669000000.00,14829000000.00,15506000000.00,13085000000.00,13646000000.00,14422000000.00,14428000000.00,13463000000.00,12591000000.00,12791000000.00,12142000000.00,11838000000.00
流动资产合计(元),36024000000.00,38042000000.00,36545000000.00,38404000000.00,38961000000.00,40251000000.00,34010000000.00,37956000000.00,35873000000.00,36510000000.00,33395000000.00,36594000000.00,32803000000.00,32119000000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),7688000000.00,7977000000.00,8203000000.00,8306000000.00,8672000000.00,9746000000.00,10635000000.00,11172000000.00,12663000000.00,12613000000.00,12571000000.00,12615000000.00,14365000000.00,14346000000.00
无形资产(元),6999000000.00,7112000000.00,7235000000.00,7091000000.00,7743000000.00,8759000000.00,10499000000.00,11381000000.00,12485000000.00,12634000000.00,12843000000.00,13062000000.00,14374000000.00,14061000000.00
商誉(元),9863000000.00,9908000000.00,9401000000.00,9473000000.00,9449000000.00,10008000000.00,10629000000.00,10865000000.00,11204000000.00,11396000000.00,11289000000.00,11357000000.00,11706000000.00,11993000000.00
递延所得税资产非流动(元),2999000000.00,3298000000.00,-,-,-,-,-,-,-,-,-,-,-,-
长期投资(元),21619000000.00,22517000000.00,21952000000.00,22761000000.00,22003000000.00,17983000000.00,17249000000.00,18027000000.00,17499000000.00,13796000000.00,15788000000.00,14934000000.00,15773000000.00,13895000000.00
非流动资产其他项目(元),4401000000.00,4428000000.00,4560000000.00,4480000000.00,4318000000.00,4454000000.00,4248000000.00,4526000000.00,4370000000.00,4314000000.00,4207000000.00,4446000000.00,4517000000.00,4602000000.00
非流动资产合计(元),53569000000.00,55240000000.00,51351000000.00,52111000000.00,52185000000.00,50950000000.00,53260000000.00,55971000000.00,58221000000.00,54753000000.00,56698000000.00,56414000000.00,60735000000.00,58897000000.00
总资产(元),89593000000.00,93282000000.00,87896000000.00,90515000000.00,91146000000.00,91201000000.00,87270000000.00,93927000000.00,94094000000.00,91263000000.00,90093000000.00,93008000000.00,93538000000.00,91016000000.00
流动负债：,,,,,,,,,,,,,,
短期债务及长期负债本期部分(元),4023000000.00,4370000000.00,3298000000.00,3231000000.00,3478000000.00,2185000000.00,3527000000.00,3473000000.00,4895000000.00,4956000000.00,2677000000.00,2692000000.00,2031000000.00,2040000000.00
应付账款及票据(元),25557000000.00,25003000000.00,21953000000.00,23610000000.00,24718000000.00,23977000000.00,21988000000.00,23241000000.00,24136000000.00,24514000000.00,22789000000.00,27422000000.00,26303000000.00,23236000000.00
应付税项流动(元),362000000.00,579000000.00,410000000.00,355000000.00,351000000.00,268000000.00,307000000.00,396000000.00,375000000.00,275000000.00,331000000.00,383000000.00,437000000.00,689000000.00
流动负债其他项目(元),1456000000.00,1528000000.00,1533000000.00,437000000.00,283000000.00,2226000000.00,710000000.00,682000000.00,138000000.00,1242000000.00,1133000000.00,1048000000.00,81000000.00,158000000.00
流动负债合计(元),31398000000.00,31480000000.00,27194000000.00,27633000000.00,28830000000.00,28656000000.00,26532000000.00,27792000000.00,29544000000.00,30987000000.00,26930000000.00,31545000000.00,28852000000.00,26123000000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),28063000000.00,29792000000.00,31182000000.00,32471000000.00,31805000000.00,31538000000.00,29684000000.00,31663000000.00,29252000000.00,26990000000.00,28407000000.00,25949000000.00,25977000000.00,26087000000.00
递延所得税负债非流动(元),2589000000.00,2314000000.00,2522000000.00,4313000000.00,4330000000.00,3899000000.00,3753000000.00,4243000000.00,4497000000.00,4337000000.00,4691000000.00,5053000000.00,5785000000.00,5432000000.00
非流动负债其他项目(元),7367000000.00,8079000000.00,8021000000.00,3946000000.00,4092000000.00,4041000000.00,4081000000.00,3984000000.00,3963000000.00,3820000000.00,4301000000.00,4194000000.00,4283000000.00,4296000000.00
非流动负债合计(元),38019000000.00,40185000000.00,41725000000.00,40730000000.00,40227000000.00,39478000000.00,37518000000.00,39890000000.00,37712000000.00,35147000000.00,37399000000.00,35196000000.00,36045000000.00,35815000000.00
总负债(元),69417000000.00,71665000000.00,68919000000.00,68363000000.00,69057000000.00,68134000000.00,64050000000.00,67682000000.00,67256000000.00,66134000000.00,64329000000.00,66741000000.00,64897000000.00,61938000000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),1760000000.00,1760000000.00,1760000000.00,1760000000.00,1760000000.00,1760000000.00,1760000000.00,1760000000.00,1760000000.00,1760000000.00,1760000000.00,1760000000.00,1760000000.00,1760000000.00
库存股(元),-51588000000.00,-51268000000.00,-50677000000.00,-50256000000.00,-49633000000.00,-48974000000.00,-47988000000.00,-46814000000.00,-46601000000.00,-45549000000.00,-45066000000.00,-43822000000.00,-43288000000.00,-42739000000.00
留存收益(元),63808000000.00,63150000000.00,60430000000.00,64759000000.00,64890000000.00,65099000000.00,65502000000.00,66457000000.00,66921000000.00,64985000000.00,65018000000.00,65209000000.00,65196000000.00,63524000000.00
其他储备(元),16117000000.00,16006000000.00,15864000000.00,15699000000.00,15473000000.00,15197000000.00,14993000000.00,14882000000.00,14710000000.00,14507000000.00,14016000000.00,13715000000.00,13486000000.00,13361000000.00
累计其他全面收益(元),-11774000000.00,-10038000000.00,-10305000000.00,-9843000000.00,-10489000000.00,-10206000000.00,-11205000000.00,-10209000000.00,-10153000000.00,-10789000000.00,-10174000000.00,-10813000000.00,-8736000000.00,-7069000000.00
归属于母公司股东权益(元),18323000000.00,19610000000.00,17072000000.00,22119000000.00,22001000000.00,22876000000.00,23062000000.00,26076000000.00,26637000000.00,24914000000.00,25554000000.00,26049000000.00,28418000000.00,28837000000.00
少数股东权益(元),1853000000.00,2007000000.00,1905000000.00,33000000.00,88000000.00,191000000.00,158000000.00,169000000.00,201000000.00,215000000.00,210000000.00,218000000.00,223000000.00,241000000.00
股东权益合计(元),20176000000.00,21617000000.00,18977000000.00,22152000000.00,22089000000.00,23067000000.00,23220000000.00,26245000000.00,26838000000.00,25129000000.00,25764000000.00,26267000000.00,28641000000.00,29078000000.00
负债及股东权益合计(元),89593000000.00,93282000000.00,87896000000.00,90515000000.00,91146000000.00,91201000000.00,87270000000.00,93927000000.00,94094000000.00,91263000000.00,90093000000.00,93008000000.00,93538000000.00,91016000000.00
公告日期,2018-07-25,2018-04-24,2018-02-23,2017-10-26,2017-07-27,2017-04-27,2017-02-24,2016-10-27,2016-07-28,2016-04-28,2016-02-25,2015-10-28,2015-07-29,2015-04-30
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2017-12-30,2017-12-31,2017-01-01,2016-12-30,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),3731000000.00,1327000000.00,1182000000.00,4000000000.00,2556000000.00,1184000000.00,6550000000.00,6003000000.00,4953000000.00,1493000000.00,7366000000.00,6130000000.00,4677000000.00,1566000000.00
折旧及摊销(元),553000000.00,270000000.00,1260000000.00,926000000.00,629000000.00,328000000.00,1787000000.00,1323000000.00,903000000.00,458000000.00,1970000000.00,1443000000.00,961000000.00,473000000.00
基于股票的补偿费(元),121000000.00,72000000.00,219000000.00,167000000.00,114000000.00,55000000.00,258000000.00,191000000.00,119000000.00,69000000.00,236000000.00,171000000.00,117000000.00,60000000.00
递延所得税(元),5000000.00,-199000000.00,-1256000000.00,606000000.00,620000000.00,-34000000.00,-856000000.00,-98000000.00,-178000000.00,-81000000.00,73000000.00,212000000.00,643000000.00,8000000.00
资产处置损益(元),98000000.00,34000000.00,1459000000.00,942000000.00,259000000.00,-,-,364000000.00,-1956000000.00,362000000.00,-374000000.00,-,-,-1156000000.00
