zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),5310000000.00,4483000000.00,6092000000.00,7901000000.00,7786000000.00,11708000000.00,6515000000.00,7907000000.00,6608000000.00,9716000000.00,8524000000.00,7548000000.00,6922000000.00,7980000000.00
应收账款及票据(元),7287000000.00,7245000000.00,6873000000.00,7671000000.00,7439000000.00,7066000000.00,7018000000.00,7364000000.00,6916000000.00,6850000000.00,6484000000.00,6414000000.00,6510000000.00,6670000000.00
存货(元),5178000000.00,5382000000.00,5096000000.00,5263000000.00,5407000000.00,5146000000.00,4866000000.00,5244000000.00,5248000000.00,5102000000.00,4700000000.00,5123000000.00,5306000000.00,5539000000.00
递延所得税资产流动(元),-,-,-,-,-,-,-,-,-,-,-,4941000000.00,5133000000.00,5117000000.00
短期投资(元),2284000000.00,2863000000.00,2406000000.00,3294000000.00,4181000000.00,3541000000.00,7826000000.00,5160000000.00,5226000000.00,3227000000.00,4903000000.00,4541000000.00,4448000000.00,7621000000.00
流动资产其他项目(元),4005000000.00,4112000000.00,4299000000.00,3790000000.00,3354000000.00,4069000000.00,4389000000.00,3765000000.00,3928000000.00,3877000000.00,5153000000.00,-,-,-
流动资产合计(元),24064000000.00,24085000000.00,24766000000.00,27919000000.00,28167000000.00,31530000000.00,30614000000.00,29440000000.00,27926000000.00,28772000000.00,29764000000.00,28567000000.00,28319000000.00,32927000000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),12626000000.00,12561000000.00,26375000000.00,12189000000.00,12094000000.00,12042000000.00,25492000000.00,12029000000.00,11987000000.00,12360000000.00,26415000000.00,12482000000.00,12630000000.00,12910000000.00
在建工程(元),-,-,2301000000.00,-,-,-,1871000000.00,-,-,-,1525000000.00,-,-,-
土地使用权(元),-,-,365000000.00,-,-,-,412000000.00,-,-,-,490000000.00,-,-,-
无形资产(元),12898000000.00,13500000000.00,14183000000.00,15138000000.00,16119000000.00,16863000000.00,17305000000.00,20506000000.00,20315000000.00,21364000000.00,22602000000.00,23724000000.00,24750000000.00,26080000000.00
商誉(元),18274000000.00,18304000000.00,18284000000.00,18340000000.00,18358000000.00,18358000000.00,18162000000.00,18260000000.00,17809000000.00,17784000000.00,17723000000.00,17761000000.00,17707000000.00,17740000000.00
长期投资(元),10033000000.00,11033000000.00,12125000000.00,12206000000.00,12138000000.00,11896000000.00,11416000000.00,11657000000.00,11879000000.00,12554000000.00,13039000000.00,13080000000.00,13333000000.00,13092000000.00
非流动资产其他项目(元),7145000000.00,6558000000.00,-10527000000.00,5884000000.00,5928000000.00,5872000000.00,-9895000000.00,6443000000.00,6559000000.00,5921000000.00,-9779000000.00,5618000000.00,5843000000.00,5596000000.00
非流动资产合计(元),60976000000.00,61956000000.00,63106000000.00,63757000000.00,64637000000.00,65031000000.00,64763000000.00,68895000000.00,68549000000.00,69983000000.00,72015000000.00,72665000000.00,74263000000.00,75418000000.00
总资产(元),85040000000.00,86041000000.00,87872000000.00,91676000000.00,92804000000.00,96561000000.00,95377000000.00,98335000000.00,96475000000.00,98755000000.00,101779000000.00,101232000000.00,102582000000.00,108345000000.00
流动负债：,,,,,,,,,,,,,,
短期债务及长期负债本期部分(元),3379000000.00,2055000000.00,3057000000.00,5157000000.00,3181000000.00,5037000000.00,568000000.00,1487000000.00,644000000.00,2113000000.00,2585000000.00,2543000000.00,2483000000.00,4728000000.00
应付账款及票据(元),3024000000.00,3162000000.00,3102000000.00,2620000000.00,2934000000.00,2484000000.00,2807000000.00,2481000000.00,2514000000.00,2241000000.00,2533000000.00,2023000000.00,2335000000.00,2091000000.00
应付税项流动(元),661000000.00,717000000.00,708000000.00,396000000.00,1979000000.00,2330000000.00,2239000000.00,1208000000.00,1213000000.00,1864000000.00,1560000000.00,2119000000.00,1878000000.00,2450000000.00
其他应付款及应计费用(元),11064000000.00,11026000000.00,11747000000.00,11294000000.00,10664000000.00,9972000000.00,11590000000.00,10379000000.00,10547000000.00,11350000000.00,12525000000.00,10898000000.00,10812000000.00,11173000000.00
流动负债合计(元),18128000000.00,16960000000.00,18614000000.00,19467000000.00,18758000000.00,19823000000.00,17204000000.00,15555000000.00,14918000000.00,17568000000.00,19203000000.00,17583000000.00,17508000000.00,20442000000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),19959000000.00,21501000000.00,21353000000.00,21838000000.00,21706000000.00,23437000000.00,24274000000.00,23656000000.00,23642000000.00,23656000000.00,23929000000.00,24124000000.00,24069000000.00,25506000000.00
递延所得税负债非流动(元),2159000000.00,2206000000.00,2219000000.00,4159000000.00,4560000000.00,4889000000.00,5077000000.00,6374000000.00,6091000000.00,6256000000.00,6535000000.00,5959000000.00,6454000000.00,6803000000.00
非流动负债其他项目(元),12028000000.00,11473000000.00,11117000000.00,7713000000.00,8068000000.00,8324000000.00,8514000000.00,8793000000.00,8378000000.00,7374000000.00,7345000000.00,7887000000.00,7913000000.00,7677000000.00
非流动负债合计(元),34146000000.00,35180000000.00,34689000000.00,33710000000.00,34334000000.00,36650000000.00,37865000000.00,38823000000.00,38111000000.00,37286000000.00,37809000000.00,37970000000.00,38436000000.00,39986000000.00
总负债(元),52274000000.00,52140000000.00,53303000000.00,53177000000.00,53092000000.00,56473000000.00,55069000000.00,54378000000.00,53029000000.00,54854000000.00,57012000000.00,55553000000.00,55944000000.00,60428000000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),1788000000.00,1788000000.00,1788000000.00,1788000000.00,1788000000.00,1788000000.00,1788000000.00,1788000000.00,1788000000.00,1788000000.00,1788000000.00,1788000000.00,1788000000.00,1788000000.00
库存股(元),-45401000000.00,-44041000000.00,-43794000000.00,-42119000000.00,-42053000000.00,-41157000000.00,-40546000000.00,-39717000000.00,-39377000000.00,-39125000000.00,-38534000000.00,-37427000000.00,-36225000000.00,-35903000000.00
股本溢价(元),39741000000.00,39874000000.00,39902000000.00,39823000000.00,39776000000.00,39899000000.00,39939000000.00,39897000000.00,39911000000.00,40145000000.00,40222000000.00,40139000000.00,40114000000.00,40355000000.00
留存收益(元),41523000000.00,41107000000.00,41350000000.00,43701000000.00,45046000000.00,44387000000.00,44133000000.00,46028000000.00,45121000000.00,45192000000.00,45348000000.00,45660000000.00,45103000000.00,45692000000.00
累计其他全面收益(元),-5122000000.00,-5060000000.00,-4910000000.00,-4945000000.00,-5094000000.00,-5080000000.00,-5226000000.00,-4252000000.00,-4086000000.00,-4194000000.00,-4148000000.00,-4573000000.00,-4332000000.00,-4167000000.00
归属于母公司股东权益(元),32529000000.00,33668000000.00,34336000000.00,38248000000.00,39463000000.00,39837000000.00,40088000000.00,43744000000.00,43357000000.00,43806000000.00,44676000000.00,45587000000.00,46448000000.00,47765000000.00
少数股东权益(元),237000000.00,233000000.00,233000000.00,251000000.00,249000000.00,251000000.00,220000000.00,213000000.00,89000000.00,95000000.00,91000000.00,92000000.00,190000000.00,152000000.00
股东权益合计(元),32766000000.00,33901000000.00,34569000000.00,38499000000.00,39712000000.00,40088000000.00,40308000000.00,43957000000.00,43446000000.00,43901000000.00,44767000000.00,45679000000.00,46638000000.00,47917000000.00
负债及股东权益合计(元),85040000000.00,86041000000.00,87872000000.00,91676000000.00,92804000000.00,96561000000.00,95377000000.00,98335000000.00,96475000000.00,98755000000.00,101779000000.00,101232000000.00,102582000000.00,108345000000.00
公告日期,2018-08-07,2018-05-08,2018-02-27,2017-11-07,2017-08-08,2017-05-09,2017-02-28,2016-11-07,2016-08-08,2016-05-09,2016-02-26,2015-11-05,2015-08-06,2015-05-07
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),2457000000.00,741000000.00,2418000000.00,3456000000.00,3507000000.00,1556000000.00,3941000000.00,4528000000.00,2339000000.00,1130000000.00,4459000000.00,3477000000.00,1646000000.00,958000000.00
折旧及摊销(元),2363000000.00,1137000000.00,4637000000.00,3509000000.00,2355000000.00,1193000000.00,5441000000.00,4286000000.00,3111000000.00,1561000000.00,6375000000.00,4815000000.00,3245000000.00,1637000000.00
基于股票的补偿费(元),170000000.00,80000000.00,312000000.00,232000000.00,156000000.00,74000000.00,300000000.00,225000000.00,148000000.00,68000000.00,299000000.00,918000000.00,146000000.00,-
减值及拨备(元),-,-,646000000.00,376000000.00,131000000.00,80000000.00,3948000000.00,572000000.00,567000000.00,277000000.00,162000000.00,80000000.00,73000000.00,14000000.00
递延所得税(元),-258000000.00,-30000000.00,-2621000000.00,-601000000.00,-272000000.00,-54000000.00,-1521000000.00,-65000000.00,-120000000.00,-70000000.00,-764000000.00,-846000000.00,-383000000.00,-
