zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
资产：,,,,,,,,,,,,,,
出售联邦基金及买入返售证券(元),93928000000.00,80246000000.00,84258000000.00,90106000000.00,97408000000.00,104823000000.00,101955000000.00,90579000000.00,97589000000.00,98774000000.00,87657000000.00,127206000000.00,106760000000.00,91232000000.00
以公允价值计量的金融资产(元),266438000000.00,273044000000.00,298282000000.00,285088000000.00,290802000000.00,284341000000.00,262154000000.00,273151000000.00,256794000000.00,234150000000.00,228280000000.00,237811000000.00,250279000000.00,259160000000.00
持有至到期投资(元),-,-,-,91207000000.00,87007000000.00,-,81704000000.00,80400000000.00,77283000000.00,75566000000.00,72559000000.00,78209000000.00,66424000000.00,60446000000.00
证券投及其他投资(元),331562000000.00,216476000000.00,202812000000.00,211978000000.00,198298000000.00,192942000000.00,205328000000.00,205236000000.00,211425000000.00,226818000000.00,229826000000.00,226672000000.00,229765000000.00,246476000000.00
贷款及租赁(元),-,109135000000.00,104126000000.00,-,-,95953000000.00,-,-,-,-,-,-,-,-
物业、厂房及设备(元),-,-,-,-,-,-,-,-,-,-,-,6259000000.00,6182000000.00,6141000000.00
持作出售的资产(元),15747000000.00,-,-,13224000000.00,10632000000.00,-,12544000000.00,12108000000.00,15882000000.00,13236000000.00,13200000000.00,-,9469000000.00,8257000000.00
无形资产(元),2332000000.00,2427000000.00,2448000000.00,2491000000.00,2567000000.00,2644000000.00,2721000000.00,2747000000.00,2833000000.00,2909000000.00,2984000000.00,3069000000.00,3151000000.00,3064000000.00
商誉(元),6692000000.00,6706000000.00,6597000000.00,6590000000.00,6591000000.00,6588000000.00,6577000000.00,6584000000.00,6581000000.00,6586000000.00,6584000000.00,6587000000.00,6594000000.00,6597000000.00
预付款项及其他应收款(元),61714000000.00,66835000000.00,56187000000.00,54388000000.00,-,-,-,-,-,-,-,-,-,-
资产其他项目(元),15873000000.00,16282000000.00,16628000000.00,50430000000.00,48135000000.00,53902000000.00,52125000000.00,49123000000.00,51526000000.00,51058000000.00,15416000000.00,9160000000.00,10005000000.00,10360000000.00
总资产(元),875875000000.00,858495000000.00,851733000000.00,853693000000.00,841016000000.00,832391000000.00,814949000000.00,813891000000.00,828873000000.00,807497000000.00,787465000000.00,834113000000.00,825755000000.00,829099000000.00
负债：,,,,,,,,,,,,,,
客户存款(元),172802000000.00,160424000000.00,159436000000.00,154639000000.00,144913000000.00,152109000000.00,155863000000.00,151843000000.00,152693000000.00,157591000000.00,156034000000.00,147226000000.00,139203000000.00,135815000000.00
应付账款及其他应付款(元),201737000000.00,194924000000.00,191510000000.00,198792000000.00,197055000000.00,189544000000.00,190513000000.00,194007000000.00,201189000000.00,194003000000.00,186626000000.00,193775000000.00,181494000000.00,190175000000.00
应计费用和其他费用(元),15967000000.00,14265000000.00,17157000000.00,16290000000.00,15042000000.00,13630000000.00,15896000000.00,15176000000.00,14112000000.00,13304000000.00,18711000000.00,19129000000.00,18920000000.00,17556000000.00
以公允价值计量的金融负债(元),139359000000.00,139023000000.00,131295000000.00,127237000000.00,134810000000.00,136903000000.00,128194000000.00,136299000000.00,140662000000.00,115766000000.00,109139000000.00,125525000000.00,125152000000.00,125057000000.00
卖出回购金融资产(元),63370000000.00,65131000000.00,70016000000.00,69613000000.00,67559000000.00,75459000000.00,70472000000.00,63451000000.00,67569000000.00,58445000000.00,56050000000.00,79214000000.00,88770000000.00,87015000000.00
借款(元),192244000000.00,194964000000.00,192582000000.00,192764000000.00,185028000000.00,173810000000.00,165716000000.00,164841000000.00,164372000000.00,163913000000.00,155941000000.00,162325000000.00,161211000000.00,158424000000.00
负债其他项目(元),9890000000.00,10275000000.00,11271000000.00,14244000000.00,16642000000.00,11852000000.00,11118000000.00,9812000000.00,9901000000.00,27300000000.00,28780000000.00,30499000000.00,34938000000.00,39591000000.00
总负债(元),795369000000.00,779006000000.00,773267000000.00,773579000000.00,761049000000.00,753307000000.00,737772000000.00,735429000000.00,750498000000.00,730322000000.00,711281000000.00,757693000000.00,749688000000.00,753633000000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),20000000.00,20000000.00,20000000.00,20000000.00,20000000.00,20000000.00,20000000.00,20000000.00,20000000.00,20000000.00,20000000.00,20000000.00,20000000.00,20000000.00
优先股(元),8520000000.00,8520000000.00,8520000000.00,8520000000.00,8520000000.00,8520000000.00,7520000000.00,7520000000.00,7520000000.00,7520000000.00,7520000000.00,7520000000.00,7520000000.00,7520000000.00
库存股(元),-11650000000.00,-10369000000.00,-9211000000.00,-7961000000.00,-6691000000.00,-6155000000.00,-5797000000.00,-4861000000.00,-3626000000.00,-3090000000.00,-4059000000.00,-3456000000.00,-2816000000.00,-2207000000.00
留存收益(元),61835000000.00,60009000000.00,57577000000.00,57554000000.00,56325000000.00,55109000000.00,53679000000.00,52545000000.00,51410000000.00,50272000000.00,49204000000.00,48746000000.00,48106000000.00,46740000000.00
其他储备(元),23454000000.00,23260000000.00,23545000000.00,23389000000.00,23140000000.00,22880000000.00,23271000000.00,22995000000.00,22697000000.00,22526000000.00,24153000000.00,23876000000.00,23655000000.00,23355000000.00
归属于母公司股东权益(元),79109000000.00,78034000000.00,77391000000.00,78978000000.00,78826000000.00,77924000000.00,76050000000.00,77149000000.00,77116000000.00,76010000000.00,75182000000.00,75287000000.00,75038000000.00,74162000000.00
少数股东权益(元),1397000000.00,1455000000.00,1075000000.00,1136000000.00,1141000000.00,1160000000.00,1127000000.00,1313000000.00,1259000000.00,1165000000.00,1002000000.00,1133000000.00,1029000000.00,1304000000.00
股东权益合计(元),80506000000.00,79489000000.00,78466000000.00,80114000000.00,79967000000.00,79084000000.00,77177000000.00,78462000000.00,78375000000.00,77175000000.00,76184000000.00,76420000000.00,76067000000.00,75466000000.00
负债及股东权益合计(元),875875000000.00,858495000000.00,851733000000.00,853693000000.00,841016000000.00,832391000000.00,814949000000.00,813891000000.00,828873000000.00,807497000000.00,787465000000.00,834113000000.00,825755000000.00,829099000000.00
公告日期,2018-08-03,2018-05-04,2018-02-27,2017-11-03,2017-08-03,2017-05-04,2017-02-27,2016-11-02,2016-08-03,2016-05-04,2016-02-23,2015-11-03,2015-08-04,2015-05-04
会计准则,美国会计准则,美国会计准则,美国会计准则,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),5171000000.00,2704000000.00,6216000000.00,5553000000.00,3762000000.00,1971000000.00,6123000000.00,4443000000.00,2803000000.00,1157000000.00,6279000000.00,5343000000.00,4294000000.00,2463000000.00
折旧及摊销(元),907000000.00,390000000.00,1753000000.00,1340000000.00,889000000.00,434000000.00,1736000000.00,1357000000.00,879000000.00,415000000.00,1433000000.00,1023000000.00,654000000.00,321000000.00
基于股票的补偿费(元),526000000.00,321000000.00,1026000000.00,775000000.00,518000000.00,269000000.00,1136000000.00,794000000.00,492000000.00,217000000.00,1104000000.00,836000000.00,611000000.00,295000000.00
减值及拨备(元),-29000000.00,34000000.00,120000000.00,45000000.00,31000000.00,30000000.00,274000000.00,240000000.00,198000000.00,136000000.00,192000000.00,138000000.00,121000000.00,84000000.00
递延所得税(元),-,-,2747000000.00,-,-,-,1579000000.00,-,-,-,1189000000.00,-,-,-
资产处置损益(元),-,-,-35000000.00,-27000000.00,-16000000.00,-2000000.00,-112000000.00,-127000000.00,-82000000.00,-12000000.00,-84000000.00,-74000000.00,-55000000.00,-25000000.00
权益性投资损益(元),-54000000.00,-50000000.00,34000000.00,-,-,-9000000.00,79000000.00,-,-1000000.00,-15000000.00,-114000000.00,-118000000.00,-83000000.00,-38000000.00
经营业务调整其他项目(元),72000000.00,5000000.00,63000000.00,-48000000.00,-148000000.00,-74000000.00,-199000000.00,3000000.00,218000000.00,93000000.00,322000000.00,264000000.00,37000000.00,56000000.00
存款及限制性现金减少(增加)(元),-,-,-,-,-,-,-,-,-,-,9138000000.00,5055000000.00,6955000000.00,267000000.00
预付款项及其他应收款减少(增加)(元),-9279000000.00,-13019000000.00,-9315000000.00,-,-,-,-,-,-,-,-,-,-,-
预收款项及其他应付款增加(减少)(元),-,-,-,8196000000.00,5732000000.00,-3419000000.00,1803000000.00,3798000000.00,9907000000.00,2153000000.00,4373000000.00,10351000000.00,-1482000000.00,8052000000.00
待摊费用及其他资产(元),39106000000.00,33832000000.00,-27588000000.00,-18599000000.00,-18050000000.00,-12628000000.00,-,-,-,-,-,-,-,-
应收账款及票据减少(增加)(元),-,-,-,-6682000000.00,-2336000000.00,-3735000000.00,-2881000000.00,-2800000000.00,-10537000000.00,899000000.00,-434000000.00,787000000.00,-7556000000.00,-6257000000.00
应付账款及票据增加(减少)(元),9053000000.00,1129000000.00,2007000000.00,-,-,-,-,-,-,-,-,-,-,-
