zichanfuzhai
,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0630,0630,0630,0630,0630,0630,0630,0630,0630,0630,0630,0630
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,
现金及现金等价物(元),11946000000.00,9221000000.00,12859000000.00,6884000000.00,7663000000.00,6713000000.00,8468000000.00,13928000000.00,6510000000.00,7170000000.00,7185000000.00,5431000000.00
应收账款及票据(元),26481000000.00,17208000000.00,18428000000.00,14561000000.00,19792000000.00,12882000000.00,14343000000.00,11129000000.00,18277000000.00,12247000000.00,14507000000.00,11444000000.00
存货(元),2662000000.00,2084000000.00,2003000000.00,3211000000.00,2181000000.00,1979000000.00,1961000000.00,3122000000.00,2251000000.00,2450000000.00,2702000000.00,3816000000.00
递延所得税资产流动(元),-,-,-,-,-,-,-,-,-,1574000000.00,1618000000.00,1447000000.00
短期投资(元),121822000000.00,123049000000.00,129921000000.00,131587000000.00,125318000000.00,119305000000.00,114313000000.00,123004000000.00,106730000000.00,98382000000.00,95455000000.00,93924000000.00
流动资产其他项目(元),6751000000.00,5097000000.00,4422000000.00,4788000000.00,4897000000.00,5434000000.00,5864000000.00,6726000000.00,5892000000.00,6598000000.00,6345000000.00,5594000000.00
流动资产合计(元),169662000000.00,156659000000.00,167633000000.00,161031000000.00,159851000000.00,146313000000.00,144949000000.00,157909000000.00,139660000000.00,128421000000.00,127812000000.00,121656000000.00
非流动资产：,,,,,,,,,,,,
物业、厂房及设备(元),36146000000.00,34788000000.00,33053000000.00,24809000000.00,23734000000.00,21962000000.00,21379000000.00,19224000000.00,18356000000.00,16831000000.00,15789000000.00,15046000000.00
无形资产(元),8053000000.00,8544000000.00,9034000000.00,9598000000.00,10106000000.00,10547000000.00,11001000000.00,3522000000.00,3733000000.00,4459000000.00,4619000000.00,4745000000.00
商誉(元),35683000000.00,35582000000.00,35355000000.00,35389000000.00,35122000000.00,34668000000.00,34524000000.00,17907000000.00,17872000000.00,17948000000.00,17436000000.00,17142000000.00
长期投资(元),1862000000.00,2818000000.00,3961000000.00,5343000000.00,6023000000.00,7381000000.00,8912000000.00,10486000000.00,10431000000.00,11315000000.00,11514000000.00,11438000000.00
非流动资产其他项目(元),7442000000.00,7106000000.00,6967000000.00,12927000000.00,6250000000.00,4146000000.00,3845000000.00,3476000000.00,3642000000.00,2895000000.00,2928000000.00,2869000000.00
非流动资产合计(元),89186000000.00,88838000000.00,88370000000.00,88066000000.00,81235000000.00,78704000000.00,79661000000.00,54615000000.00,54034000000.00,53448000000.00,52286000000.00,51240000000.00
总资产(元),258848000000.00,245497000000.00,256003000000.00,249097000000.00,241086000000.00,225017000000.00,224610000000.00,212524000000.00,193694000000.00,181869000000.00,180098000000.00,172896000000.00
流动负债：,,,,,,,,,,,,
短期债务及长期负债本期部分(元),3998000000.00,3677000000.00,15912000000.00,9220000000.00,10121000000.00,7786000000.00,25664000000.00,14536000000.00,12904000000.00,5498000000.00,3750000000.00,10748000000.00
应付账款及票据(元),8617000000.00,7623000000.00,7850000000.00,6866000000.00,7390000000.00,6217000000.00,6580000000.00,6296000000.00,6898000000.00,6759000000.00,6936000000.00,6630000000.00
应付税项流动(元),-,-,-,920000000.00,718000000.00,654000000.00,508000000.00,720000000.00,580000000.00,685000000.00,493000000.00,607000000.00
应付薪酬和福利(元),6103000000.00,5149000000.00,4427000000.00,4108000000.00,5819000000.00,4604000000.00,3982000000.00,3621000000.00,5264000000.00,4276000000.00,3649000000.00,3450000000.00
其他应付款及应计费用(元),-,-,26000000.00,203000000.00,97000000.00,201000000.00,1280000000.00,210000000.00,294000000.00,373000000.00,439000000.00,154000000.00
递延收入流动(元),31026000000.00,22184000000.00,22097000000.00,22778000000.00,34102000000.00,26518000000.00,26085000000.00,26304000000.00,27468000000.00,20876000000.00,20929000000.00,21603000000.00
流动负债其他项目(元),8744000000.00,7500000000.00,7787000000.00,7520000000.00,6280000000.00,6025000000.00,6688000000.00,7123000000.00,5949000000.00,5887000000.00,6447000000.00,6207000000.00
流动负债合计(元),58488000000.00,46133000000.00,58099000000.00,51615000000.00,64527000000.00,52005000000.00,70787000000.00,58810000000.00,59357000000.00,44354000000.00,42643000000.00,49399000000.00
非流动负债：,,,,,,,,,,,,
长期债务(元),111533000000.00,111957000000.00,110718000000.00,96554000000.00,103634000000.00,102818000000.00,83881000000.00,81778000000.00,61644000000.00,60035000000.00,58481000000.00,43883000000.00
融资租赁负债非流动(元),5568000000.00,5751000000.00,5640000000.00,5768000000.00,-,-,-,-,-,-,-,-
递延所得税负债非流动(元),541000000.00,2417000000.00,3186000000.00,5513000000.00,531000000.00,465000000.00,1133000000.00,1564000000.00,696000000.00,2674000000.00,2194000000.00,2169000000.00
非流动负债合计(元),117642000000.00,120125000000.00,119544000000.00,107835000000.00,104165000000.00,103283000000.00,85014000000.00,83342000000.00,62340000000.00,62709000000.00,60675000000.00,46052000000.00
总负债(元),176130000000.00,166258000000.00,177643000000.00,159450000000.00,168692000000.00,155288000000.00,155801000000.00,142152000000.00,121697000000.00,107063000000.00,103318000000.00,95451000000.00
股东权益：,,,,,,,,,,,,
普通股(元),71223000000.00,70418000000.00,70192000000.00,69419000000.00,69315000000.00,68554000000.00,68177000000.00,67747000000.00,68178000000.00,68012000000.00,68279000000.00,68093000000.00
留存收益(元),13682000000.00,9974000000.00,8567000000.00,19702000000.00,2648000000.00,531000000.00,120000000.00,944000000.00,2282000000.00,4954000000.00,6728000000.00,7614000000.00
累计其他全面收益(元),-2187000000.00,-1153000000.00,-399000000.00,526000000.00,431000000.00,644000000.00,512000000.00,1681000000.00,1537000000.00,1840000000.00,1773000000.00,1738000000.00
归属于母公司股东权益(元),82718000000.00,79239000000.00,78360000000.00,89647000000.00,72394000000.00,69729000000.00,68809000000.00,70372000000.00,71997000000.00,74806000000.00,76780000000.00,77445000000.00
股东权益合计(元),82718000000.00,79239000000.00,78360000000.00,89647000000.00,72394000000.00,69729000000.00,68809000000.00,70372000000.00,71997000000.00,74806000000.00,76780000000.00,77445000000.00
负债及股东权益合计(元),258848000000.00,245497000000.00,256003000000.00,249097000000.00,241086000000.00,225017000000.00,224610000000.00,212524000000.00,193694000000.00,181869000000.00,180098000000.00,172896000000.00
公告日期,2018-07-19,2018-04-26,2018-01-31,2017-10-26,2017-08-02,2017-04-27,2017-01-26,2016-10-20,2016-07-28,2016-04-21,2016-01-28,2015-10-22
会计准则,美国会计准则,美国会计准则,,,,,,,,,,
审计意见,,,,,,,,,,,,
核数师,,,,,,,,,,,,

xianjinliuliang
,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

