zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),3906357000.00,2593666000.00,2822795000.00,1746469000.00,1918777000.00,1077824000.00,1467576000.00,969158000.00,1390925000.00,1605244000.00,1809330000.00,2115437000.00,2293872000.00,2454777000.00
短期投资(元),-,-,-,-,246125000.00,263405000.00,266206000.00,374098000.00,443303000.00,467227000.00,501385000.00,494205000.00,502886000.00,502931000.00
流动资产其他项目(元),5440532000.00,5223910000.00,4847179000.00,4638879000.00,4535883000.00,4319101000.00,3986509000.00,3850637000.00,3552690000.00,3471365000.00,3121125000.00,2960071000.00,2803752000.00,2581348000.00
流动资产合计(元),9346889000.00,7817576000.00,7669974000.00,6385348000.00,6700785000.00,5660330000.00,5720291000.00,5193893000.00,5386918000.00,5543836000.00,5431840000.00,5569713000.00,5600510000.00,5539056000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),349646000.00,341932000.00,319404000.00,322421000.00,309831000.00,275083000.00,250395000.00,191876000.00,162864000.00,166254000.00,173412000.00,181268000.00,171396000.00,145816000.00
非流动资产其他项目(元),12967002000.00,11993289000.00,11023364000.00,10243771000.00,9506607000.00,8423683000.00,7615924000.00,6961569000.00,6043725000.00,5552184000.00,4597619000.00,4165286000.00,3882955000.00,3555754000.00
非流动资产合计(元),13316648000.00,12335221000.00,11342768000.00,10566192000.00,9816438000.00,8698766000.00,7866319000.00,7153445000.00,6206589000.00,5718438000.00,4771031000.00,4346554000.00,4054351000.00,3701570000.00
总资产(元),22663537000.00,20152797000.00,19012742000.00,16951540000.00,16517223000.00,14359096000.00,13586610000.00,12347338000.00,11593507000.00,11262274000.00,10202871000.00,9916267000.00,9654861000.00,9240626000.00
流动负债：,,,,,,,,,,,,,,
应付账款及票据(元),448219000.00,436183000.00,359555000.00,301443000.00,273398000.00,294831000.00,312842000.00,285753000.00,240458000.00,231914000.00,253491000.00,209365000.00,211729000.00,190567000.00
其他应付款及应计费用(元),392595000.00,429431000.00,315094000.00,331723000.00,248871000.00,296258000.00,197632000.00,201232000.00,172073000.00,181634000.00,140389000.00,179350000.00,150406000.00,107323000.00
递延收入流动(元),697740000.00,673892000.00,618622000.00,535425000.00,505302000.00,458693000.00,443472000.00,427206000.00,396976000.00,374223000.00,346721000.00,329739000.00,301754000.00,285340000.00
流动负债其他项目(元),4541087000.00,4466081000.00,4173041000.00,4142086000.00,4095374000.00,3861447000.00,3632711000.00,3497214000.00,3242330000.00,3145861000.00,2789023000.00,2622964000.00,2556180000.00,2425619000.00
流动负债合计(元),6079641000.00,6005587000.00,5466312000.00,5310677000.00,5122945000.00,4911229000.00,4586657000.00,4411405000.00,4051837000.00,3933632000.00,3529624000.00,3341418000.00,3220069000.00,3008849000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),8342067000.00,6542373000.00,6499432000.00,4888783000.00,4836502000.00,3365431000.00,3364311000.00,2373966000.00,2373085000.00,2372218000.00,2371362000.00,2400000000.00,2400000000.00,2400000000.00
非流动负债其他项目(元),3745229000.00,3584107000.00,3465042000.00,3424719000.00,3445276000.00,3108753000.00,2955842000.00,3033001000.00,2752751000.00,2639191000.00,2078459000.00,2007531000.00,2002717000.00,1922563000.00
非流动负债合计(元),12087296000.00,10126480000.00,9964474000.00,8313502000.00,8281778000.00,6474184000.00,6320153000.00,5406967000.00,5125836000.00,5011409000.00,4449821000.00,4407531000.00,4402717000.00,4322563000.00
总负债(元),18166937000.00,16132067000.00,15430786000.00,13624179000.00,13404723000.00,11385413000.00,10906810000.00,9818372000.00,9177673000.00,8945041000.00,7979445000.00,7748949000.00,7622786000.00,7331412000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),2103437000.00,1995225000.00,1871396000.00,1807123000.00,1727858000.00,1669132000.00,1599762000.00,1503641000.00,1443707000.00,1382051000.00,1324809000.00,1306461000.00,1200880000.00,61000.00
股本溢价(元),-,-,-,-,-,-,-,-,-,-,-,-,-,1109327000.00
留存收益(元),2405590000.00,2021241000.00,1731117000.00,1545600000.00,1416010000.00,1350410000.00,1128603000.00,1061855000.00,1010338000.00,969583000.00,941925000.00,898747000.00,869315000.00,842980000.00
累计其他全面收益(元),-12427000.00,4264000.00,-20557000.00,-25362000.00,-31368000.00,-45859000.00,-48565000.00,-36530000.00,-38211000.00,-34401000.00,-43308000.00,-37890000.00,-38120000.00,-43154000.00
归属于母公司股东权益(元),4496600000.00,4020730000.00,3581956000.00,3327361000.00,3112500000.00,2973683000.00,2679800000.00,2528966000.00,2415834000.00,2317233000.00,2223426000.00,2167318000.00,2032075000.00,1909214000.00
股东权益合计(元),4496600000.00,4020730000.00,3581956000.00,3327361000.00,3112500000.00,2973683000.00,2679800000.00,2528966000.00,2415834000.00,2317233000.00,2223426000.00,2167318000.00,2032075000.00,1909214000.00
负债及股东权益合计(元),22663537000.00,20152797000.00,19012742000.00,16951540000.00,16517223000.00,14359096000.00,13586610000.00,12347338000.00,11593507000.00,11262274000.00,10202871000.00,9916267000.00,9654861000.00,9240626000.00
公告日期,2018-07-18,2018-04-18,2018-01-29,2017-10-16,2017-07-17,2017-04-20,2017-01-27,2016-10-20,2016-07-19,2016-04-20,2016-01-28,2015-10-16,2015-07-17,2015-04-17
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),674473000.00,290124000.00,558929000.00,373412000.00,243822000.00,178222000.00,186678000.00,119930000.00,68413000.00,27658000.00,122641000.00,79463000.00,50031000.00,23696000.00
折旧及摊销(元),3627726000.00,1779019000.00,6330385000.00,4585160000.00,2925186000.00,1339330000.00,4924978000.00,43339000.00,2303273000.00,1093760000.00,3547045000.00,2550903000.00,1644864000.00,785870000.00
基于股票的补偿费(元),149627000.00,68395000.00,182209000.00,133679000.00,88916000.00,44888000.00,108554000.00,92628000.00,-4046470000.00,31106000.00,44254000.00,-17289000.00,-12397000.00,-1560000.00
递延所得税(元),-31588000.00,-22049000.00,-208688000.00,-104556000.00,-47466000.00,-26764000.00,-46847000.00,-20141000.00,-34479000.00,-16603000.00,-58655000.00,-70691000.00,-,-37042000.00
资产处置损益(元),-,-,-,-,-,-,-,-,-,-,-5771652000.00,-,-,-
汇兑损益(元),-44330000.00,41080000.00,140790000.00,115050000.00,64220000.00,-,-,-,-,-,-,-,-,-
经营业务调整其他项目(元),-5330979000.00,-2599653000.00,-8848550000.00,-6438463000.00,-4098755000.00,-1960743000.00,-6839727000.00,-1327105000.00,1166037000.00,-1383811000.00,1212734000.00,-3248528000.00,-2068123000.00,-956185000.00
待摊费用及其他资产(元),-27057000.00,-42075000.00,-234090000.00,-147000000.00,-105601000.00,-25402000.00,46970000.00,48649000.00,38399000.00,-,-,54667000.00,-16505000.00,-
应付账款及票据增加(减少)(元),81816000.00,74083000.00,74559000.00,10590000.00,-23439000.00,-11000000.00,32247000.00,16707000.00,-11103000.00,-19898000.00,51615000.00,2584000.00,-4178000.00,-10625000.00
递延收入(元),79118000.00,55270000.00,177974000.00,94777000.00,61830000.00,15221000.00,96751000.00,80485000.00,50255000.00,27502000.00,72135000.00,55153000.00,27168000.00,10754000.00
应付税项(元),-,-,-,-,-,-,-,-,-,-,-,-,-41274000.00,-
应计费用及其他负债(元),66198000.00,119049000.00,114337000.00,119506000.00,45500000.00,93542000.00,68706000.00,72288000.00,43331000.00,41232000.00,48810000.00,88429000.00,77546000.00,35922000.00
经营业务其他项目(元),-,-,-73803000.00,-40146000.00,-32597000.00,8850000.00,-52294000.00,-43604000.00,-32539000.00,-29536000.00,-18366000.00,615000.00,34143000.00,21788000.00
经营活动产生的现金流量净额(元),-754996000.00,-236757000.00,-1785948000.00,-1297991000.00,-878384000.00,-343856000.00,-1473984000.00,-916824000.00,-454883000.00,-228590000.00,-749439000.00,-504694000.00,-308725000.00,-127382000.00
投资活动产生的现金流量：,,,,,,,,,,,,,,
购买固定资产支付的现金(元),-64493000.00,-37170000.00,-179991000.00,-151717000.00,-117754000.00,-52523000.00,-107653000.00,-46605000.00,-19239000.00,-31632000.00,-169206000.00,-135553000.00,-83266000.00,-35942000.00
处置固定资产收到的现金(元),-,-,-,-43213000.00,-,-,-,-,-,-,-,-,-,-
购买无形资产及其他资产支付的现金(元),-23348000.00,-10796000.00,-128539000.00,-74819000.00,-105016000.00,-83146000.00,-264370000.00,-181590000.00,-53454000.00,-34962000.00,-371915000.00,-225333000.00,-158889000.00,-90940000.00
处置无形资产及其他资产收到的现金(元),-,-,342859000.00,342859000.00,92581000.00,60848000.00,422729000.00,311242000.00,114640000.00,71213000.00,363841000.00,226429000.00,151417000.00,83835000.00
