zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-07-29,2018-04-29,2018-01-28,2017-10-29,2017-07-30,2017-04-30,2017-01-29,2016-10-30,2016-07-31,2016-05-01,2016-01-31,2015-10-25,2015-07-26,2015-04-26
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0127,0127,0128,0128,0129,0128,0129,0131,0131,0131,0131,0125,0126,0126
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),718000000.00,765000000.00,4002000000.00,2802000000.00,5877000000.00,1989000000.00,1766000000.00,1940000000.00,426000000.00,547000000.00,596000000.00,4728000000.00,435000000.00,464000000.00
应收账款及票据(元),1662000000.00,1220000000.00,1265000000.00,1167000000.00,1213000000.00,976000000.00,826000000.00,833000000.00,644000000.00,523000000.00,505000000.00,536000000.00,514000000.00,455000000.00
预付款项及其他应收款流动(元),136000000.00,131000000.00,86000000.00,135000000.00,125000000.00,113000000.00,118000000.00,124000000.00,112000000.00,119000000.00,93000000.00,145000000.00,89000000.00,89000000.00
存货(元),1090000000.00,797000000.00,796000000.00,857000000.00,855000000.00,821000000.00,794000000.00,679000000.00,521000000.00,394000000.00,418000000.00,425000000.00,441000000.00,438000000.00
递延所得税资产流动(元),-,-,-,-,-,-,-,-,-,-,-,-,59000000.00,58000000.00
短期投资(元),7225000000.00,6535000000.00,3106000000.00,3518000000.00,-,4217000000.00,5032000000.00,4731000000.00,4453000000.00,4207000000.00,4441000000.00,-,4070000000.00,4328000000.00
流动资产合计(元),10831000000.00,9448000000.00,9255000000.00,8479000000.00,8070000000.00,8116000000.00,8536000000.00,8307000000.00,6156000000.00,5790000000.00,6053000000.00,5834000000.00,5608000000.00,5832000000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),1162000000.00,1066000000.00,997000000.00,600000000.00,578000000.00,539000000.00,521000000.00,503000000.00,485000000.00,479000000.00,466000000.00,477000000.00,497000000.00,547000000.00
无形资产(元),51000000.00,55000000.00,52000000.00,63000000.00,76000000.00,90000000.00,104000000.00,120000000.00,138000000.00,155000000.00,166000000.00,172000000.00,190000000.00,205000000.00
商誉(元),618000000.00,618000000.00,618000000.00,618000000.00,618000000.00,618000000.00,618000000.00,618000000.00,618000000.00,618000000.00,618000000.00,618000000.00,618000000.00,618000000.00
非流动资产其他项目(元),220000000.00,273000000.00,319000000.00,70000000.00,60000000.00,47000000.00,62000000.00,64000000.00,64000000.00,66000000.00,67000000.00,73000000.00,66000000.00,89000000.00
非流动资产合计(元),2051000000.00,2012000000.00,1986000000.00,1351000000.00,1332000000.00,1294000000.00,1305000000.00,1305000000.00,1305000000.00,1318000000.00,1317000000.00,1340000000.00,1371000000.00,1459000000.00
总资产(元),12882000000.00,11460000000.00,11241000000.00,9830000000.00,9402000000.00,9410000000.00,9841000000.00,9612000000.00,7461000000.00,7108000000.00,7370000000.00,7174000000.00,6979000000.00,7291000000.00
流动负债：,,,,,,,,,,,,,,
短期债务及长期负债本期部分(元),14000000.00,14000000.00,15000000.00,23000000.00,84000000.00,215000000.00,796000000.00,1011000000.00,1428000000.00,1421000000.00,1413000000.00,-,-,-
应付账款及票据(元),800000000.00,623000000.00,596000000.00,511000000.00,431000000.00,348000000.00,485000000.00,523000000.00,423000000.00,320000000.00,296000000.00,295000000.00,277000000.00,222000000.00
其他应付款及应计费用(元),648000000.00,469000000.00,542000000.00,493000000.00,517000000.00,420000000.00,507000000.00,507000000.00,556000000.00,636000000.00,642000000.00,560000000.00,659000000.00,661000000.00
流动负债合计(元),1462000000.00,1106000000.00,1153000000.00,1027000000.00,1032000000.00,983000000.00,1788000000.00,2041000000.00,2407000000.00,2377000000.00,2351000000.00,855000000.00,936000000.00,883000000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),2625000000.00,2637000000.00,2617000000.00,2449000000.00,2392000000.00,2284000000.00,2254000000.00,2195000000.00,494000000.00,447000000.00,453000000.00,1843000000.00,1846000000.00,1839000000.00
融资租赁负债非流动(元),-,-,-,1000000.00,3000000.00,4000000.00,6000000.00,7000000.00,8000000.00,9000000.00,10000000.00,11000000.00,12000000.00,13000000.00
非流动负债合计(元),2625000000.00,2637000000.00,2617000000.00,2450000000.00,2395000000.00,2288000000.00,2260000000.00,2202000000.00,502000000.00,456000000.00,463000000.00,1854000000.00,1858000000.00,1852000000.00
总负债(元),4087000000.00,3743000000.00,3770000000.00,3477000000.00,3427000000.00,3271000000.00,4048000000.00,4243000000.00,2909000000.00,2833000000.00,2814000000.00,2709000000.00,2794000000.00,2735000000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),1000000.00,1000000.00,1000000.00,1000000.00,-,1000000.00,1000000.00,-,1000000.00,1000000.00,1000000.00,-,1000000.00,1000000.00
库存股(元),-7821000000.00,-7755000000.00,-6650000000.00,-6614000000.00,-,-5297000000.00,-5039000000.00,-,-4608000000.00,-4508000000.00,-4048000000.00,-,-3765000000.00,-3476000000.00
股本溢价(元),5681000000.00,5546000000.00,5351000000.00,5219000000.00,-,4936000000.00,4708000000.00,-,4408000000.00,4218000000.00,4170000000.00,-,3938000000.00,3986000000.00
留存收益(元),10957000000.00,9948000000.00,8787000000.00,7760000000.00,-,6506000000.00,6108000000.00,-,4675000000.00,4484000000.00,4350000000.00,-,4010000000.00,4037000000.00
累计其他全面收益(元),-23000000.00,-23000000.00,-18000000.00,-14000000.00,-,-14000000.00,-16000000.00,-,4000000.00,1000000.00,-4000000.00,-,1000000.00,8000000.00
归属于母公司股东权益其他项目(元),-,-,-,-,5975000000.00,7000000.00,-,5369000000.00,72000000.00,79000000.00,-,-,-,-
归属于母公司股东权益(元),8795000000.00,7717000000.00,7471000000.00,6352000000.00,5975000000.00,6139000000.00,5762000000.00,5369000000.00,4552000000.00,4275000000.00,4469000000.00,4465000000.00,4185000000.00,4556000000.00
少数股东权益(元),-,-,-,1000000.00,-,-,-,-,-,-,-,-,-,-
股东权益合计(元),8795000000.00,7717000000.00,7471000000.00,6353000000.00,5975000000.00,6139000000.00,5762000000.00,5369000000.00,4552000000.00,4275000000.00,4469000000.00,4465000000.00,4185000000.00,4556000000.00
负债及股东权益合计(元),12882000000.00,11460000000.00,11241000000.00,9830000000.00,9402000000.00,9410000000.00,9810000000.00,9612000000.00,7461000000.00,7108000000.00,7283000000.00,7174000000.00,6979000000.00,7291000000.00
公告日期,2018-08-16,2018-05-22,2018-02-28,2017-11-21,2017-08-10,2017-05-23,2017-03-01,2016-11-22,2016-08-23,2016-05-25,2016-03-17,2015-11-18,2015-08-19,2015-05-20
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-30,2018-01-30,2017-01-29,2017-01-30,2017-01-29,2017-01-30,2016-02-01,2016-02-01,2016-02-01,2016-02-01,2015-01-26,2015-01-26,2015-01-27,2015-01-25
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0127,0127,0128,0128,0129,0128,0129,0131,0131,0131,0131,0125,0126,0126
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),2345000000.00,1244000000.00,3047000000.00,1928000000.00,1091000000.00,507000000.00,1666000000.00,1012000000.00,449000000.00,196000000.00,614000000.00,406000000.00,160000000.00,134000000.00
折旧及摊销(元),116000000.00,57000000.00,202000000.00,148000000.00,98000000.00,49000000.00,212000000.00,160000000.00,106000000.00,53000000.00,226000000.00,173000000.00,117000000.00,61000000.00
基于股票的补偿费(元),262000000.00,129000000.00,391000000.00,265000000.00,158000000.00,76000000.00,247000000.00,176000000.00,85000000.00,44000000.00,194000000.00,140000000.00,87000000.00,39000000.00
递延所得税(元),113000000.00,51000000.00,-359000000.00,158000000.00,115000000.00,22000000.00,197000000.00,146000000.00,74000000.00,33000000.00,-,107000000.00,65000000.00,28000000.00
资产处置损益(元),-,-,-1000000.00,-,-,-,18000000.00,-2000000.00,-3000000.00,-3000000.00,-6000000.00,-7000000.00,-3000000.00,-3000000.00
重估盈余(元),-,-,-,-,-,-,-,-,-,-,45000000.00,-,-,-
经营业务调整其他项目(元),-22000000.00,-8000000.00,37000000.00,31000000.00,26000000.00,19000000.00,11000000.00,23000000.00,7000000.00,4000000.00,19000000.00,53000000.00,43000000.00,7000000.00
存货的减少(增加)(元),-295000000.00,-2000000.00,-,-61000000.00,-61000000.00,-27000000.00,-375000000.00,-261000000.00,-104000000.00,23000000.00,66000000.00,59000000.00,42000000.00,45000000.00
预付款项及其他应收款减少(增加)(元),-,-,-,-26000000.00,-15000000.00,-2000000.00,-,-,-,-,-,-,-,-
待摊费用及其他资产(元),-44000000.00,-38000000.00,21000000.00,-,-,-,-18000000.00,-28000000.00,-17000000.00,-18000000.00,-16000000.00,-25000000.00,-13000000.00,-17000000.00
应收账款及票据减少(增加)(元),-386000000.00,56000000.00,-440000000.00,-342000000.00,-387000000.00,-150000000.00,-321000000.00,-328000000.00,-138000000.00,-17000000.00,-32000000.00,-63000000.00,-41000000.00,18000000.00
应付账款及票据增加(减少)(元),172000000.00,22000000.00,90000000.00,27000000.00,-63000000.00,-133000000.00,184000000.00,218000000.00,131000000.00,32000000.00,-11000000.00,7000000.00,-13000000.00,-67000000.00
应付税项(元),-,-,-,-,-,-,-,-,-,-,134000000.00,-,-,-
应计费用及其他负债(元),97000000.00,-66000000.00,514000000.00,16000000.00,25000000.00,-79000000.00,-149000000.00,-165000000.00,-97000000.00,-38000000.00,-58000000.00,-186000000.00,-35000000.00,1000000.00
