zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2016年年报

截止日期,2018-06-30,2018-03-31,2017-12-31,2016-12-31
报表类型,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231
原始币种,人民币,人民币,人民币,人民币
上市前/上市后,上市前,上市前,上市前,上市前
流动资产：,,,,
现金及现金等价物(元),9030874000.00,8634289000.00,3058152000.00,1319843000.00
受限制存款及现金流动(元),8785138000.00,8058398000.00,9370849000.00,-
应收关联方款项(元),94443000.00,113525000.00,88173000.00,10282000.00
预付款项及其他应收款流动(元),673405000.00,210850000.00,127742000.00,40731000.00
短期投资(元),1300000000.00,850000000.00,50000000.00,290000000.00
流动资产其他项目(元),588078000.00,515497000.00,442912000.00,92647000.00
流动资产合计(元),20471938000.00,18382559000.00,13137828000.00,1753503000.00
非流动资产：,,,,
物业、厂房及设备(元),14876000.00,9897000.00,9279000.00,2248000.00
无形资产(元),2786690000.00,2789354000.00,-,-
预付款项及其他长期应收款非流动(元),-,164199000.00,162363000.00,-
长期投资(元),-,-,5000000.00,15000000.00
非流动资产合计(元),2801566000.00,2963450000.00,176642000.00,17248000.00
总资产(元),23273504000.00,21346009000.00,13314470000.00,1770751000.00
流动负债：,,,,
应付关联方款项流动(元),9612421000.00,8736243000.00,9914576000.00,1141774000.00
其他应付款及应计费用(元),1076116000.00,602553000.00,416846000.00,43986000.00
流动负债其他项目(元),3194609000.00,2414648000.00,1778085000.00,228536000.00
流动负债合计(元),13883146000.00,11753444000.00,12109507000.00,1414296000.00
非流动负债：,,,,
总负债(元),13883146000.00,11753444000.00,12109507000.00,1414296000.00
股东权益：,,,,
普通股(元),62000.00,54000.00,54000.00,56000.00
优先股(元),-,10950505000.00,2196921000.00,782733000.00
股本溢价(元),5848893000.00,74936000.00,61326000.00,21531000.00
留存收益(元),-7805642000.00,-1311754000.00,-1030237000.00,-472445000.00
累计其他全面收益(元),396540000.00,-121176000.00,-23101000.00,24580000.00
归属于母公司股东权益其他项目(元),10950505000.00,-,-,-
归属于母公司股东权益(元),9390358000.00,9592565000.00,1204963000.00,356455000.00
股东权益合计(元),9390358000.00,9592565000.00,1204963000.00,356455000.00
负债及股东权益合计(元),23273504000.00,21346009000.00,13314470000.00,1770751000.00
公告日期,2018-08-31,2018-07-16,2018-07-16,2018-07-16
会计准则,美国会计准则,美国会计准则,美国会计准则,美国会计准则
审计意见,,,,
核数师,,,,

xianjinliuliang
,2018年一季报,2017年年报,2017年一季报,2016年年报

起始日期,2018-01-01,2017-01-01,2017-01-01,2016-01-01
报表类型,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231
原始币种,人民币,人民币,人民币,人民币
上市前/上市后,上市前,上市前,上市前,上市前
经营活动产生的现金流量：,,,,
净利润(元),-201021000.00,-525115000.00,-207723000.00,-291977000.00
折旧及摊销(元),41702000.00,2265000.00,546000.00,756000.00
基于股票的补偿费(元),13610000.00,13380000.00,2366000.00,4064000.00
减值及拨备(元),-,10000000.00,-,-
资产处置损益(元),-,64000.00,-,-
重估盈余(元),-,-,-,8668000.00
经营业务调整其他项目(元),-1836000.00,-2573000.00,-,-
存款及限制性现金减少(增加)(元),1949014000.00,-7812236000.00,125641000.00,219472000.00
预付款项及其他应收款减少(增加)(元),-78132000.00,-87614000.00,-3953000.00,98715000.00
预收款项及其他应付款增加(减少)(元),29204000.00,54299000.00,-1306000.00,-102731000.00
应收账款及票据减少(增加)(元),-25352000.00,-77891000.00,-3681000.00,-8316000.00
应付账款及票据增加(减少)(元),-1244279000.00,8721721000.00,381629000.00,1091603000.00
应收关联方款项减少(增加)(元),-72585000.00,-350265000.00,-15026000.00,-2748000.00
应付关联方款项增加(减少)(元),65946000.00,51081000.00,91702000.00,-42319000.00
应计费用及其他负债(元),152653000.00,318363000.00,19785000.00,-95410000.00
经营活动产生的现金流量净额(元),628924000.00,315479000.00,389980000.00,879777000.00
投资活动产生的现金流量：,,,,
购买固定资产支付的现金(元),-1556000.00,-8921000.00,-2198000.00,-2301000.00
处置固定资产收到的现金(元),-,362000.00,-,-
投资支付现金(元),-800000000.00,-1552790000.00,-573000000.00,-335000000.00
投资业务其他项目(元),-,1633000000.00,160000000.00,30000000.00
投资活动产生的现金流量净额(元),-801556000.00,71651000.00,-415198000.00,-307301000.00
融资活动产生的现金流量：,,,,
发行股份(元),5824568000.00,1446906000.00,767507000.00,511911000.00
回购股份(元),-,-32677000.00,-,-
发行费用相关(元),-,-15369000.00,-,-7047000.00
筹资业务其他项目(元),-,-,-,-18326000.00
融资活动产生的现金流量净额(元),5824568000.00,1398860000.00,767507000.00,486538000.00
汇率变动影响(元),-75799000.00,-47681000.00,407000.00,20397000.00
现金及现金等价物期初余额(元),3058152000.00,1319843000.00,1319843000.00,240432000.00
现金及现金等价物增加(减少)额(元),5576137000.00,1738309000.00,742696000.00,1079411000.00
现金及现金等价物期末余额(元),8634289000.00,3058152000.00,2062539000.00,1319843000.00
收到利息(元),46947000.00,52150000.00,7225000.00,3992000.00
非现金活动(元),4008000.00,198000.00,17205000.00,-
公告日期,2018-07-16,2018-07-16,2018-07-16,2018-07-16
会计准则,美国会计准则,美国会计准则,美国会计准则,美国会计准则
审计意见,,,,
核数师,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年中报,2017年一季报,2016年年报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01
截止日期,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231
原始币种,人民币,人民币,人民币,人民币,人民币,人民币
上市前/上市后,上市前,上市前,上市前,上市前,上市前,上市前
营业收入(元),4093650000.00,1384604000.00,1744076000.00,141636000.00,37019000.00,504864000.00
主营收入(元),4093650000.00,1384604000.00,1744076000.00,141636000.00,37019000.00,504864000.00
营业成本(元),706530000.00,318700000.00,722830000.00,162038000.00,54433000.00,577870000.00
主营成本(元),706530000.00,318700000.00,722830000.00,162038000.00,54433000.00,577870000.00
毛利(元),3387120000.00,1065904000.00,1021246000.00,-20402000.00,-17414000.00,-73006000.00
减：研发费用(元),258847000.00,72818000.00,129181000.00,40913000.00,16028000.00,29421000.00
减：营销费用(元),4188192000.00,1217458000.00,1344582000.00,162772000.00,73870000.00,168990000.00
减：一般及行政费用(元),5829434000.00,28761000.00,133207000.00,114560000.00,108597000.00,14793000.00
减：减值及拨备(元),-,-,10000000.00,-,-,-
营业利润(元),-6889353000.00,-253133000.00,-595724000.00,-338647000.00,-215909000.00,-286210000.00
加：利息收入(元),186764000.00,50163000.00,80783000.00,21241000.00,7503000.00,4460000.00
加：其他收入(支出)(元),7680000.00,1949000.00,-10174000.00,142000.00,683000.00,-1559000.00
加：公允价值变动损益(元),-,-,-,-,-,-8668000.00
持续经营税前利润(元),-6694909000.00,-201021000.00,-525115000.00,-317264000.00,-207723000.00,-291977000.00
持续经营净利润(元),-6694909000.00,-201021000.00,-525115000.00,-317264000.00,-207723000.00,-291977000.00
净利润(元),-6694909000.00,-201021000.00,-525115000.00,-317264000.00,-207723000.00,-291977000.00
归属于母公司股东净利润(元),-6694909000.00,-201021000.00,-525115000.00,-317264000.00,-207723000.00,-291977000.00
减：归属于优先股净利润及其他项(元),80496000.00,80496000.00,-26413000.00,-26413000.00,-26413000.00,30430000.00
归属于普通股股东净利润(元),-6775405000.00,-281517000.00,-498702000.00,-290851000.00,-181310000.00,-322407000.00
每股收益,,,,,,
基本每股收益－普通股(元),-3.66,-0.16,-0.28,-0.16,-0.10,-0.18
摊薄每股收益－普通股(元),-3.66,-0.16,-0.28,-0.16,-0.10,-0.18
基本每股收益－ADS(元),-14.64,-,-,-0.64,-,-
摊薄每股收益－ADS(元),-14.64,-,-,-0.64,-,-
其他全面收益(元),-,-98075000.00,-47681000.00,-,407000.00,20001000.00
全面收益总额(元),-,-299096000.00,-572796000.00,-,-207316000.00,-271976000.00
公告日期,2018-08-31,2018-07-16,2018-07-16,2018-08-31,2018-07-16,2018-07-16
会计准则,美国会计准则,美国会计准则,美国会计准则,美国会计准则,美国会计准则,美国会计准则
审计意见,,,,,,
核数师,,,,,,

