zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-07-01,2018-04-01,2017-12-31,2017-10-01,2017-07-02,2017-04-02,2016-12-31,2016-10-02,2016-07-03,2016-04-03,2015-12-31,2015-09-27,2015-06-28,2015-03-29
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),2704000000.00,2302000000.00,1342000000.00,2779000000.00,2585000000.00,4057000000.00,2595000000.00,2094000000.00,3411000000.00,2561000000.00,3641000000.00,3099000000.00,3670000000.00,3563000000.00
可供出售投资流动(元),-,64000000.00,12000000.00,16000000.00,3000000.00,3000000.00,801000000.00,1119000000.00,-,-,-,-,-,-
应收账款及票据(元),9873000000.00,9452000000.00,8221000000.00,10002000000.00,9476000000.00,8892000000.00,8225000000.00,9836000000.00,9138000000.00,9033000000.00,-,-,8951000000.00,8920000000.00
存货(元),8074000000.00,8148000000.00,7578000000.00,7925000000.00,7584000000.00,7415000000.00,6783000000.00,7507000000.00,7614000000.00,7578000000.00,7513000000.00,7678000000.00,5796000000.00,5786000000.00
递延所得税资产流动(元),-,-,-,-,-,-,-,-,-,-,-,4883000000.00,4263000000.00,4214000000.00
可收回本期税项(元),3582000000.00,3624000000.00,3050000000.00,3263000000.00,3113000000.00,2791000000.00,3041000000.00,2825000000.00,3127000000.00,2888000000.00,2662000000.00,-,-,-
短期投资(元),10727000000.00,9119000000.00,18650000000.00,14146000000.00,11748000000.00,10503000000.00,15255000000.00,12277000000.00,17531000000.00,16882000000.00,19649000000.00,17559000000.00,26586000000.00,24145000000.00
流动资产其他项目(元),2343000000.00,2126000000.00,2289000000.00,2158000000.00,1877000000.00,2218000000.00,2249000000.00,2843000000.00,3023000000.00,2355000000.00,10339000000.00,11783000000.00,2449000000.00,2815000000.00
流动资产合计(元),37303000000.00,34835000000.00,41141000000.00,40291000000.00,36385000000.00,35878000000.00,38949000000.00,38501000000.00,43845000000.00,41298000000.00,43804000000.00,45001000000.00,51715000000.00,49443000000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),13919000000.00,13971000000.00,13865000000.00,13505000000.00,13386000000.00,13238000000.00,13318000000.00,13284000000.00,13609000000.00,13584000000.00,13766000000.00,13695000000.00,11432000000.00,11527000000.00
无形资产(元),46584000000.00,47690000000.00,48741000000.00,49721000000.00,51348000000.00,52427000000.00,52648000000.00,54238000000.00,43056000000.00,39602000000.00,40356000000.00,43297000000.00,33424000000.00,34334000000.00
商誉(元),55836000000.00,56393000000.00,55952000000.00,56078000000.00,55014000000.00,54656000000.00,54449000000.00,56281000000.00,50600000000.00,48558000000.00,48242000000.00,47217000000.00,41571000000.00,41854000000.00
递延所得税资产非流动(元),1848000000.00,1883000000.00,1855000000.00,1858000000.00,1952000000.00,1909000000.00,1812000000.00,1859000000.00,1805000000.00,1738000000.00,1794000000.00,1512000000.00,1450000000.00,1477000000.00
长期投资(元),6595000000.00,6945000000.00,7015000000.00,7311000000.00,7008000000.00,7346000000.00,7116000000.00,9507000000.00,13124000000.00,14146000000.00,15999000000.00,16233000000.00,17650000000.00,18289000000.00
非流动资产其他项目(元),2896000000.00,2896000000.00,3227000000.00,3388000000.00,3466000000.00,3329000000.00,3323000000.00,4759000000.00,4618000000.00,4003000000.00,3499000000.00,3911000000.00,3636000000.00,3716000000.00
非流动资产合计(元),127678000000.00,129778000000.00,130655000000.00,131861000000.00,132174000000.00,132905000000.00,132666000000.00,139928000000.00,126812000000.00,121631000000.00,123656000000.00,125865000000.00,109163000000.00,111197000000.00
总资产(元),164980000000.00,164612000000.00,171797000000.00,172151000000.00,168558000000.00,168784000000.00,171615000000.00,178430000000.00,170658000000.00,162929000000.00,167460000000.00,170867000000.00,160878000000.00,160640000000.00
流动负债：,,,,,,,,,,,,,,
短期债务及长期负债本期部分(元),11583000000.00,9010000000.00,9953000000.00,9448000000.00,9514000000.00,7680000000.00,10688000000.00,13633000000.00,13724000000.00,11546000000.00,10160000000.00,9818000000.00,8394000000.00,6555000000.00
应付账款及票据(元),4196000000.00,3879000000.00,4656000000.00,3480000000.00,3439000000.00,3393000000.00,4536000000.00,3476000000.00,3261000000.00,3125000000.00,3620000000.00,3294000000.00,2930000000.00,2724000000.00
应付税项流动(元),2481000000.00,1614000000.00,477000000.00,1003000000.00,552000000.00,790000000.00,437000000.00,1158000000.00,647000000.00,920000000.00,418000000.00,1178000000.00,1057000000.00,944000000.00
应付薪酬和福利(元),1791000000.00,1911000000.00,2196000000.00,1932000000.00,1625000000.00,1858000000.00,2487000000.00,2048000000.00,1594000000.00,1725000000.00,2359000000.00,2155000000.00,1646000000.00,1679000000.00
其他应付款及应计费用(元),1980000000.00,-,2029000000.00,1909000000.00,1904000000.00,-,1944000000.00,1821000000.00,1820000000.00,-,1852000000.00,1728000000.00,1726000000.00,-
流动负债其他项目(元),10125000000.00,10950000000.00,11115000000.00,10446000000.00,10148000000.00,11143000000.00,11023000000.00,12623000000.00,11053000000.00,11419000000.00,10990000000.00,9672000000.00,8390000000.00,8320000000.00
流动负债合计(元),32156000000.00,27365000000.00,30427000000.00,28217000000.00,27182000000.00,24864000000.00,31115000000.00,34759000000.00,32099000000.00,28735000000.00,29399000000.00,27845000000.00,24143000000.00,20222000000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),28935000000.00,31831000000.00,33538000000.00,34503000000.00,34191000000.00,36330000000.00,31398000000.00,30437000000.00,30457000000.00,27824000000.00,28818000000.00,29079000000.00,26729000000.00,29370000000.00
应付税项非流动(元),15597000000.00,16605000000.00,18697000000.00,4304000000.00,4096000000.00,4027000000.00,4000000000.00,4767000000.00,4116000000.00,4053000000.00,3992000000.00,4452000000.00,4359000000.00,4293000000.00
递延所得税负债非流动(元),5743000000.00,5967000000.00,3900000000.00,30411000000.00,30879000000.00,30857000000.00,30753000000.00,31687000000.00,28300000000.00,26547000000.00,26877000000.00,28654000000.00,24659000000.00,24474000000.00
非流动负债其他项目(元),5947000000.00,5644000000.00,6149000000.00,6388000000.00,6440000000.00,6918000000.00,6337000000.00,6059000000.00,5518000000.00,5180000000.00,5257000000.00,4987000000.00,5310000000.00,5644000000.00
非流动负债合计(元),62701000000.00,66706000000.00,69714000000.00,82824000000.00,82682000000.00,85174000000.00,80660000000.00,80070000000.00,75492000000.00,70848000000.00,73063000000.00,75897000000.00,69555000000.00,72832000000.00
总负债(元),94856000000.00,94071000000.00,100141000000.00,111041000000.00,109864000000.00,110038000000.00,111775000000.00,114829000000.00,107591000000.00,99583000000.00,102462000000.00,103742000000.00,93698000000.00,93054000000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),465000000.00,465000000.00,464000000.00,463000000.00,463000000.00,463000000.00,461000000.00,461000000.00,461000000.00,460000000.00,459000000.00,459000000.00,458000000.00,458000000.00
优先股(元),20000000.00,21000000.00,21000000.00,22000000.00,23000000.00,23000000.00,24000000.00,25000000.00,25000000.00,26000000.00,26000000.00,27000000.00,28000000.00,28000000.00
库存股(元),-95463000000.00,-95460000000.00,-89425000000.00,-89421000000.00,-89416000000.00,-89414000000.00,-84364000000.00,-84346000000.00,-84313000000.00,-84313000000.00,-79252000000.00,-79259000000.00,-79098000000.00,-79100000000.00
股本溢价(元),84898000000.00,84599000000.00,84278000000.00,83827000000.00,83373000000.00,83111000000.00,82685000000.00,82534000000.00,82138000000.00,81443000000.00,81016000000.00,80763000000.00,80407000000.00,80004000000.00
留存收益(元),89860000000.00,89961000000.00,85291000000.00,75043000000.00,74107000000.00,74847000000.00,71774000000.00,72846000000.00,73350000000.00,74971000000.00,71993000000.00,74019000000.00,73620000000.00,74471000000.00
累计其他全面收益(元),-10003000000.00,-9402000000.00,-9321000000.00,-9164000000.00,-10181000000.00,-10594000000.00,-11036000000.00,-8214000000.00,-8891000000.00,-9520000000.00,-9522000000.00,-9170000000.00,-8521000000.00,-8557000000.00
归属于母公司股东权益(元),69778000000.00,70184000000.00,71308000000.00,60770000000.00,58368000000.00,58435000000.00,59544000000.00,63306000000.00,62769000000.00,63068000000.00,64720000000.00,66838000000.00,66894000000.00,67304000000.00
少数股东权益(元),346000000.00,358000000.00,348000000.00,340000000.00,326000000.00,311000000.00,296000000.00,294000000.00,297000000.00,279000000.00,278000000.00,286000000.00,286000000.00,283000000.00
股东权益合计(元),70124000000.00,70541000000.00,71656000000.00,61110000000.00,58694000000.00,58746000000.00,59840000000.00,63601000000.00,63066000000.00,63347000000.00,64998000000.00,67124000000.00,67180000000.00,67587000000.00
负债及股东权益合计(元),164980000000.00,164612000000.00,171797000000.00,172151000000.00,168558000000.00,168784000000.00,171615000000.00,178430000000.00,170657000000.00,162930000000.00,167460000000.00,170866000000.00,160878000000.00,160641000000.00
公告日期,2018-08-09,2018-05-10,2018-02-22,2017-11-09,2017-08-10,2017-05-11,2017-02-23,2016-11-10,2016-08-11,2016-05-12,2016-02-29,2015-11-05,2015-08-06,2015-05-07
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-02,2018-01-02,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
