zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-03-25,2017-12-24,2017-09-24,2017-06-25,2017-03-26,2016-12-25,2016-09-25,2016-06-26,2016-03-27,2015-12-27,2015-09-27,2015-06-28,2015-03-29,2014-12-28
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0930,0930,0924,0925,0925,0925,0925,0926,0925,0926,0927,0928,0928,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),37946000000.00,33362000000.00,35029000000.00,14909000000.00,7124000000.00,6885000000.00,5946000000.00,5885000000.00,5775000000.00,6913000000.00,7560000000.00,9987000000.00,5492000000.00,6325000000.00
应收账款及票据(元),3535000000.00,3053000000.00,3632000000.00,3532000000.00,4201000000.00,2085000000.00,2219000000.00,1939000000.00,1738000000.00,1323000000.00,1964000000.00,1961000000.00,2058000000.00,2239000000.00
存货(元),1797000000.00,1872000000.00,2035000000.00,2002000000.00,2066000000.00,1910000000.00,1556000000.00,1338000000.00,1427000000.00,1216000000.00,1492000000.00,1583000000.00,1861000000.00,1761000000.00
递延所得税资产流动(元),-,-,-,-,-,-,-,-,-,607000000.00,635000000.00,472000000.00,533000000.00,445000000.00
短期投资(元),1625000000.00,2041000000.00,2279000000.00,5954000000.00,2858000000.00,3927000000.00,12702000000.00,11225000000.00,10627000000.00,9615000000.00,9761000000.00,11344000000.00,10063000000.00,11463000000.00
流动资产其他项目(元),641000000.00,638000000.00,618000000.00,624000000.00,659000000.00,972000000.00,558000000.00,592000000.00,590000000.00,664000000.00,687000000.00,581000000.00,733000000.00,528000000.00
流动资产合计(元),45544000000.00,40966000000.00,43593000000.00,27021000000.00,16908000000.00,15779000000.00,22981000000.00,20979000000.00,20157000000.00,20338000000.00,22099000000.00,25928000000.00,20740000000.00,22761000000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),3224000000.00,3224000000.00,3216000000.00,3164000000.00,3065000000.00,2270000000.00,2306000000.00,2341000000.00,2391000000.00,2484000000.00,2534000000.00,2574000000.00,2523000000.00,2531000000.00
无形资产(元),3435000000.00,3548000000.00,3737000000.00,3880000000.00,4084000000.00,3338000000.00,3500000000.00,3669000000.00,3896000000.00,4068000000.00,3742000000.00,2405000000.00,2482000000.00,2497000000.00
商誉(元),6676000000.00,6638000000.00,6623000000.00,6523000000.00,6497000000.00,5686000000.00,5679000000.00,5657000000.00,5657000000.00,5669000000.00,5479000000.00,4259000000.00,4388000000.00,4413000000.00
递延所得税资产非流动(元),1126000000.00,1241000000.00,2900000000.00,2747000000.00,2458000000.00,2312000000.00,2030000000.00,2075000000.00,2203000000.00,1616000000.00,1453000000.00,1275000000.00,1049000000.00,1329000000.00
长期投资(元),35000000.00,4447000000.00,1270000000.00,16889000000.00,18876000000.00,18973000000.00,13702000000.00,13922000000.00,13582000000.00,14063000000.00,13626000000.00,13894000000.00,14055000000.00,13815000000.00
非流动资产其他项目(元),4086000000.00,4287000000.00,4147000000.00,4155000000.00,4191000000.00,4008000000.00,2161000000.00,2143000000.00,2174000000.00,1991000000.00,1863000000.00,1960000000.00,1936000000.00,1101000000.00
非流动资产合计(元),18582000000.00,23385000000.00,21893000000.00,37358000000.00,39171000000.00,36587000000.00,29378000000.00,29807000000.00,29903000000.00,29891000000.00,28697000000.00,26367000000.00,26433000000.00,25686000000.00
总资产(元),64126000000.00,64351000000.00,65486000000.00,64379000000.00,56079000000.00,52366000000.00,52359000000.00,50786000000.00,50060000000.00,50229000000.00,50796000000.00,52295000000.00,47173000000.00,48447000000.00
流动负债：,,,,,,,,,,,,,,
短期债务及长期负债本期部分(元),3733000000.00,3465000000.00,2495000000.00,2495000000.00,1998000000.00,1749000000.00,1749000000.00,1749000000.00,1949000000.00,1000000000.00,1000000000.00,1000000000.00,1096000000.00,-
应付账款及票据(元),1454000000.00,1685000000.00,1971000000.00,1508000000.00,1289000000.00,1648000000.00,1858000000.00,1572000000.00,1452000000.00,1359000000.00,1300000000.00,1412000000.00,1683000000.00,2482000000.00
应付薪酬和福利(元),1262000000.00,1041000000.00,1183000000.00,1089000000.00,895000000.00,865000000.00,934000000.00,874000000.00,785000000.00,895000000.00,861000000.00,697000000.00,744000000.00,786000000.00
递延收入流动(元),502000000.00,487000000.00,502000000.00,513000000.00,513000000.00,487000000.00,509000000.00,535000000.00,791000000.00,639000000.00,583000000.00,680000000.00,778000000.00,885000000.00
流动负债其他项目(元),5709000000.00,5349000000.00,4756000000.00,3558000000.00,5450000000.00,3245000000.00,2261000000.00,2113000000.00,2049000000.00,2610000000.00,2356000000.00,2294000000.00,1868000000.00,2252000000.00
流动负债合计(元),12660000000.00,12027000000.00,10907000000.00,9163000000.00,10145000000.00,7994000000.00,7311000000.00,6843000000.00,7026000000.00,6503000000.00,6100000000.00,6083000000.00,6169000000.00,6405000000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),19361000000.00,19381000000.00,19398000000.00,19403000000.00,9939000000.00,9935000000.00,10008000000.00,10024000000.00,9993000000.00,9950000000.00,9969000000.00,9913000000.00,-,-
递延收入非流动(元),5080000000.00,5773000000.00,2003000000.00,2111000000.00,2220000000.00,2278000000.00,2377000000.00,2426000000.00,2526000000.00,2630000000.00,2496000000.00,2576000000.00,2667000000.00,2763000000.00
非流动负债其他项目(元),3206000000.00,3246000000.00,2432000000.00,2419000000.00,2441000000.00,953000000.00,895000000.00,855000000.00,878000000.00,913000000.00,817000000.00,527000000.00,503000000.00,460000000.00
非流动负债合计(元),27647000000.00,28400000000.00,23833000000.00,23933000000.00,14600000000.00,13166000000.00,13280000000.00,13305000000.00,13397000000.00,13493000000.00,13282000000.00,13016000000.00,3170000000.00,3223000000.00
总负债(元),40307000000.00,40427000000.00,34740000000.00,33096000000.00,24745000000.00,21160000000.00,20591000000.00,20148000000.00,20423000000.00,19996000000.00,19382000000.00,19099000000.00,9339000000.00,9628000000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),495000000.00,265000000.00,274000000.00,225000000.00,346000000.00,214000000.00,414000000.00,169000000.00,-,-,-,-,4956000000.00,6334000000.00
留存收益(元),22779000000.00,23273000000.00,30088000000.00,30778000000.00,30768000000.00,30815000000.00,30936000000.00,30134000000.00,29485000000.00,30172000000.00,31226000000.00,32699000000.00,32411000000.00,32061000000.00
累计其他全面收益(元),545000000.00,386000000.00,384000000.00,291000000.00,230000000.00,186000000.00,428000000.00,344000000.00,160000000.00,69000000.00,195000000.00,503000000.00,472000000.00,428000000.00
归属于母公司股东权益(元),23819000000.00,23924000000.00,30746000000.00,31294000000.00,31344000000.00,31215000000.00,31778000000.00,30647000000.00,29645000000.00,30241000000.00,31421000000.00,33202000000.00,37839000000.00,38823000000.00
少数股东权益(元),-,-,-,-11000000.00,-10000000.00,-9000000.00,-10000000.00,-9000000.00,-8000000.00,-8000000.00,-7000000.00,-6000000.00,-5000000.00,-4000000.00
股东权益合计(元),23819000000.00,23924000000.00,30746000000.00,31283000000.00,31334000000.00,31206000000.00,31768000000.00,30638000000.00,29637000000.00,30233000000.00,31414000000.00,33196000000.00,37834000000.00,38819000000.00
负债及股东权益合计(元),64126000000.00,64351000000.00,65486000000.00,64379000000.00,56079000000.00,52366000000.00,52359000000.00,50786000000.00,50060000000.00,50229000000.00,50796000000.00,52295000000.00,47173000000.00,48447000000.00
公告日期,2018-04-25,2018-01-31,2017-11-01,2017-07-19,2017-04-19,2017-01-25,2016-11-02,2016-07-20,2016-04-20,2016-01-27,2015-11-04,2015-07-22,2015-04-22,2015-01-28
会计准则,美国会计准则,,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2017-09-26,2017-09-25,2016-09-25,2016-10-01,2016-09-26,2016-10-01,2015-10-01,2015-09-27,2015-09-28,2015-09-28,2014-09-28,2014-09-29,2014-09-29,2014-09-28
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0930,0930,0924,0925,0925,0925,0925,0926,0925,0926,0927,0928,0928,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),-5590000000.00,-5953000000.00,2465000000.00,2296000000.00,1431000000.00,681000000.00,5702000000.00,4103000000.00,2660000000.00,1496000000.00,5268000000.00,4207000000.00,3023000000.00,1971000000.00
折旧及摊销(元),751000000.00,363000000.00,1461000000.00,1064000000.00,671000000.00,329000000.00,1428000000.00,1092000000.00,736000000.00,364000000.00,1214000000.00,888000000.00,591000000.00,287000000.00
基于股票的补偿费(元),470000000.00,248000000.00,874000000.00,674000000.00,448000000.00,204000000.00,935000000.00,727000000.00,492000000.00,245000000.00,923000000.00,695000000.00,444000000.00,225000000.00
减值及拨备(元),53000000.00,9000000.00,-147000000.00,239000000.00,182000000.00,175000000.00,-28000000.00,-4000000.00,-36000000.00,-38000000.00,564000000.00,624000000.00,317000000.00,133000000.00
资产处置损益(元),-,-,-,-,-,-,-380000000.00,-380000000.00,-380000000.00,-380000000.00,-,-,-,-
投资损益(元),-73000000.00,-,-530000000.00,-375000000.00,-236000000.00,-147000000.00,-288000000.00,-142000000.00,-73000000.00,-49000000.00,-500000000.00,-399000000.00,-277000000.00,-166000000.00
经营业务调整其他项目(元),5730000000.00,5731000000.00,146000000.00,-453000000.00,-133000000.00,-117000000.00,184000000.00,-,47000000.00,-13000000.00,-16000000.00,-29000000.00,-30000000.00,-31000000.00
