zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-04-01,2017-12-31,2017-10-01,2017-07-02,2017-04-02,2017-01-01,2016-10-02,2016-06-26,2016-03-27,2015-12-27,2015-09-27,2015-06-28,2015-03-29,2014-12-28
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0930,0930,1001,1001,1002,1002,1002,1002,0925,0925,0927,0928,0928,0928
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),2142000000.00,3661400000.00,2462300000.00,2716200000.00,2163900000.00,2034600000.00,2128800000.00,2141800000.00,1294400000.00,2263500000.00,1530100000.00,2080500000.00,1750400000.00,1857000000.00
应收账款及票据(元),869600000.00,851800000.00,870400000.00,791100000.00,791000000.00,865100000.00,768800000.00,747300000.00,743700000.00,764400000.00,719000000.00,672700000.00,655600000.00,664900000.00
预付款项及其他应收款流动(元),1169000000.00,950500000.00,358100000.00,354800000.00,409900000.00,357000000.00,350000000.00,467500000.00,429100000.00,340800000.00,334200000.00,413800000.00,355100000.00,600500000.00
存货(元),1375900000.00,1313200000.00,1364000000.00,1357300000.00,1323600000.00,1218700000.00,1378500000.00,1325100000.00,1293100000.00,1242600000.00,1306400000.00,1166000000.00,1061100000.00,1018300000.00
递延所得税资产流动(元),-,-,-,-,-,-,-,-,-,-,381700000.00,333000000.00,323800000.00,309300000.00
短期投资(元),100500000.00,106600000.00,228600000.00,289900000.00,231000000.00,140800000.00,134400000.00,174500000.00,123200000.00,116400000.00,81300000.00,94700000.00,99400000.00,96100000.00
流动资产合计(元),5657000000.00,6883500000.00,5283400000.00,5509300000.00,4919400000.00,4616200000.00,4760500000.00,4856200000.00,3883500000.00,4727700000.00,4352700000.00,4760700000.00,4245400000.00,4546100000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),5576800000.00,5378700000.00,4919500000.00,4699800000.00,4564500000.00,4478500000.00,4533800000.00,4359200000.00,4246900000.00,4122500000.00,4088300000.00,3977700000.00,3897700000.00,3822300000.00
无形资产(元),1228400000.00,1246200000.00,441400000.00,454800000.00,467700000.00,470600000.00,516300000.00,526700000.00,515200000.00,509100000.00,520400000.00,525800000.00,547000000.00,555500000.00
商誉(元),3793500000.00,3674800000.00,1539200000.00,1549100000.00,1635800000.00,1599000000.00,1719600000.00,1705100000.00,1625000000.00,1572300000.00,1575400000.00,1560600000.00,1592200000.00,1584900000.00
递延所得税资产非流动(元),165300000.00,157900000.00,795400000.00,805900000.00,811200000.00,806100000.00,885400000.00,822800000.00,910200000.00,938500000.00,828900000.00,851200000.00,851100000.00,831700000.00
长期投资(元),590700000.00,651100000.00,1023900000.00,1138500000.00,1461300000.00,1652000000.00,1496200000.00,1172100000.00,937400000.00,656500000.00,664500000.00,749500000.00,662100000.00,628400000.00
非流动资产其他项目(元),541800000.00,526300000.00,362800000.00,365300000.00,368000000.00,394900000.00,417700000.00,391100000.00,401200000.00,416900000.00,415900000.00,443300000.00,395200000.00,382200000.00
非流动资产合计(元),11896500000.00,11635000000.00,9082200000.00,9013400000.00,9308500000.00,9401100000.00,9569000000.00,8977000000.00,8635900000.00,8215800000.00,8093400000.00,8108100000.00,7945300000.00,7805000000.00
总资产(元),17553500000.00,18518500000.00,14365600000.00,14522700000.00,14227900000.00,14017300000.00,14329500000.00,13833200000.00,12519400000.00,12943500000.00,12446100000.00,12868800000.00,12190700000.00,12351100000.00
流动负债：,,,,,,,,,,,,,,
短期债务及长期负债本期部分(元),349700000.00,349900000.00,-,-,25000000.00,-,400000000.00,399800000.00,548900000.00,399800000.00,-,549800000.00,-,-
应付账款及票据(元),869700000.00,852100000.00,782500000.00,702200000.00,686900000.00,662500000.00,730600000.00,675700000.00,662700000.00,648000000.00,684200000.00,603200000.00,601300000.00,547700000.00
其他应付款及应计费用(元),2261600000.00,3761100000.00,1934500000.00,1770600000.00,1730600000.00,1944900000.00,1999100000.00,1714500000.00,1695700000.00,1686000000.00,1760700000.00,1656900000.00,1685900000.00,1561700000.00
递延收入流动(元),-,-,-,-,-,-,-,-,-,-,-,-,1018500000.00,1230900000.00
流动负债其他项目(元),1706000000.00,1878000000.00,1503700000.00,1553700000.00,1557600000.00,1789900000.00,1417200000.00,1455200000.00,1443900000.00,1686300000.00,1208600000.00,1239300000.00,215500000.00,217200000.00
流动负债合计(元),5187000000.00,6841100000.00,4220700000.00,4026500000.00,4000100000.00,4397300000.00,4546900000.00,4245200000.00,4351200000.00,4420100000.00,3653500000.00,4049200000.00,3521200000.00,3557500000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),7648800000.00,5918500000.00,4687900000.00,4646700000.00,4616400000.00,3816900000.00,3891900000.00,3864000000.00,3071800000.00,2540000000.00,2972800000.00,2961300000.00,2658800000.00,2635800000.00
非流动负债合计(元),7648800000.00,5918500000.00,4687900000.00,4646700000.00,4616400000.00,3816900000.00,3891900000.00,3864000000.00,3071800000.00,2540000000.00,2972800000.00,2961300000.00,2658800000.00,2635800000.00
总负债(元),12835800000.00,12759600000.00,8908600000.00,8673200000.00,8616500000.00,8214200000.00,8438800000.00,8109200000.00,7423000000.00,6960100000.00,6626300000.00,7010500000.00,6180000000.00,6193300000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),1400000.00,1400000.00,1400000.00,1400000.00,1400000.00,1500000.00,1500000.00,1500000.00,1500000.00,1500000.00,1500000.00,1500000.00,1500000.00,800000.00
股本溢价(元),41100000.00,41100000.00,41100000.00,41100000.00,41100000.00,41100000.00,41100000.00,146900000.00,41100000.00,41100000.00,41100000.00,41100000.00,41100000.00,39400000.00
留存收益(元),4635800000.00,5834900000.00,5563200000.00,5986000000.00,5768900000.00,5996300000.00,5949800000.00,5702000000.00,5241200000.00,6164000000.00,5974800000.00,5945000000.00,6083000000.00,5832200000.00
累计其他全面收益(元),32900000.00,-125300000.00,-155600000.00,-185100000.00,-206400000.00,-242300000.00,-108400000.00,-128600000.00,-189200000.00,-225100000.00,-199400000.00,-131100000.00,-116900000.00,-97000000.00
归属于母公司股东权益(元),4711200000.00,5752100000.00,5450100000.00,5843400000.00,5605000000.00,5796600000.00,5884000000.00,5721800000.00,5094600000.00,5981500000.00,5818000000.00,5856500000.00,6008700000.00,5775400000.00
少数股东权益(元),6500000.00,6800000.00,6900000.00,6100000.00,6400000.00,6500000.00,6700000.00,2200000.00,1800000.00,1900000.00,1800000.00,1800000.00,2000000.00,382400000.00
股东权益合计(元),4717700000.00,5758900000.00,5457000000.00,5849500000.00,5611400000.00,5803100000.00,5890700000.00,5724000000.00,5096400000.00,5983400000.00,5819800000.00,5858300000.00,6010700000.00,6157800000.00
负债及股东权益合计(元),17553500000.00,18518500000.00,14365600000.00,14522700000.00,14227900000.00,14017300000.00,14329500000.00,13833200000.00,12519400000.00,12943500000.00,12446100000.00,12868800000.00,12190700000.00,12351100000.00
公告日期,2018-05-01,2018-01-31,2017-11-17,2017-08-01,2017-05-02,2017-01-31,2016-11-18,2016-07-27,2016-04-26,2016-01-26,2015-11-12,2015-07-28,2015-04-28,2015-01-27
会计准则,美国会计准则,,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2017-10-02,2017-10-01,2016-10-02,2016-10-03,2016-10-03,2016-10-01,2015-09-28,2015-10-01,2015-09-28,2015-09-28,2014-09-29,2014-10-01,2014-09-28,2014-09-29
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0930,0930,1001,1001,1002,1002,1002,1002,0925,0925,0927,0928,0928,0928
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),2909900000.00,2250100000.00,2884900000.00,2095500000.00,1404600000.00,751500000.00,2818900000.00,2017200000.00,1262600000.00,687700000.00,2759300000.00,2106800000.00,1480400000.00,984500000.00
折旧及摊销(元),617600000.00,272400000.00,1067100000.00,796400000.00,529800000.00,263200000.00,1030100000.00,768200000.00,509300000.00,247300000.00,933800000.00,693300000.00,444200000.00,216300000.00
基于股票的补偿费(元),116500000.00,61400000.00,98500000.00,79300000.00,52200000.00,20900000.00,95300000.00,47500000.00,19300000.00,-9900000.00,77400000.00,58300000.00,26200000.00,-1400000.00
减值及拨备(元),28500000.00,-,87200000.00,87200000.00,-,-,-,-,-,-,-,-,-,-
递延所得税(元),732600000.00,744800000.00,95100000.00,75100000.00,62800000.00,56400000.00,265700000.00,344700000.00,260200000.00,225200000.00,21200000.00,44100000.00,60000000.00,100000000.00
资产处置损益(元),-,-,-93500000.00,-9600000.00,-,-,-6100000.00,-30700000.00,-600000.00,-,-394300000.00,-390600000.00,-390600000.00,-390600000.00
权益性投资损益(元),36900000.00,15100000.00,-123600000.00,-76900000.00,-44900000.00,-26200000.00,-26900000.00,-26100000.00,6300000.00,22300000.00,-42000000.00,-39000000.00,-19000000.00,200000.00
经营业务调整其他项目(元),-1868900000.00,-1824200000.00,68900000.00,28200000.00,-11400000.00,9300000.00,45100000.00,40800000.00,24500000.00,17400000.00,114900000.00,41800000.00,27700000.00,8500000.00
存货的减少(增加)(元),10300000.00,71200000.00,14000000.00,19100000.00,45400000.00,146400000.00,-67500000.00,-15700000.00,15300000.00,60600000.00,-207900000.00,-64300000.00,39600000.00,92000000.00
待摊费用及其他资产(元),-489300000.00,-145800000.00,-4700000.00,-124600000.00,-211600000.00,-,-,-,-23800000.00,-11600000.00,49500000.00,23100000.00,32800000.00,14900000.00
