zichanfuzhai
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,
现金及现金等价物(元),1509451000000.00,1586329000000.00,1328925000000.00,1000832000000.00,984165000000.00,960142000000.00,771676000000.00,525181000000.00,631074000000.00,983612000000.00,1090637000000.00,1010120000000.00,628087000000.00
应收账款及票据(元),1123475000000.00,1012779000000.00,1473777000000.00,1174079000000.00,1026677000000.00,953811000000.00,1307844000000.00,942010000000.00,869415000000.00,853592000000.00,1210977000000.00,1008684000000.00,1005274000000.00
预付款项及其他应收款流动(元),749283000000.00,707450000000.00,782744000000.00,875483000000.00,821178000000.00,749493000000.00,775248000000.00,758490000000.00,747729000000.00,689040000000.00,787407000000.00,801921000000.00,793235000000.00
存货(元),692633000000.00,692937000000.00,753658000000.00,930657000000.00,728124000000.00,640835000000.00,681138000000.00,862412000000.00,717930000000.00,683146000000.00,741727000000.00,948171000000.00,780356000000.00
递延所得税资产流动(元),-,-,-,-,-,-,35710000000.00,50205000000.00,38744000000.00,40940000000.00,52061000000.00,50675000000.00,49559000000.00
短期投资(元),1239131000000.00,1176601000000.00,1221687000000.00,1139572000000.00,1098894000000.00,1051441000000.00,1028046000000.00,925304000000.00,897494000000.00,946397000000.00,957809000000.00,889623000000.00,971231000000.00
流动资产其他项目(元),-23668000000.00,-,-,-,-,-,-,-,-,-,-,-,-
流动资产合计(元),5290305000000.00,5176096000000.00,5560791000000.00,5120623000000.00,4659038000000.00,4355722000000.00,4599662000000.00,4063602000000.00,3902386000000.00,4196727000000.00,4840618000000.00,4709194000000.00,4227742000000.00
非流动资产：,,,,,,,,,,,,,
物业、厂房及设备(元),2489814000000.00,2454156000000.00,2541035000000.00,2523627000000.00,2519213000000.00,2509233000000.00,2681843000000.00,2429754000000.00,2409850000000.00,2451370000000.00,2463258000000.00,2502530000000.00,2483748000000.00
在建工程(元),37536000000.00,38295000000.00,45041000000.00,34482000000.00,35934000000.00,28779000000.00,-,50818000000.00,57891000000.00,69286000000.00,85357000000.00,61013000000.00,53215000000.00
土地使用权(元),84692000000.00,84358000000.00,114967000000.00,114844000000.00,117180000000.00,117293000000.00,-,117238000000.00,120204000000.00,121707000000.00,122619000000.00,123027000000.00,124084000000.00
无形资产(元),901535000000.00,854813000000.00,936810000000.00,942707000000.00,928345000000.00,921113000000.00,956647000000.00,887076000000.00,886418000000.00,916982000000.00,989625000000.00,1020467000000.00,1004025000000.00
商誉(元),541814000000.00,530492000000.00,552336000000.00,540257000000.00,525920000000.00,522538000000.00,503218000000.00,564803000000.00,567870000000.00,606290000000.00,612614000000.00,610738000000.00,608945000000.00
递延所得税资产非流动(元),94752000000.00,96772000000.00,91452000000.00,76431000000.00,75775000000.00,98958000000.00,102480000000.00,97137000000.00,96533000000.00,97639000000.00,78567000000.00,81847000000.00,87769000000.00
长期投资(元),10925029000000.00,10598669000000.00,10401319000000.00,10439027000000.00,10141062000000.00,9962422000000.00,9935865000000.00,9491540000000.00,9208539000000.00,9069209000000.00,8806908000000.00,8640342000000.00,8440738000000.00
非流动资产其他项目(元),-802136000000.00,-768113000000.00,-823075000000.00,-994892000000.00,-864248000000.00,-855502000000.00,-1084641000000.00,-897597000000.00,-867946000000.00,-855820000000.00,-892843000000.00,-917980000000.00,-938900000000.00
非流动资产合计(元),14273036000000.00,13889442000000.00,13859885000000.00,13676483000000.00,13479181000000.00,13304834000000.00,13095412000000.00,12740769000000.00,12479359000000.00,12476663000000.00,12266105000000.00,12121984000000.00,11863624000000.00
总资产(元),19563341000000.00,19065538000000.00,19420676000000.00,18797106000000.00,18138219000000.00,17660556000000.00,17695074000000.00,16804371000000.00,16381745000000.00,16673390000000.00,17106723000000.00,16831178000000.00,16091366000000.00
流动负债：,,,,,,,,,,,,,
客户存款及垫款(元),2206087000000.00,2159246000000.00,2159747000000.00,2121162000000.00,2103944000000.00,2071091000000.00,2081101000000.00,1980935000000.00,1900796000000.00,1912673000000.00,1861127000000.00,1790920000000.00,1866583000000.00
短期债务及长期负债本期部分(元),748461000000.00,721615000000.00,783089000000.00,747707000000.00,738367000000.00,518079000000.00,535114000000.00,411878000000.00,265305000000.00,336940000000.00,365580000000.00,422587000000.00,266193000000.00
应付账款及票据(元),1998538000000.00,1982983000000.00,2279792000000.00,2318678000000.00,1989609000000.00,1934658000000.00,2043982000000.00,1914943000000.00,1804146000000.00,1918079000000.00,2167204000000.00,2255409000000.00,2067686000000.00
