zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),2544641000.00,1601028000.00,1638413000.00,1586558000.00,1288323000.00,1191566000.00,988598000.00,1011957000.00,947710000.00,1027661000.00,911471000.00,876432000.00,883307000.00,1607405000.00
应收账款及票据(元),614944000.00,611840000.00,664268000.00,509854000.00,524064000.00,501153000.00,650650000.00,590108000.00,556781000.00,576800000.00,638694000.00,536788000.00,475204000.00,415479000.00
预付款项及其他应收款流动(元),264445000.00,268564000.00,254514000.00,234472000.00,236126000.00,250502000.00,226967000.00,224122000.00,237100000.00,235699000.00,247750000.00,237577000.00,234653000.00,221404000.00
短期投资(元),3116474000.00,2927803000.00,2764689000.00,2671538000.00,2791589000.00,2752111000.00,2785981000.00,2652226000.00,2640448000.00,2548749000.00,2583877000.00,2612762000.00,2677263000.00,1949803000.00
流动资产合计(元),6540504000.00,5409235000.00,5321884000.00,5002422000.00,4840102000.00,4695332000.00,4652196000.00,4478413000.00,4382039000.00,4388909000.00,4381792000.00,4263559000.00,4270427000.00,4194091000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),914795000.00,801912000.00,773715000.00,753317000.00,781272000.00,782421000.00,783901000.00,803305000.00,758837000.00,746713000.00,735299000.00,699502000.00,651017000.00,599751000.00
无形资产(元),49190000.00,44794000.00,49654000.00,54560000.00,65291000.00,79393000.00,95334000.00,111983000.00,127770000.00,128274000.00,141015000.00,147286000.00,156352000.00,99317000.00
商誉(元),1228993000.00,1190932000.00,1188935000.00,1187880000.00,1186189000.00,1183685000.00,1185315000.00,1184401000.00,1186303000.00,1122533000.00,1122728000.00,1123121000.00,1102193000.00,702699000.00
非流动资产其他项目(元),127748000.00,92568000.00,78289000.00,77610000.00,90244000.00,151911000.00,153619000.00,164844000.00,161865000.00,89739000.00,61605000.00,55596000.00,50345000.00,47559000.00
非流动资产合计(元),2320726000.00,2130206000.00,2090593000.00,2073367000.00,2122996000.00,2197410000.00,2218169000.00,2264533000.00,2234775000.00,2087259000.00,2060647000.00,2025505000.00,1959907000.00,1449326000.00
总资产(元),8861230000.00,7539441000.00,7412477000.00,7075789000.00,6963098000.00,6892742000.00,6870365000.00,6742946000.00,6616814000.00,6476168000.00,6442439000.00,6289064000.00,6230334000.00,5643417000.00
流动负债：,,,,,,,,,,,,,,
融资租赁负债流动(元),82058000.00,86571000.00,84976000.00,81938000.00,80133000.00,80249000.00,80848000.00,82162000.00,81035000.00,81692000.00,88166000.00,93621000.00,98606000.00,105948000.00
应付账款及票据(元),161300000.00,137968000.00,170969000.00,103112000.00,107398000.00,86176000.00,122236000.00,104296000.00,91415000.00,90353000.00,134081000.00,40100000.00,51614000.00,48384000.00
其他应付款及应计费用(元),351061000.00,304115000.00,327333000.00,296152000.00,307047000.00,322567000.00,380937000.00,284140000.00,277188000.00,250720000.00,283792000.00,294057000.00,274621000.00,239963000.00
流动负债合计(元),594419000.00,528654000.00,583278000.00,481202000.00,494578000.00,488992000.00,584021000.00,470598000.00,449638000.00,422765000.00,506039000.00,427778000.00,424841000.00,394295000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),64703000.00,62782000.00,59973000.00,62769000.00,64499000.00,66911000.00,68049000.00,62763000.00,62861000.00,51079000.00,50585000.00,45672000.00,44264000.00,41142000.00
融资租赁负债非流动(元),53184000.00,71970000.00,81308000.00,85622000.00,83410000.00,77780000.00,66837000.00,54389000.00,43253000.00,45478000.00,59695000.00,73525000.00,83381000.00,99693000.00
衍生工具负债非流动(元),2560943000.00,1650064000.00,1627460000.00,1604932000.00,1582468000.00,1560330000.00,1538967000.00,1517673000.00,1496440000.00,1475513000.00,1455095000.00,1434968000.00,1414896000.00,1395113000.00
递延所得税负债非流动(元),17077000.00,15535000.00,13240000.00,11858000.00,9247000.00,8353000.00,7556000.00,8191000.00,7769000.00,3847000.00,2978000.00,32958000.00,31768000.00,26077000.00
非流动负债合计(元),2695907000.00,1800351000.00,1781981000.00,1765181000.00,1739624000.00,1713374000.00,1681409000.00,1643016000.00,1610323000.00,1575917000.00,1568353000.00,1587123000.00,1574309000.00,1562025000.00
总负债(元),3290326000.00,2329005000.00,2365259000.00,2246383000.00,2234202000.00,2202366000.00,2265430000.00,2113614000.00,2059961000.00,1998682000.00,2074392000.00,2014901000.00,1999150000.00,1956320000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00
股本溢价(元),8125889000.00,7831429000.00,7750522000.00,7628966000.00,7517433000.00,7376956000.00,7224534000.00,7058933000.00,6881778000.00,6681181000.00,6507087000.00,6311697000.00,6135566000.00,5464938000.00
留存收益(元),-2498555000.00,-2598672000.00,-2671729000.00,-2762808000.00,-2741713000.00,-2625225000.00,-2550350000.00,-2383296000.00,-2280425000.00,-2173208000.00,-2093477000.00,-2003241000.00,-1871551000.00,-1734888000.00
累计其他全面收益(元),-56434000.00,-22325000.00,-31579000.00,-36756000.00,-46828000.00,-61359000.00,-69253000.00,-46309000.00,-44503000.00,-30490000.00,-45566000.00,-34296000.00,-32834000.00,-42956000.00
归属于母公司股东权益(元),5570904000.00,5210436000.00,5047218000.00,4829406000.00,4728896000.00,4690376000.00,4604935000.00,4629332000.00,4556853000.00,4477486000.00,4368047000.00,4274163000.00,4231184000.00,3687097000.00
股东权益合计(元),5570904000.00,5210436000.00,5047218000.00,4829406000.00,4728896000.00,4690376000.00,4604935000.00,4629332000.00,4556853000.00,4477486000.00,4368047000.00,4274163000.00,4231184000.00,3687097000.00
负债及股东权益合计(元),8861230000.00,7539441000.00,7412477000.00,7075789000.00,6963098000.00,6892742000.00,6870365000.00,6742946000.00,6616814000.00,6476168000.00,6442439000.00,6289064000.00,6230334000.00,5643417000.00
公告日期,2018-07-30,2018-05-03,2018-02-23,2017-11-01,2017-07-27,2017-05-02,2017-02-27,2016-11-01,2016-08-01,2016-05-03,2016-02-29,2015-11-06,2015-08-07,2015-05-11
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),161114000.00,60997000.00,-108063000.00,-199142000.00,-178047000.00,-61559000.00,-456873000.00,-289819000.00,-186948000.00,-79731000.00,-521031000.00,-430795000.00,-299105000.00,-162442000.00
折旧及摊销(元),246859000.00,117568000.00,475928000.00,362991000.00,245144000.00,122040000.00,476832000.00,338372000.00,218844000.00,106991000.00,382008000.00,276516000.00,177557000.00,84502000.00
基于股票的补偿费(元),152735000.00,73266000.00,433806000.00,331352000.00,230393000.00,116997000.00,615233000.00,477138000.00,318611000.00,150916000.00,678924000.00,523869000.00,357948000.00,182805000.00
减值及拨备(元),885000.00,259000.00,586000.00,26000.00,1355000.00,1318000.00,3958000.00,-,-,-,5765000.00,360000.00,3345000.00,2792000.00
递延所得税(元),-42285000.00,-670000.00,-6415000.00,-1343000.00,-768000.00,-240000.00,-4775000.00,58000.00,45000.00,86000.00,-28125000.00,-24220000.00,-24306000.00,-1942000.00
经营业务调整其他项目(元),-944000.00,93000.00,67606000.00,61161000.00,50146000.00,-9533000.00,46084000.00,11627000.00,7841000.00,6447000.00,1438000.00,5327000.00,-5197000.00,-6411000.00
预付款项及其他应收款减少(增加)(元),-,-,-,4353000.00,-1656000.00,-24000000.00,-,-,-,-,-,-,-,-
待摊费用及其他资产(元),-20302000.00,-22892000.00,-13974000.00,-,-,-,7101000.00,2331000.00,-16985000.00,-12819000.00,-50170000.00,-12684000.00,-7861000.00,-2640000.00
应收账款及票据减少(增加)(元),46968000.00,61166000.00,2668000.00,155598000.00,133026000.00,153348000.00,-22969000.00,51191000.00,86213000.00,65756000.00,-216585000.00,-105486000.00,-43944000.00,-4159000.00
应付账款及票据增加(减少)(元),-16828000.00,-26948000.00,8371000.00,-14458000.00,-13616000.00,-36950000.00,-7112000.00,-26291000.00,-37085000.00,-37033000.00,76355000.00,-9511000.00,-11437000.00,-1714000.00
应计费用及其他负债(元),35611000.00,-20166000.00,-29304000.00,-67436000.00,-72822000.00,-57973000.00,105576000.00,1905000.00,-13216000.00,-37849000.00,54487000.00,60452000.00,35160000.00,1390000.00
经营活动产生的现金流量净额(元),563813000.00,242673000.00,831209000.00,633102000.00,393155000.00,203448000.00,763055000.00,566512000.00,377320000.00,162764000.00,383066000.00,283828000.00,182160000.00,92181000.00
投资活动产生的现金流量：,,,,,,,,,,,,,,
购买固定资产支付的现金(元),-289541000.00,-93091000.00,-160742000.00,-117800000.00,-83217000.00,-39881000.00,-218657000.00,-170552000.00,-98235000.00,-59148000.00,-347280000.00,-266816000.00,-160340000.00,-67735000.00
