zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
流动资产：,,,,,,,,,,,,,,
现金及现金等价物(元),314829000.00,282809000.00,1000953000.00,186651000.00,224080000.00,225734000.00,364766000.00,181841000.00,129942000.00,243298000.00,237440000.00,203776000.00,218633000.00,284372000.00
应收账款及票据(元),261456000.00,204420000.00,170100000.00,158215000.00,134673000.00,129914000.00,61655000.00,116341000.00,114585000.00,90147000.00,66178000.00,102543000.00,127548000.00,133262000.00
应收关联方款项(元),45504000.00,67635000.00,16356000.00,15068000.00,-,4962000.00,72964000.00,-,-,-,54052000.00,3878000.00,-,2380000.00
预付款项及其他应收款流动(元),334929000.00,74555000.00,69233000.00,108583000.00,131845000.00,127813000.00,66664000.00,51970000.00,48191000.00,58329000.00,42295000.00,37902000.00,37326000.00,22154000.00
短期投资(元),1255353000.00,1632629000.00,791730000.00,550305000.00,385105000.00,218469000.00,31188000.00,297588000.00,266575000.00,130134000.00,98439000.00,149521000.00,118471000.00,168169000.00
流动资产合计(元),2212071000.00,2262048000.00,2048372000.00,1018822000.00,875703000.00,706892000.00,597237000.00,647740000.00,559293000.00,521908000.00,498404000.00,497620000.00,501978000.00,610337000.00
非流动资产：,,,,,,,,,,,,,,
物业、厂房及设备(元),36346000.00,38272000.00,33793000.00,28448000.00,25924000.00,23935000.00,22816000.00,19947000.00,20312000.00,22570000.00,22850000.00,24051000.00,26201000.00,29291000.00
无形资产(元),-,-,-,-,-,-,1100000.00,-,-,-,1966000.00,-,-,-
商誉(元),13369000.00,14227000.00,13937000.00,11552000.00,11473000.00,11453000.00,10266000.00,11986000.00,12199000.00,12724000.00,11117000.00,14020000.00,14430000.00,14812000.00
长期投资(元),567906000.00,453953000.00,452337000.00,429204000.00,419711000.00,420674000.00,399933000.00,284481000.00,293713000.00,299794000.00,294679000.00,225839000.00,227200000.00,46454000.00
非流动资产其他项目(元),46710000.00,14314000.00,13380000.00,8765000.00,10553000.00,7588000.00,5592000.00,7691000.00,5242000.00,5594000.00,10173000.00,24349000.00,6846000.00,3023000.00
非流动资产合计(元),664331000.00,520766000.00,513447000.00,477969000.00,467661000.00,463650000.00,439707000.00,324105000.00,331466000.00,340682000.00,340785000.00,288259000.00,274677000.00,93580000.00
总资产(元),2876402000.00,2782814000.00,2561819000.00,1496791000.00,1343364000.00,1170542000.00,1036944000.00,971845000.00,890759000.00,862590000.00,839189000.00,785879000.00,776655000.00,703917000.00
流动负债：,,,,,,,,,,,,,,
应付账款及票据(元),99245000.00,93846000.00,134950000.00,114766000.00,86565000.00,60323000.00,48997000.00,42061000.00,30461000.00,42874000.00,2532000.00,2276000.00,308000.00,2261000.00
应付关联方款项流动(元),-,-,-,-,2885000.00,-,-,12434000.00,17617000.00,26061000.00,167152000.00,-,11277000.00,-
应付税项流动(元),54039000.00,91661000.00,-,-,-,-,-,-,-,-,-,-,-,-
其他应付款及应计费用(元),302748000.00,281232000.00,268615000.00,251017000.00,281811000.00,232993000.00,180142000.00,155446000.00,134429000.00,106230000.00,-,146967000.00,144513000.00,108715000.00
递延收入流动(元),101183000.00,100239000.00,81311000.00,90773000.00,58971000.00,57056000.00,48964000.00,48940000.00,35743000.00,37357000.00,39091000.00,31933000.00,23915000.00,21162000.00
流动负债合计(元),557215000.00,566978000.00,484876000.00,456556000.00,430232000.00,350372000.00,278103000.00,258881000.00,218250000.00,212522000.00,208775000.00,181176000.00,180013000.00,132138000.00
非流动负债：,,,,,,,,,,,,,,
长期债务(元),1861000.00,2092000.00,2166000.00,1115000.00,1234000.00,1356000.00,817000.00,1925000.00,2065000.00,2238000.00,1338000.00,579000.00,686000.00,780000.00
递延收入非流动(元),-,-,-,-,-,-,666000.00,-,-,-,1047000.00,-,-,-
非流动负债其他项目(元),882054000.00,881018000.00,879983000.00,-,-,-,-,-,-,-,-,-,-,-
非流动负债合计(元),883915000.00,883110000.00,882149000.00,1115000.00,1234000.00,1356000.00,1483000.00,1925000.00,2065000.00,2238000.00,2385000.00,579000.00,686000.00,780000.00
总负债(元),1441130000.00,1450088000.00,1367025000.00,457671000.00,431466000.00,351728000.00,279586000.00,260806000.00,220315000.00,214760000.00,211160000.00,181755000.00,180699000.00,132918000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),-,-,-,-,-,-,55000.00,-,-,-,53000.00,-,-,-
股本溢价(元),-,-,-,-,-,-,979805000.00,-,-,-,938922000.00,-,-,-
留存收益(元),-,-,-,-,-,-,-199641000.00,-,-,-,-307668000.00,-,-,-
累计其他全面收益(元),-,-,-,-,-,-,-26994000.00,-,-,-,-10635000.00,-,-,-
归属于母公司股东权益其他项目(元),-,-,-,-,-,-,-,-,-,640374000.00,-,-,-,-
归属于母公司股东权益(元),1433897000.00,1330819000.00,1192587000.00,1035893000.00,908407000.00,814949000.00,753225000.00,706626000.00,664589000.00,640374000.00,620672000.00,596357000.00,587761000.00,569893000.00
少数股东权益(元),1375000.00,1907000.00,2207000.00,3227000.00,3491000.00,3865000.00,4133000.00,4413000.00,5855000.00,7456000.00,7357000.00,7767000.00,8195000.00,1106000.00
股东权益合计(元),1435272000.00,1332726000.00,1194794000.00,1039120000.00,911898000.00,818814000.00,757358000.00,711039000.00,670444000.00,647830000.00,628029000.00,604124000.00,595956000.00,570999000.00
负债及股东权益合计(元),2876402000.00,2782814000.00,2561819000.00,1496791000.00,1343364000.00,1170542000.00,1036944000.00,971845000.00,890759000.00,862590000.00,839189000.00,785879000.00,776655000.00,703917000.00
公告日期,2018-08-08,2018-05-09,2018-02-13,2017-11-08,2017-08-09,2017-05-16,2017-04-27,2016-11-21,2016-08-08,2016-05-11,2016-04-28,2015-11-18,2015-08-18,2015-05-14
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2017年年报,2017年中报,2016年年报,2016年中报,2015年年报

起始日期,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,
净利润(元),350365000.00,119762000.00,105664000.00,31581000.00,34189000.00
折旧及摊销(元),16018000.00,6922000.00,13982000.00,7018000.00,20950000.00
基于股票的补偿费(元),48037000.00,22626000.00,36902000.00,15795000.00,26399000.00
减值及拨备(元),10225000.00,-,7787000.00,-,7637000.00
递延所得税(元),-1503000.00,-59000.00,-4630000.00,-129000.00,-977000.00
资产处置损益(元),-99000.00,-224000.00,-137000.00,-267000.00,-424000.00
投资损益(元),-,1384000.00,40161000.00,4842000.00,-
权益性投资损益(元),-763000.00,-,130000.00,-,6000.00
经营业务调整其他项目(元),-,4086000.00,-,1252000.00,-
待摊费用及其他资产(元),-28699000.00,-9220000.00,-18393000.00,-11475000.00,1183000.00
应付账款及票据增加(减少)(元),84444000.00,36157000.00,8915000.00,-8187000.00,-
应收关联方款项减少(增加)(元),-59524000.00,-22705000.00,-978000.00,4393000.00,348000.00
应付关联方款项增加(减少)(元),209000.00,19450000.00,-30753000.00,5429000.00,12537000.00
递延收入(元),31967000.00,9817000.00,9492000.00,-3539000.00,17753000.00
应计费用及其他负债(元),88474000.00,41670000.00,68102000.00,17388000.00,62370000.00
经营活动产生的现金流量净额(元),539151000.00,229666000.00,236244000.00,64101000.00,181971000.00
投资活动产生的现金流量：,,,,,
购买固定资产支付的现金(元),-20454000.00,-6933000.00,-13253000.00,-5527000.00,-10858000.00
处置固定资产收到的现金(元),107000.00,-,-,-,-
购买无形资产及其他资产支付的现金(元),-1439558000.00,-347676000.00,-314363000.00,-169625000.00,-149374000.00
处置无形资产及其他资产收到的现金(元),698703000.00,1237000.00,385993000.00,12108000.00,222705000.00
贷款偿还(元),62252000.00,-,-,-,-
投资支付现金(元),-59534000.00,-59534000.00,-,-,-
收购附属公司(元),-2298000.00,-,-,-,-22025000.00
投资业务其他项目(元),-54640000.00,-29338000.00,-155122000.00,-7425000.00,-268758000.00
投资活动产生的现金流量净额(元),-815422000.00,-442244000.00,-96745000.00,-170469000.00,-228310000.00
融资活动产生的现金流量：,,,,,
偿还借款(元),-60000000.00,-,-,-,-2863000.00
行使股票期权所得(元),2285000.00,1449000.00,4183000.00,2092000.00,7822000.00
现金及权益增加(减少)(元),-,-,-1148000.00,-,-
筹资业务其他项目(元),941293000.00,62000000.00,-,-,-
融资活动产生的现金流量净额(元),883578000.00,63449000.00,3035000.00,2092000.00,4959000.00
汇率变动影响(元),28880000.00,8443000.00,-15208000.00,-3222000.00,-6045000.00
现金及现金等价物期初余额(元),364766000.00,364766000.00,237440000.00,237440000.00,284865000.00
现金及现金等价物增加(减少)额(元),636187000.00,-140686000.00,127326000.00,-107498000.00,-47425000.00
现金及现金等价物期末余额(元),1000953000.00,224080000.00,364766000.00,129942000.00,237440000.00
利息支付(元),-1537000.00,-,-,-,-
所得税支付(元),-8168000.00,-7988000.00,-3386000.00,-3383000.00,-311000.00
补充资料其他项目(元),-,-,-,-,2532000.00
非现金活动(元),3667000.00,3569000.00,2158000.00,724000.00,-
公告日期,2018-04-26,2017-10-24,2017-04-27,2017-10-24,2016-04-28
会计准则,美国会计准则,,,,
审计意见,,,,,
核数师,,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

