zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
资产：,,,,,,,,,,,,,,
出售联邦基金及买入返售证券(元),80184000000.00,73550000000.00,272605000000.00,273105000000.00,264706000000.00,308747000000.00,266038000000.00,298325000000.00,295521000000.00,300547000000.00,270130000000.00,254811000000.00,232247000000.00,291317000000.00
应计利息(元),142999000000.00,184250000000.00,-,-,-,-,-,-,-,-,-,-,-,-
以公允价值计量的金融资产(元),15411000000.00,-,105954000000.00,101742000000.00,96396000000.00,93534000000.00,74397000000.00,85946000000.00,90489000000.00,84491000000.00,89617000000.00,73894000000.00,92897000000.00,91017000000.00
可供出售投资(元),276786000000.00,283123000000.00,289313000000.00,284790000000.00,282475000000.00,312094000000.00,322862000000.00,291591000000.00,253006000000.00,255551000000.00,267358000000.00,266406000000.00,260667000000.00,257603000000.00
持有至到期投资(元),144206000000.00,141446000000.00,139335000000.00,142423000000.00,140392000000.00,108030000000.00,99583000000.00,99241000000.00,100420000000.00,79348000000.00,80197000000.00,-,80102000000.00,67133000000.00
证券投及其他投资(元),-,-,-,-,-,-,-,-,-,-,-,1003741000000.00,-,-
贷款及租赁(元),1067372000000.00,1066109000000.00,956770000000.00,951873000000.00,957423000000.00,958405000000.00,967604000000.00,961326000000.00,957157000000.00,947258000000.00,-,-,888459000000.00,861231000000.00
备抵贷款及租赁损失(元),-10193000000.00,-10373000000.00,-11004000000.00,-11078000000.00,-11073000000.00,-11168000000.00,-11419000000.00,-11583000000.00,-11664000000.00,-11621000000.00,-,-11659000000.00,-11754000000.00,-12176000000.00
物业、厂房及设备(元),8882000000.00,8828000000.00,8847000000.00,8449000000.00,8403000000.00,8320000000.00,8333000000.00,8322000000.00,8289000000.00,8349000000.00,8704000000.00,-,8692000000.00,8696000000.00
持作出售的资产(元),24917000000.00,21525000000.00,20178000000.00,20166000000.00,24963000000.00,18075000000.00,26389000000.00,27606000000.00,24150000000.00,18321000000.00,924896000000.00,430000000.00,26068000000.00,24287000000.00
商誉(元),26429000000.00,26445000000.00,26587000000.00,26581000000.00,26573000000.00,26666000000.00,26693000000.00,26688000000.00,26963000000.00,27003000000.00,25529000000.00,25684000000.00,25705000000.00,25705000000.00
折旧及摊销(元),1407000000.00,-,1424000000.00,1406000000.00,1399000000.00,1402000000.00,-,-,1353000000.00,1359000000.00,1308000000.00,-,1262000000.00,1252000000.00
抵押服务权(元),-,16452000000.00,-,-,-,-,14365000000.00,11788000000.00,-,-,-,21855000000.00,-,-
资产其他项目(元),80850000000.00,85888000000.00,118381000000.00,116276000000.00,118966000000.00,107761000000.00,114541000000.00,123587000000.00,123144000000.00,119492000000.00,100782000000.00,98708000000.00,96585000000.00,101879000000.00
总资产(元),1879700000000.00,1915388000000.00,1951757000000.00,1934939000000.00,1930871000000.00,1951564000000.00,1930115000000.00,1942124000000.00,1889235000000.00,1849182000000.00,1787632000000.00,1751265000000.00,1720617000000.00,1737737000000.00
负债：,,,,,,,,,,,,,,
客户存款(元),1268864000000.00,1303689000000.00,1335991000000.00,1306706000000.00,1305830000000.00,1325444000000.00,1306079000000.00,1275894000000.00,1245473000000.00,1241490000000.00,1223312000000.00,1202179000000.00,1185828000000.00,1196663000000.00
应计费用和其他费用(元),72480000000.00,72597000000.00,70615000000.00,79208000000.00,73035000000.00,59831000000.00,57189000000.00,82769000000.00,76916000000.00,73597000000.00,73365000000.00,81700000000.00,81399000000.00,90121000000.00
借款(元),323780000000.00,324509000000.00,328276000000.00,332704000000.00,334225000000.00,351339000000.00,351858000000.00,379503000000.00,364185000000.00,335591000000.00,297064000000.00,273343000000.00,262714000000.00,260989000000.00
总负债(元),1673631000000.00,1708678000000.00,1743678000000.00,1728115000000.00,1724726000000.00,1749075000000.00,1729618000000.00,1738166000000.00,1686574000000.00,1650678000000.00,1593741000000.00,1557222000000.00,1529941000000.00,1547773000000.00
股东权益：,,,,,,,,,,,,,,
普通股(元),9136000000.00,9136000000.00,9136000000.00,9136000000.00,9136000000.00,9136000000.00,9136000000.00,9136000000.00,9136000000.00,9136000000.00,9136000000.00,9136000000.00,9136000000.00,9136000000.00
优先股(元),25737000000.00,26227000000.00,25358000000.00,25576000000.00,25785000000.00,25501000000.00,24551000000.00,24594000000.00,24830000000.00,24051000000.00,22214000000.00,22424000000.00,21649000000.00,21998000000.00
库存股(元),-32620000000.00,-31246000000.00,-29892000000.00,-27772000000.00,-25675000000.00,-24030000000.00,-22713000000.00,-22247000000.00,-21068000000.00,-19687000000.00,-18867000000.00,-17899000000.00,-15707000000.00,-14556000000.00
留存收益(元),150803000000.00,148728000000.00,145263000000.00,141761000000.00,139524000000.00,136032000000.00,133075000000.00,130288000000.00,127076000000.00,123891000000.00,120866000000.00,117593000000.00,114093000000.00,110676000000.00
其他储备(元),59644000000.00,60399000000.00,60893000000.00,60759000000.00,60689000000.00,60585000000.00,60234000000.00,60685000000.00,60691000000.00,60602000000.00,60714000000.00,60998000000.00,60154000000.00,59980000000.00
归属于母公司股东权益其他项目(元),-2051000000.00,-2571000000.00,-1678000000.00,-1904000000.00,-2119000000.00,-2546000000.00,-1565000000.00,-1612000000.00,-1868000000.00,-2271000000.00,-1362000000.00,-1590000000.00,-1835000000.00,-2215000000.00
归属于母公司股东权益(元),205188000000.00,205752000000.00,206936000000.00,205929000000.00,205230000000.00,201500000000.00,199581000000.00,203028000000.00,201745000000.00,197496000000.00,192998000000.00,193051000000.00,189558000000.00,188796000000.00
少数股东权益(元),881000000.00,958000000.00,1143000000.00,895000000.00,915000000.00,989000000.00,916000000.00,930000000.00,916000000.00,1008000000.00,893000000.00,992000000.00,1118000000.00,1168000000.00
股东权益合计(元),206069000000.00,206710000000.00,208079000000.00,206824000000.00,206145000000.00,202489000000.00,200497000000.00,203958000000.00,202661000000.00,198504000000.00,193891000000.00,194043000000.00,190676000000.00,189964000000.00
负债及股东权益合计(元),1879700000000.00,1915388000000.00,1951757000000.00,1934939000000.00,1930871000000.00,1951564000000.00,1930115000000.00,1942124000000.00,1889235000000.00,1849182000000.00,1787632000000.00,1751265000000.00,1720617000000.00,1737737000000.00
公告日期,2018-07-13,2018-04-13,2018-01-12,2017-10-13,2017-07-14,2017-05-05,2017-03-01,2016-11-03,2016-08-03,2016-05-04,2016-02-24,2015-11-04,2015-08-05,2015-05-06
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

xianjinliuliang
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
经营活动产生的现金流量：,,,,,,,,,,,,,,
净利润(元),10636000000.00,5327000000.00,22460000000.00,16050000000.00,11396000000.00,5548000000.00,22045000000.00,16741000000.00,11087000000.00,5514000000.00,23276000000.00,17653000000.00,11670000000.00,5884000000.00
折旧及摊销(元),2835000000.00,1431000000.00,5406000000.00,3794000000.00,2478000000.00,1237000000.00,4970000000.00,3598000000.00,2233000000.00,1295000000.00,3288000000.00,2396000000.00,1558000000.00,727000000.00
基于股票的补偿费(元),1286000000.00,792000000.00,2046000000.00,1595000000.00,1186000000.00,740000000.00,1662000000.00,1265000000.00,998000000.00,562000000.00,1505000000.00,1094000000.00,769000000.00,354000000.00
减值及拨备(元),643000000.00,191000000.00,2528000000.00,1877000000.00,1160000000.00,605000000.00,3770000000.00,2965000000.00,2160000000.00,1086000000.00,2442000000.00,1611000000.00,908000000.00,608000000.00
资产处置损益(元),-20050000000.00,31236000000.00,135054000000.00,97116000000.00,-,25270000000.00,127488000000.00,91873000000.00,59821000000.00,29600000000.00,133173000000.00,101062000000.00,67614000000.00,31249000000.00
重估盈余(元),-787000000.00,-788000000.00,886000000.00,828000000.00,567000000.00,8000000.00,139000000.00,1695000000.00,1664000000.00,883000000.00,62000000.00,585000000.00,-90000000.00,725000000.00
经营业务调整其他项目(元),-6285000000.00,-40769000000.00,-182294000000.00,-133704000000.00,-32287000000.00,-38636000000.00,-211400000000.00,-144092000000.00,-84711000000.00,-35254000000.00,-184762000000.00,-142380000000.00,-97258000000.00,-43929000000.00
待摊费用及其他资产(元),7547000000.00,3331000000.00,-1174000000.00,2115000000.00,1485000000.00,3553000000.00,-14232000000.00,-16091000000.00,-15589000000.00,-14228000000.00,-1764000000.00,-562000000.00,2284000000.00,-2053000000.00
应付税项(元),1118000000.00,-,-,1748000000.00,1281000000.00,1007000000.00,1793000000.00,-1617000000.00,-2286000000.00,-1240000000.00,-2265000000.00,-2421000000.00,-364000000.00,-435000000.00
应计费用及其他负债(元),520000000.00,3756000000.00,4837000000.00,-1402000000.00,-2785000000.00,-862000000.00,1384000000.00,902000000.00,2095000000.00,2936000000.00,-6964000000.00,1027000000.00,-5796000000.00,3832000000.00
应收利息减少(增加)(元),-,-,-,-,-,-,-,-86000000.00,89000000.00,4000000.00,-463000000.00,-564000000.00,-196000000.00,-224000000.00
